mag	mag_file_path	locustag
private_T1889_metawrap_bin.2	analysis/05_MAGs/MAGs/bacs/private_T1889_metawrap_bin.2.fa.gz	CAIMSN01T1889
private_T1916_metawrap_bin.2	analysis/05_MAGs/MAGs/bacs/private_T1916_metawrap_bin.2.fa.gz	CAHJWL01T1916
private_TS1974_metawrap_bin.6	analysis/05_MAGs/MAGs/bacs/private_TS1974_metawrap_bin.6.fa.gz	LMUY01TS1974
private_VT1_metawrap_bin.2	analysis/05_MAGs/MAGs/bacs/private_VT1_metawrap_bin.2.fa.gz	CAHJWO01VT1
private_VT16_metawrap_bin.4	analysis/05_MAGs/MAGs/bacs/private_VT16_metawrap_bin.4.fa.gz	CAHJWL01VT16
private_VT34_metawrap_bin.3	analysis/05_MAGs/MAGs/bacs/private_VT34_metawrap_bin.3.fa.gz	CAHJXG01VT34
private_X3_metawrap_bin.3	analysis/05_MAGs/MAGs/bacs/private_X3_metawrap_bin.3.fa.gz	SPHINGOMX3
public_SRR11456914_metawrap_bin.12	analysis/05_MAGs/MAGs/bacs/public_SRR11456914_metawrap_bin.12.fa.gz	CAHJXG01SRR11456914
public_SRR11456915_metawrap_bin.9	analysis/05_MAGs/MAGs/bacs/public_SRR11456915_metawrap_bin.9.fa.gz	CAHJWO01SRR11456915
public_SRR11456923_metawrap_bin.7	analysis/05_MAGs/MAGs/bacs/public_SRR11456923_metawrap_bin.7.fa.gz	NOSTOCSRR11456923
public_SRR13125477_metawrap_bin.5	analysis/05_MAGs/MAGs/bacs/public_SRR13125477_metawrap_bin.5.fa.gz	LMUY01SRR13125477
public_SRR14722050_metawrap_bin.2	analysis/05_MAGs/MAGs/bacs/public_SRR14722050_metawrap_bin.2.fa.gz	CAHJWL01SRR14722050
public_SRR14722071_metawrap_bin.1	analysis/05_MAGs/MAGs/bacs/public_SRR14722071_metawrap_bin.1.fa.gz	ACETOBACSRR14722071
public_SRR14722145_metawrap_bin.2	analysis/05_MAGs/MAGs/bacs/public_SRR14722145_metawrap_bin.2.fa.gz	NOSTOCSRR14722145
public_SRR14722161_metawrap_bin.1	analysis/05_MAGs/MAGs/bacs/public_SRR14722161_metawrap_bin.1.fa.gz	NOSTOCSRR14722161
private_T1888_metawrap_bin.6	analysis/05_MAGs/MAGs/bacs/private_T1888_metawrap_bin.6.fa.gz	CAHJWL01T1888
private_T1904_metawrap_bin.1	analysis/05_MAGs/MAGs/bacs/private_T1904_metawrap_bin.1.fa.gz	CAIMSN01T1904
private_T1916_metawrap_bin.13	analysis/05_MAGs/MAGs/bacs/private_T1916_metawrap_bin.13.fa.gz	LICHENIHT1916n1
private_TS1974_metawrap_bin.3	analysis/05_MAGs/MAGs/bacs/private_TS1974_metawrap_bin.3.fa.gz	RHAL1TS1974
private_VT22_metawrap_bin.8	analysis/05_MAGs/MAGs/bacs/private_VT22_metawrap_bin.8.fa.gz	EB88VT22
private_VT34_metawrap_bin.4	analysis/05_MAGs/MAGs/bacs/private_VT34_metawrap_bin.4.fa.gz	SPHINGOMVT34
private_X1_metawrap_bin.1	analysis/05_MAGs/MAGs/bacs/private_X1_metawrap_bin.1.fa.gz	ACETOBACX1
private_X16_metawrap_bin.17	analysis/05_MAGs/MAGs/bacs/private_X16_metawrap_bin.17.fa.gz	CAHJWL01X16
private_X3_metawrap_bin.2	analysis/05_MAGs/MAGs/bacs/private_X3_metawrap_bin.2.fa.gz	EB88X3
public_ERR4179389_metawrap_bin.2	analysis/05_MAGs/MAGs/bacs/public_ERR4179389_metawrap_bin.2.fa.gz	SPHINGOMERR4179389
public_ERR4179390_metawrap_bin.2	analysis/05_MAGs/MAGs/bacs/public_ERR4179390_metawrap_bin.2.fa.gz	CAHJWL01ERR4179390
public_SRR11456913_metawrap_bin.11	analysis/05_MAGs/MAGs/bacs/public_SRR11456913_metawrap_bin.11.fa.gz	NOSTOCSRR11456913
public_SRR11456918_metawrap_bin.3	analysis/05_MAGs/MAGs/bacs/public_SRR11456918_metawrap_bin.3.fa.gz	NOSTOCSRR11456918
public_SRR11456918_metawrap_bin.7	analysis/05_MAGs/MAGs/bacs/public_SRR11456918_metawrap_bin.7.fa.gz	SPHINGOMSRR11456918
public_SRR11456919_metawrap_bin.1	analysis/05_MAGs/MAGs/bacs/public_SRR11456919_metawrap_bin.1.fa.gz	SPHINGOMSRR11456919
public_SRR11456919_metawrap_bin.13	analysis/05_MAGs/MAGs/bacs/public_SRR11456919_metawrap_bin.13.fa.gz	LICHENIHSRR11456919
public_SRR11456919_metawrap_bin.2	analysis/05_MAGs/MAGs/bacs/public_SRR11456919_metawrap_bin.2.fa.gz	CAHJWO01SRR11456919
public_SRR11456919_metawrap_bin.3	analysis/05_MAGs/MAGs/bacs/public_SRR11456919_metawrap_bin.3.fa.gz	LICHENIHSRR11456919n1
public_SRR11456919_metawrap_bin.5	analysis/05_MAGs/MAGs/bacs/public_SRR11456919_metawrap_bin.5.fa.gz	NOSTOCSRR11456919
public_SRR14722049_metawrap_bin.2	analysis/05_MAGs/MAGs/bacs/public_SRR14722049_metawrap_bin.2.fa.gz	TERRIGLOSRR14722049
public_SRR14722081_metawrap_bin.1	analysis/05_MAGs/MAGs/bacs/public_SRR14722081_metawrap_bin.1.fa.gz	TERRIGLOSRR14722081
public_SRR14722095_metawrap_bin.2	analysis/05_MAGs/MAGs/bacs/public_SRR14722095_metawrap_bin.2.fa.gz	TERRIGLOSRR14722095
public_SRR14722123_metawrap_bin.1	analysis/05_MAGs/MAGs/bacs/public_SRR14722123_metawrap_bin.1.fa.gz	LMUY01SRR14722123
public_SRR1531545_metawrap_bin.1	analysis/05_MAGs/MAGs/bacs/public_SRR1531545_metawrap_bin.1.fa.gz	NOSTOCSRR1531545
public_SRR2387885_metawrap_bin.6	analysis/05_MAGs/MAGs/bacs/public_SRR2387885_metawrap_bin.6.fa.gz	CAHJWL01SRR2387885
public_SRR14722130_metawrap_bin.2	analysis/05_MAGs/MAGs/bacs/public_SRR14722130_metawrap_bin.2.fa.gz	LICHENIHSRR14722130
private_T1889_metawrap_bin.7	analysis/05_MAGs/MAGs/bacs/private_T1889_metawrap_bin.7.fa.gz	LICHENIHT1889
private_T1894_metawrap_bin.4	analysis/05_MAGs/MAGs/bacs/private_T1894_metawrap_bin.4.fa.gz	VCDI01T1894
