Genome	bac_genus2	bac_family	bac_order	bac_phylum	compelteness	contamination
public_SRR11456923_metawrap_bin.7	Nostoc	Nostocaceae	Cyanobacteriales	Cyanobacteria	99.56	0.22
public_SRR13125477_metawrap_bin.5	LMUY01	Acetobacteraceae	Acetobacterales	Proteobacteria	96.64	1.88
public_SRR14722050_metawrap_bin.2	CAHJWL01	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	96.53	0.85
public_SRR14722071_metawrap_bin.1	Acetobacteraceae gen. sp.	Acetobacteraceae	Acetobacterales	Proteobacteria	95.19	1.12
public_SRR14722145_metawrap_bin.2	Nostoc	Nostocaceae	Cyanobacteriales	Cyanobacteria	96.7	1.26
public_SRR14722161_metawrap_bin.1	Nostoc	Nostocaceae	Cyanobacteriales	Cyanobacteria	97.33	0.56
private_T1888_metawrap_bin.6	CAHJWL01	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	97.93	2.56
private_T1904_metawrap_bin.1	CAIMSN01	Acetobacteraceae	Acetobacterales	Proteobacteria	99	1.16
private_T1916_metawrap_bin.13	Lichenihabitans	Beijerinckiaceae	Rhizobiales	Proteobacteria	96.58	2.1
private_TS1974_metawrap_bin.3	RH-AL1	Beijerinckiaceae	Rhizobiales	Proteobacteria	98.33	0.99
private_VT22_metawrap_bin.8	EB88	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	95.91	0.86
private_VT34_metawrap_bin.4	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Proteobacteria	95.92	2.44
private_X1_metawrap_bin.1	Acetobacteraceae gen. sp.	Acetobacteraceae	Acetobacterales	Proteobacteria	98.99	0.5
private_X16_metawrap_bin.17	CAHJWL01	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	99.52	0
private_X3_metawrap_bin.2	EB88	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	97.58	0.86
public_ERR4179389_metawrap_bin.2	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Proteobacteria	97.65	0.62
public_ERR4179390_metawrap_bin.2	CAHJWL01	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	97.44	3.42
public_SRR11456913_metawrap_bin.11	Nostoc	Nostocaceae	Cyanobacteriales	Cyanobacteria	97.11	0.56
public_SRR11456918_metawrap_bin.3	Nostoc	Nostocaceae	Cyanobacteriales	Cyanobacteria	99.33	0.48
public_SRR11456918_metawrap_bin.7	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Proteobacteria	96.52	6.46
public_SRR11456919_metawrap_bin.1	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Proteobacteria	95.87	2.13
public_SRR11456919_metawrap_bin.13	Lichenihabitans	Beijerinckiaceae	Rhizobiales	Proteobacteria	98.35	2.79
public_SRR11456919_metawrap_bin.2	CAHJWO01	UBA10450	Chthoniobacterales	Verrucomicrobiota	98.51	2.03
public_SRR11456919_metawrap_bin.3	Lichenihabitans	Beijerinckiaceae	Rhizobiales	Proteobacteria	95.98	1
public_SRR11456919_metawrap_bin.5	Nostoc	Nostocaceae	Cyanobacteriales	Cyanobacteria	99.04	1.41
public_SRR14722049_metawrap_bin.2	Terriglobus	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	98.58	0.91
public_SRR14722081_metawrap_bin.1	Terriglobus	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	95.76	3.14
public_SRR14722095_metawrap_bin.2	Terriglobus	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	98.3	0.86
public_SRR14722123_metawrap_bin.1	LMUY01	Acetobacteraceae	Acetobacterales	Proteobacteria	95.02	1.74
public_SRR1531545_metawrap_bin.1	Nostoc	Nostocaceae	Cyanobacteriales	Cyanobacteria	99.78	1.22
public_SRR2387885_metawrap_bin.6	CAHJWL01	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	97.44	0.26
