bac_genus2	n	bac_family	bac_order	bac_phylum
JABFXA01	1	Nocardioidaceae	Propionibacteriales	Actinobacteriota
JACCRA01	1	Pyrinomonadaceae	Pyrinomonadales	Acidobacteriota
JACCYI01	1	Solirubrobacteraceae	Solirubrobacterales	Actinobacteriota
JACCYX01	1	UBA6265	Thermomicrobiales	Chloroflexota
JACDEG01	1	Pyrinomonadaceae	Pyrinomonadales	Acidobacteriota
JACMIU01	1	Armatimonadaceae	Armatimonadales	Armatimonadota
JACMJD01	1	UBA1161	UBA1161	Planctomycetota
JACMLC01	1	Pyrinomonadaceae	Pyrinomonadales	Acidobacteriota
KBS-96	1	Bryobacteraceae	Bryobacterales	Acidobacteriota
LB1R16	1	Sphingomonadaceae	Sphingomonadales	Proteobacteria
Leptolyngbya	1	Leptolyngbyaceae	Leptolyngbyales	Cyanobacteria
Leptolyngbyaceae gen. sp.	1	Leptolyngbyaceae	Leptolyngbyales	Cyanobacteria
Lysinimonas_A	1	Microbacteriaceae	Actinomycetales	Actinobacteriota
Marisediminicola	1	Microbacteriaceae	Actinomycetales	Actinobacteriota
Massilia	1	Burkholderiaceae	Burkholderiales	Proteobacteria
Mesorhizobium_B	1	Rhizobiaceae	Rhizobiales	Proteobacteria
Mesorhizobium_D	1	Rhizobiaceae	Rhizobiales	Proteobacteria
Motilibacteraceae gen. sp.	1	Motilibacteraceae	RP-AC37	Actinobacteriota
Mycobacterium	1	Mycobacteriaceae	Mycobacteriales	Actinobacteriota
Nevskia	1	Nevskiaceae	Nevskiales	Proteobacteria
Oligoflexus	1	Oligoflexaceae	Oligoflexales	Bdellovibrionota
Pedobacter	1	Sphingobacteriaceae	Sphingobacteriales	Bacteroidota
PMMR1	1	Caulobacteraceae	Caulobacterales	Proteobacteria
Polaromonas	1	Burkholderiaceae	Burkholderiales	Proteobacteria
Polyangiaceae gen. sp.	1	Polyangiaceae	Polyangiales	Myxococcota
Propionibacteriaceae gen. sp.	1	Propionibacteriaceae	Propionibacteriales	Actinobacteriota
Pseudobdellovibrio	1	Bdellovibrionaceae	Bdellovibrionales	Bdellovibrionota
Quadrisphaera	1	Quadrisphaeraceae	Actinomycetales	Actinobacteriota
Rhodanobacteraceae gen. sp.	1	Rhodanobacteraceae	Xanthomonadales	Proteobacteria
Rhodobacteraceae gen. sp.	1	Rhodobacteraceae	Rhodobacterales	Proteobacteria
Rhodomicrobiaceae gen. sp.	1	Rhodomicrobiaceae	Rhizobiales	Proteobacteria
Rhodopila	1	Acetobacteraceae	Acetobacterales	Proteobacteria
Rhodopseudomonas	1	Xanthobacteraceae	Rhizobiales	Proteobacteria
Rhodovarius	1	Acetobacteraceae	Acetobacterales	Proteobacteria
Roseomonas	1	Acetobacteraceae	Acetobacterales	Proteobacteria
Rubrivivax	1	Burkholderiaceae	Burkholderiales	Proteobacteria
SCTD01 gen. sp.	1	SCTD01	Mycobacteriales	Actinobacteriota
SCTI01 gen. sp.	1	SCTI01	UBA4664	Patescibacteria
Segetibacter	1	Chitinophagaceae	Chitinophagales	Bacteroidota
Sphingobium	1	Sphingomonadaceae	Sphingomonadales	Proteobacteria
Spiroplasma_C	1	MT37	Mycoplasmatales	Firmicutes
Steroidobacteraceae gen. sp.	1	Steroidobacteraceae	Steroidobacterales	Proteobacteria
Trebonia	1	Streptosporangiaceae	Streptosporangiales	Actinobacteriota
UBA11358	1	UBA11358	Pedosphaerales	Verrucomicrobiota
UBA1315	1	Akkermansiaceae	Verrucomicrobiales	Verrucomicrobiota
UBA2316	1	Bdellovibrionaceae	Bdellovibrionales	Bdellovibrionota
UBA2796 gen. sp.	1	UBA2796	SBR1031	Chloroflexota
UBA4665 gen. sp.	1	UBA4665	Saccharimonadales	Patescibacteria
UBA5172	1	Acidobacteriaceae	Acidobacteriales	Acidobacteriota
Uzinura	1	Blattabacteriaceae	Flavobacteriales	Bacteroidota
VAYN01	1	70-9	Solirubrobacterales	Actinobacteriota
WQZC01	1	Jatrophihabitantaceae	Mycobacteriales	Actinobacteriota
