Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR14722184,2021-06-03 21:37:08,2021-06-03 21:22:17,7067994,2134534188,7067994,302,843,,https://sra-download.ncbi.nlm.nih.gov/traces/sra63/SRR/014377/SRR14722184,SRX11059332,FEN_186_Lecanora_hybocarpa_Plate3_C4_R1.fastq.gz,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322526,PRJNA731936,,731936,SRS9126405,SAMN19302541,simple,394998,Lecanora hybocarpa,FEN_186_Lecanora_hybocarpa_Plate3_C4_R1.fastq.gz,,,,,,,no,,,,,"UNIVERSITY OF COLORADO, BOULDER",SRA1240369,,public,63A3DE6EEE21923A32BBD4D64D4764C7,BA8E4068B159184718D9072F7C2FED80
SRR14722251,2021-06-03 21:37:07,2021-06-03 21:25:21,8584674,2592571548,8584674,302,1098,,https://sra-download.ncbi.nlm.nih.gov/traces/sra17/SRR/014377/SRR14722251,SRX11059265,FEN_18_Trapelia_coarctata_Plate2_F1_R1.fastq.gz,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322526,PRJNA731936,,731936,SRS9126337,SAMN19302454,simple,129515,Trapelia coarctata,FEN_18_Trapelia_coarctata_Plate2_F1_R1.fastq.gz,,,,,,,no,,,,,"UNIVERSITY OF COLORADO, BOULDER",SRA1240369,,public,9E275696A8F9AFC1898E3B4C8967051F,CACAAAC0790EDF7368C50453CD6DA038
SRR14722183,2021-06-03 21:37:08,2021-06-03 21:18:11,42251,12759802,42251,302,4,,https://sra-download.ncbi.nlm.nih.gov/traces/sra36/SRR/014377/SRR14722183,SRX11059333,FEN_191_Chaenotheca_furfuracea_Plate3_D4_R1.fastq.gz,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322526,PRJNA731936,,731936,SRS9126406,SAMN19302542,simple,164575,Chaenotheca furfuracea,FEN_191_Chaenotheca_furfuracea_Plate3_D4_R1.fastq.gz,,,,,,,no,,,,,"UNIVERSITY OF COLORADO, BOULDER",SRA1240369,,public,D1ACFBECE5404ABCF054CE25AF653C6E,DD23E9A7866A5439630592502B4F6801
SRR14722182,2021-06-03 21:37:08,2021-06-03 21:18:24,523294,158034788,523294,302,66,,https://sra-download.ncbi.nlm.nih.gov/traces/sra70/SRR/014377/SRR14722182,SRX11059334,FEN_192_Chaenotheca_balsamconensis_Plate3_E4_R1.fastq.gz,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322526,PRJNA731936,,731936,SRS9126407,SAMN19302543,simple,1929462,Chaenotheca balsamconensis,FEN_192_Chaenotheca_balsamconensis_Plate3_E4_R1.fastq.gz,,,,,,,no,,,,,"UNIVERSITY OF COLORADO, BOULDER",SRA1240369,,public,6C6FC4912B8DF014E6C4E34DED443DB2,EEBD88F7689185C6E1400FB6D08EA972
SRR14722181,2021-06-03 21:37:08,2021-06-03 21:22:43,8284381,2501883062,8284381,302,1017,,https://sra-download.ncbi.nlm.nih.gov/traces/sra64/SRR/014377/SRR14722181,SRX11059335,FEN_193_Gomphillus_calycioides_Plate2_H6_R1.fastq.gz,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322526,PRJNA731936,,731936,SRS9126408,SAMN19302544,simple,1457650,Gomphillus calycioides,FEN_193_Gomphillus_calycioides_Plate2_H6_R1.fastq.gz,,,,,,,no,,,,,"UNIVERSITY OF COLORADO, BOULDER",SRA1240369,,public,9A4203A089AEC13F6BF8EB2DF04E5C0E,50E57EF3535FA26F2B2C14A2EA1BF33D
SRR14722180,2021-06-03 21:37:08,2021-06-03 21:18:16,139640,42171280,139640,302,16,,https://sra-download.ncbi.nlm.nih.gov/traces/sra15/SRR/014377/SRR14722180,SRX11059336,FEN_194_Unknown_Plate2_G6_R1.fastq.gz,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322526,PRJNA731936,,731936,SRS9126409,SAMN19302545,simple,2841871,fungal sp. Lendemer_46730_NY-2794914,FEN_194_Unknown_Plate2_G6_R1.fastq.gz,,,,,,,no,,,,,"UNIVERSITY OF COLORADO, BOULDER",SRA1240369,,public,4FDF48FBCA3684142AAA0C0BB75F0D18,64D99B1ECAD5DAEAFD05F03BD649812B
SRR14722179,2021-06-03 21:37:08,2021-06-03 21:18:01,11090,3349180,11090,302,1,,https://sra-download.ncbi.nlm.nih.gov/traces/sra5/SRR/014377/SRR14722179,SRX11059337,FEN_195_Porina_heterospora_Plate3_F4_R1.fastq.gz,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322526,PRJNA731936,,731936,SRS9126410,SAMN19302546,simple,1567537,Porina heterospora,FEN_195_Porina_heterospora_Plate3_F4_R1.fastq.gz,,,,,,,no,,,,,"UNIVERSITY OF COLORADO, BOULDER",SRA1240369,,public,DBA3A51AE39336E796B4459795911082,8535DF044F109477D6222B889E87ECCF
SRR14722178,2021-06-03 21:37:08,2021-06-03 21:18:09,7289,2201278,7289,302,0,,https://sra-download.ncbi.nlm.nih.gov/traces/sra11/SRR/014377/SRR14722178,SRX11059338,FEN_196_Schismatomma_glaucescens_Plate3_G4_R1.fastq.gz,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322526,PRJNA731936,,731936,SRS9126411,SAMN19302547,simple,2840262,Schismatomma glaucescens,FEN_196_Schismatomma_glaucescens_Plate3_G4_R1.fastq.gz,,,,,,,no,,,,,"UNIVERSITY OF COLORADO, BOULDER",SRA1240369,,public,B3565FD7DE06CB2631DD0AAEDBFE47BB,CF25881F20415FD73CC6F9B03562DABF
SRR14722177,2021-06-03 21:37:08,2021-06-03 21:22:26,9205083,2779935066,9205083,302,1133,,https://sra-download.ncbi.nlm.nih.gov/traces/sra17/SRR/014377/SRR14722177,SRX11059339,FEN_197_Biatora_appalachensis_Plate2_F6_R1.fastq.gz,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322526,PRJNA731936,,731936,SRS9126412,SAMN19302548,simple,1399625,Biatora appalachensis,FEN_197_Biatora_appalachensis_Plate2_F6_R1.fastq.gz,,,,,,,no,,,,,"UNIVERSITY OF COLORADO, BOULDER",SRA1240369,,public,03B3C9E63210469ECF040664EB411342,9019827FE193ACB4854DE398A4FCE9B4
SRR14722176,2021-06-03 22:10:58,2021-06-03 21:30:53,15702832,4742255264,15702832,302,1898,,https://sra-download.ncbi.nlm.nih.gov/traces/sra34/SRR/014377/SRR14722176,SRX11059340,FEN_198_Caloplaca_feracissima_Plate3_H4_R1.fastq.gz,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322526,PRJNA731936,,731936,SRS9126413,SAMN19302549,simple,1301609,Xanthocarpia feracissima,FEN_198_Caloplaca_feracissima_Plate3_H4_R1.fastq.gz,,,,,,,no,,,,,"UNIVERSITY OF COLORADO, BOULDER",SRA1240369,,public,AB54392414C49F2D9F58F4447BDA42A0,172EB8CC4CEBA2EA0032CF50D18B23A1
SRR14722230,2021-06-05 10:03:53,2021-06-05 09:10:14,11287921,3408952142,11287921,302,1386,,https://sra-download.ncbi.nlm.nih.gov/traces/sra3/SRR/014377/SRR14722230,SRX11059286,FEN_20_Coccocarpia_palmicola_Plate2_D1_R1.fastq.gz,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322526,PRJNA731936,,731936,SRS9126359,SAMN19302455,simple,301477,Coccocarpia palmicola,FEN_20_Coccocarpia_palmicola_Plate2_D1_R1.fastq.gz,,,,,,,no,,,,,"UNIVERSITY OF COLORADO, BOULDER",SRA1240369,,public,A93F9376510DEEA52E24D68773FB4E21,48D2D40160054A3233C7B8716A118D53
SRR14722219,2021-06-03 21:37:07,2021-06-03 21:23:44,10584576,3196541952,10584576,302,1302,,https://sra-download.ncbi.nlm.nih.gov/traces/sra21/SRR/014377/SRR14722219,SRX11059297,FEN_21_Hypotrachyna_minarum_Plate2_G1_R1.fastq.gz,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322526,PRJNA731936,,731936,SRS9126370,SAMN19302456,simple,2737038,Hypotrachyna sp. JCL-2020a,FEN_21_Hypotrachyna_minarum_Plate2_G1_R1.fastq.gz,,,,,,,no,,,,,"UNIVERSITY OF COLORADO, BOULDER",SRA1240369,,public,1075FDEE0337DC19092724B4C03E565E,AF9573C74CECAD7C2EA7109333A078FF
SRR14722208,2021-06-03 21:37:08,2021-06-03 21:21:25,5458011,1648319322,5458011,302,701,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/014377/SRR14722208,SRX11059308,FEN_24_Lobaria_quercizans_Plate1_D3_R1.fastq.gz,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322526,PRJNA731936,,731936,SRS9126381,SAMN19302457,simple,2016030,Ricasolia quercizans,FEN_24_Lobaria_quercizans_Plate1_D3_R1.fastq.gz,,,,,,,no,,,,,"UNIVERSITY OF COLORADO, BOULDER",SRA1240369,,public,483BA2C681B0289F2A3A00C4AEF381C2,B7D24D6950AA7E472E33FB65EAEE70F7
SRR14722197,2021-06-03 21:37:08,2021-06-03 21:22:36,6519024,1968745248,6519024,302,828,,https://sra-download.ncbi.nlm.nih.gov/traces/sra71/SRR/014377/SRR14722197,SRX11059319,FEN_29_Leptogium_corticola_Plate1_A4_R1.fastq.gz,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322526,PRJNA731936,,731936,SRS9126392,SAMN19302458,simple,586073,Leptogium corticola,FEN_29_Leptogium_corticola_Plate1_A4_R1.fastq.gz,,,,,,,no,,,,,"UNIVERSITY OF COLORADO, BOULDER",SRA1240369,,public,8BDDC583BEB559D4B77CCA6763FECE9E,739EBC6D8186DD3241F26CE6CB26C0AE
SRR14722186,2021-06-03 21:37:08,2021-06-03 21:19:20,1814771,548060842,1814771,302,212,,https://sra-download.ncbi.nlm.nih.gov/traces/sra50/SRR/014377/SRR14722186,SRX11059330,FEN_30_Lepra_pustulata_Plate3_A1_R1.fastq.gz,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322526,PRJNA731936,,731936,SRS9126403,SAMN19302459,simple,1889050,Lepra pustulata,FEN_30_Lepra_pustulata_Plate3_A1_R1.fastq.gz,,,,,,,no,,,,,"UNIVERSITY OF COLORADO, BOULDER",SRA1240369,,public,0EDC1DB5B9C086A39D812CEBBCD0E776,59A6F1808BA939D90BE04008B5C95879
SRR14722275,2021-06-03 21:37:06,2021-06-03 21:24:27,5021002,1516342604,5021002,302,646,,https://sra-download.ncbi.nlm.nih.gov/traces/sra68/SRR/014377/SRR14722275,SRX11059241,FEN_510_Micareopsis_irriguata_Plate6_R1.fastq.gz,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322526,PRJNA731936,,731936,SRS9126314,SAMN19302831,simple,2840267,Micareopsis irriguata,FEN_510_Micareopsis_irriguata_Plate6_R1.fastq.gz,,,,,,,no,,,,,"UNIVERSITY OF COLORADO, BOULDER",SRA1240369,,public,F90D3FA5DD3B16DEA028B81F79BF62E4,0523FC0050ADABB4288FCAAB6E15567F
SRR14722274,2021-06-03 21:37:06,2021-06-03 21:25:16,7953767,2402037634,7953767,302,1019,,https://sra-download.ncbi.nlm.nih.gov/traces/sra26/SRR/014377/SRR14722274,SRX11059242,FEN_511_Lepraria_sp_Plate6_R1.fastq.gz,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322526,PRJNA731936,,731936,SRS9126315,SAMN19302832,simple,2596785,Leprocaulon nicholsiae,FEN_511_Lepraria_sp_Plate6_R1.fastq.gz,,,,,,,no,,,,,"UNIVERSITY OF COLORADO, BOULDER",SRA1240369,,public,0590ADF93B4FA2DC3FDFA3F496B6890E,B8729444DC0D0E1B0C1CC29FB431BF84
SRR14722272,2021-06-03 21:37:06,2021-06-03 21:24:04,7351569,2220173838,7351569,302,951,,https://sra-download.ncbi.nlm.nih.gov/traces/sra47/SRR/014377/SRR14722272,SRX11059244,FEN_512_Lepraria_finkii_Plate6_R1.fastq.gz,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322526,PRJNA731936,,731936,SRS9126320,SAMN19302833,simple,1340008,Lepraria leprolomopsis,FEN_512_Lepraria_finkii_Plate6_R1.fastq.gz,,,,,,,no,,,,,"UNIVERSITY OF COLORADO, BOULDER",SRA1240369,,public,5D1E26E825FC28EFD5BB9DA8F6A00A40,1BEF11A8760C97A7F46B65F60F191D22
SRR14722271,2021-06-03 21:37:06,2021-06-03 21:22:41,3532759,1066893218,3532759,302,450,,https://sra-download.ncbi.nlm.nih.gov/traces/sra50/SRR/014377/SRR14722271,SRX11059245,FEN_513_Rockerfellera_crossophylla_Plate5_R1.fastq.gz,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322526,PRJNA731936,,731936,SRS9126317,SAMN19302834,simple,2054623,Rockefellera crossophylla,FEN_513_Rockerfellera_crossophylla_Plate5_R1.fastq.gz,,,,,,,no,,,,,"UNIVERSITY OF COLORADO, BOULDER",SRA1240369,,public,70E990C6FDA480D2D05531AB7D740060,2974BC0DAAE77EBF76A036308C0C75EA
SRR14722270,2021-06-03 21:37:06,2021-06-03 21:22:11,2703043,816318986,2703043,302,353,,https://sra-download.ncbi.nlm.nih.gov/traces/sra47/SRR/014377/SRR14722270,SRX11059246,FEN_514_Chrysothrix_xanthina_Plate5_R1.fastq.gz,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322526,PRJNA731936,,731936,SRS9126318,SAMN19302835,simple,714577,Chrysothrix xanthina,FEN_514_Chrysothrix_xanthina_Plate5_R1.fastq.gz,,,,,,,no,,,,,"UNIVERSITY OF COLORADO, BOULDER",SRA1240369,,public,AD7F50F9301CAED5B566BCFC286324C0,D13DBE62C1FF718447259964F446D0FF
SRR14722269,2021-06-03 21:37:06,2021-06-03 21:23:33,5215226,1574998252,5215226,302,669,,https://sra-download.ncbi.nlm.nih.gov/traces/sra17/SRR/014377/SRR14722269,SRX11059247,FEN_515_Cladonia_didyma_Plate5_R1.fastq.gz,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322526,PRJNA731936,,731936,SRS9126319,SAMN19302836,simple,174056,Cladonia didyma,FEN_515_Cladonia_didyma_Plate5_R1.fastq.gz,,,,,,,no,,,,,"UNIVERSITY OF COLORADO, BOULDER",SRA1240369,,public,7C0748632986324FD9559ABA23A2A8E5,A8AC1119F29464C832FE9675BB1627E5
SRR14722268,2021-06-03 21:37:06,2021-06-03 21:24:07,5932413,1791588726,5932413,302,771,,https://sra-download.ncbi.nlm.nih.gov/traces/sra68/SRR/014377/SRR14722268,SRX11059248,FEN_516_Parmotrema_rampoddense_Plate5_R1.fastq.gz,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322526,PRJNA731936,,731936,SRS9126321,SAMN19302837,simple,129510,Diploschistes rampoddensis,FEN_516_Parmotrema_rampoddense_Plate5_R1.fastq.gz,,,,,,,no,,,,,"UNIVERSITY OF COLORADO, BOULDER",SRA1240369,,public,258704E3F86B2DA73F4BDB69616DF6D9,33474D615F39CF119208B330B83D9C56
SRR14722267,2021-06-03 21:37:06,2021-06-03 21:22:56,4864128,1468966656,4864128,302,617,,https://sra-download.ncbi.nlm.nih.gov/traces/sra72/SRR/014377/SRR14722267,SRX11059249,FEN_517_Sticta_deyana_Plate5_R1.fastq.gz,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322526,PRJNA731936,,731936,SRS9126322,SAMN19302838,simple,1648162,Sticta deyana,FEN_517_Sticta_deyana_Plate5_R1.fastq.gz,,,,,,,no,,,,,"UNIVERSITY OF COLORADO, BOULDER",SRA1240369,,public,939975E2A994A5458C93598DEE519092,E0CAE3C8AA5B8450479CD2313DD692F9
SRR14722266,2021-06-03 21:37:06,2021-06-03 21:23:14,4721498,1425892396,4721498,302,621,,https://sra-download.ncbi.nlm.nih.gov/traces/sra56/SRR/014377/SRR14722266,SRX11059250,FEN_518_Heterodermia_obscurata_Plate5_R1.fastq.gz,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322526,PRJNA731936,,731936,SRS9126323,SAMN19302839,simple,262086,Heterodermia obscurata,FEN_518_Heterodermia_obscurata_Plate5_R1.fastq.gz,,,,,,,no,,,,,"UNIVERSITY OF COLORADO, BOULDER",SRA1240369,,public,7FCAF371F9E3F24AC67DCF604D7300CD,90162FFCCD4A3D51499092DDCD9408A3
SRR14722265,2021-06-03 21:37:06,2021-06-03 21:22:42,5275554,1593217308,5275554,302,689,,https://sra-download.ncbi.nlm.nih.gov/traces/sra34/SRR/014377/SRR14722265,SRX11059251,FEN_519_Thelotrema_subtile_Plate5_R1.fastq.gz,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322526,PRJNA731936,,731936,SRS9126327,SAMN19302840,simple,400361,Thelotrema subtile,FEN_519_Thelotrema_subtile_Plate5_R1.fastq.gz,,,,,,,no,,,,,"UNIVERSITY OF COLORADO, BOULDER",SRA1240369,,public,2300D7E1E83976F4021FABEF2CEDF44A,F7F6E89D83D280633EB04BBBDA29AE22
SRR14722264,2021-06-03 21:37:06,2021-06-03 21:20:25,219276,66221352,219276,302,29,,https://sra-download.ncbi.nlm.nih.gov/traces/sra62/SRR/014377/SRR14722264,SRX11059252,FEN_520_Leucodecton_subcompunctum_Plate5_R1.fastq.gz,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322526,PRJNA731936,,731936,SRS9126325,SAMN19302841,simple,463631,Leucodecton subcompunctum,FEN_520_Leucodecton_subcompunctum_Plate5_R1.fastq.gz,,,,,,,no,,,,,"UNIVERSITY OF COLORADO, BOULDER",SRA1240369,,public,EFD71C13C38943DF30397208F2FE535F,60EC0947F423084B0FB77A98B0544460
SRR14722263,2021-06-03 21:37:06,2021-06-03 21:23:59,5683738,1716488876,5683738,302,721,,https://sra-download.ncbi.nlm.nih.gov/traces/sra79/SRR/014377/SRR14722263,SRX11059253,FEN_521_Dictyocatenulata_alba_Plate5_R1.fastq.gz,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322526,PRJNA731936,,731936,SRS9126324,SAMN19302842,simple,860793,Dictyocatenulata alba,FEN_521_Dictyocatenulata_alba_Plate5_R1.fastq.gz,,,,,,,no,,,,,"UNIVERSITY OF COLORADO, BOULDER",SRA1240369,,public,D4BDFF422AE098BC84798C6828E653C1,A9F3387A69A495FC3EADC2E5A8B420E9
