run_accession	sample_accession	location	isolate	sample_alias	note
SRR12240179	SAMN15548972	"36.2, -113.3"		Leavitt 149f BRY-C	picked based on the disctription. USA AZ Mojave Co Arizona Strip
SRR12240180	SAMN15548971	"40.1, -110.3"		Leavitt 16-524 BRY-C	picked based on the disctription. USA UT Duchesne Co Ashley NF vicinity of Nutter’s Canyon
SRR12240181	SAMN15548984	"38.9, -114.2"		Leavitt 17-566  BRY-C	picked based on the disctription. USA NV White Pine County Great Basin National Park
SRR12240182	SAMN15548983	"38.9, -114.2"		Leavitt 17-586 BRY-C	picked based on the disctription. USA NV White Pine County Great Basin National Park
SRR12240183	SAMN15548982	"38.9, -114.2"		Leavitt 17-611 BRY-C	picked based on the disctription. USA NV White Pine County Great Basin National Park
SRR12240184	SAMN15548981	"39.2, -113.4"		Leavitt 16-665 BRY-C	picked based on the disctription. USA UT Millard Co Sawtooth Mountain
SRR12240185	SAMN15548980	"30, -115"		Leavitt 16-997 BRY-C	"picked based on the disctription. Mexico, Baja California Norte"
SRR12240186	SAMN15548979	"44.4, -113.9"		Leavitt 18-1004 BRY-C	picked based on the disctription. USA ID Custer Co SE of Challis
SRR12240187	SAMN15548970	"43, -106.8"		Leavitt 818f BRY-C	picked based on the disctription. USA WY Natroma Co
SRR12240188	SAMN15548969	"41.2, -115.3"		Leavitt 293f BRY-C	picked based on the disctription. USA NV Elko Co
SRR13125477	SAMN16881806	"-11.7, -75.5"		Everniopsis trulla 6851	picked based on the disctription. Peru Provencia de Jauja
SRR13125762	SAMN16882156	"-62, -58.1"		Usnea aurantiacoatra EL0450	picked based on the disctription. Peru Provencia de Jauja
SRR13167197	SAMN16883050	"39, -111"	Leavitt -082 (BRY-C)	Xanthoparmelia affchlorochroa 82	picked based on the disctription. USA Utah
SRR13125985	SAMN16883114	"-35.5, 149"		Xanthoparmelia arapilensis 14442	picked based on the disctription. Australia Capital Territory
SRR13126647	SAMN16883140	"-35.5, 149"		Xanthoparmelia barbatica 14436	picked based on the disctription. Australia Capital Territory
SRR13126796	SAMN16883198	"49.4, 75.4"		Xanthoparmelia stenophylla 5040	picked based on the disctription. Kazakhstan Karkaralinsk
SRR13126828	SAMN16883295	"-35.5, 149"	J. A. Elix 46166 (F)	Xanthoparmelia tasmanica 14437	picked based on the disctription. Australia Capital Territory
SRR13126859	SAMN16883386	"-35.5, 149"	J. A. Elix 46168 (F)	Xanthoparmelia verrucella 14446	picked based on the disctription. Australia Capital Territory
SRR13685122	SAMN17834534	"35.47, -83.5583"		FEN_22_Usnea_pensylvanica	
SRR13685123	SAMN17834489	"35.1356, -83.1911"		FEN_201_Cladonia_rangiferina	
SRR13685124	SAMN17834497	"34.978, -85.8103"		FEN_458_Heterodermia_albicans	
SRR13685125	SAMN17834502	"34.978, -85.8103"		FEN_455_Heterodermia_speciosa2	
SRR13685126	SAMN17834488	"34.4559, -85.5845"		FEN_445_Cladonia_peziziformis	
SRR13685127	SAMN17834533	"34.3679, -85.6299"		FEN_435_Usnea_mutabilis	
SRR13685128	SAMN17834523	"34.3736, -85.6922"		FEN_428_Parmotrema_ultralucens	
SRR13685129	SAMN17834487	"34.4717, -86.0511"		FEN_420_Cladonia_petrophila	
SRR13685130	SAMN17834526	"34.4773, -86.0583"		FEN_402_Pertusaria_plittiana	
SRR13685131	SAMN17834479	"35.585, -83.4747"		FEN_140_Alectoria_fallacina	
SRR13685132	SAMN17834508	"34.4773, -86.0583"		FEN_400_Lecanora_saxigena	
SRR13685133	SAMN17834482	"35.0261, -83.1778"		FEN_393_Bacidia_sp.	
SRR13685134	SAMN17834520	"35.0261, -83.1778"		FEN_388_Parmotrema_mellissi	
SRR13685135	SAMN17834483	"35.0253, -83.1747"		FEN_380_Cladonia_apodocarpa	
SRR13685136	SAMN17834527	"35.0253, -83.1747"		FEN_379_Pertusaria_propinqua	
SRR13685137	SAMN17834503	"35.1036, -83.2075"		FEN_372_Heterodermia_squamulosa	
SRR13685138	SAMN17834516	"35.1036, -83.2075"		FEN_370_Parmotrema_crinitum	
SRR13685139	SAMN17834536	"35.1036, -83.2075"		FEN_368_Usnea_subgracilis	
SRR13685140	SAMN17834481	"34.3828, -85.6289"		FEN_331_Arthonia_susa	
SRR13685141	SAMN17834517	"35.4828, -83.5597"		FEN_3_Parmotrema_diffractaicum	
SRR13685142	SAMN17834513	"35.4675, -83.5617"		FEN_117_Opegrapha_vulgata	
SRR13685143	SAMN17834521	"35.5128, -83.7206"		FEN_295_Parmotrema_neotropicum	
SRR13685144	SAMN17834519	"35.6431, -83.8036"		FEN_289_Parmotrema_margaritatum	
SRR13685145	SAMN17834498	"35.4752, -83.8101"		FEN_283_Heterodermia_appalachensis	
SRR13685146	SAMN17834491	"35.4835, -83.8148"		FEN_278_Cladonia_stipitata	
SRR13685147	SAMN17834532	"35.1356, -83.1911"		FEN_252_Usnea_halei	
SRR13685148	SAMN17834537	"35.4372, -83.7481"		FEN_251_Usnea_subscabrosa	
SRR13685149	SAMN17834512	"35.4069, -83.7647"		FEN_233_Mycocalicium_subtile	
SRR13685150	SAMN17834525	"35.4072, -83.5931"		FEN_232_Pertusaria_ostiolata	
SRR13685151	SAMN17834510	"35.4072, -83.5931"		FEN_231_Leptogium_hirsutum	
SRR13685152	SAMN17834501	"35.4072, -83.5931"		FEN_230_Heterodermia_speciosa1	
SRR13685153	SAMN17834507	"35.4675, -83.5617"		FEN_114_Lecanora_cinereofusca	
SRR13685154	SAMN17834495	"35.4675, -83.5617"		FEN_105_Gomphillus_americanus	
SRR13685155	SAMN17834493	"35.1356, -83.1911"		FEN_200_Cladonia_uncialis	
SRR13685156	SAMN17834494	"35.4675, -83.5617"		FEN_20_Coccocarpia_palmicola	
SRR13685157	SAMN17834529	"35.4675, -83.5617"		FEN_97_Phyllopsora_corallina	
SRR13685158	SAMN17834528	"35.4675, -83.5617"		FEN_96_Phlyctis_boliviensis	
SRR13685159	SAMN17834505	"35.5631, -83.4983"		FEN_86_Icmadophila_ericetorum	
SRR13685160	SAMN17834480	"35.61, -83.4467"		FEN_82_Arthonia_ruana	
SRR13685161	SAMN17834499	"35.4828, -83.5597"		FEN_74_Heterodermia_casarettiana	
SRR13685162	SAMN17834535	"35.61, -83.4467"		FEN_68_Usnea_subfusca	
SRR13685163	SAMN17834511	"35.4675, -83.5617"		FEN_66_Menegazzia_subsimilis	
SRR13685164	SAMN17834530	"35.47, -83.5583"		FEN_64_Usnea_ceratina	
SRR13685165	SAMN17834531	"35.47, -83.5583"		FEN_63_Usnea_cornuta	
SRR13685166	SAMN17834522	"35.1081, -83.18"		FEN_180_Parmotrema_stuppeum	
SRR13685167	SAMN17834506	"35.585, -83.4747"		FEN_56_Imshaugia_aleurites	
SRR13685168	SAMN17834504	"35.5631, -83.4983"		FEN_55_Hypogymnia_vittata	
SRR13685169	SAMN17834485	"34.308, -87.5031"		FEN_508_Cladonia_furcata	
SRR13685170	SAMN17834490	"34.1944, -87.3033"		FEN_496_Cladonia_robbinsii	
SRR13685171	SAMN17834492	"34.1944, -87.3033"		FEN_493_Cladonia_subtenuis	
SRR13685172	SAMN17834484	"34.3291, -87.5092"		FEN_492_Cladonia_caroliniana	
SRR13685173	SAMN17834509	"35.61, -83.4467"		FEN_49_Lepraria_oxybapha	
SRR13685174	SAMN17834486	"34.3291, -87.5092"		FEN_486_Cladonia_leporina	
SRR13685175	SAMN17834514	"34.9402, -85.9766"		FEN_478_Parmotrema_austrosinense	
SRR13685176	SAMN17834500	"34.9555, -85.9996"		FEN_472_Heterodermia_echinata	
SRR13685177	SAMN17834496	"35.47, -83.5583"		FEN_17_Graphis_lineola	
SRR13685178	SAMN17834518	"34.9555, -85.9996"		FEN_464_Parmotrema_internexum	
SRR13685179	SAMN17834515	"34.5840, -85.4837"		FEN_461_Parmotrema_cetratum	
SRR13685180	SAMN17834524	"34.978, -85.8103"		FEN_460_Pertusaria_obruta	
SRR14721921	SAMN19302780	34.97797 N 85.81031 W		FEN_459_Collema_coccophorum_Plate6_R1.fastq.gz	
SRR14721922	SAMN19302779	34.97797 N 85.81031 W		FEN_458_Heterodermia_albicans_Plate6_R1.fastq.gz	
SRR14721923	SAMN19302778	34.97797 N 85.81031 W		FEN_457_Acanthothecis_fontana_Plate6_R1.fastq.gz	
SRR14721924	SAMN19302777	34.97797 N 85.81031 W		FEN_456_Placidium_arboreum_Plate6_R1.fastq.gz	
SRR14721925	SAMN19302776	34.97797 N 85.81031 W		FEN_455_Heterodermia_speciosa_Plate6_R1.fastq.gz	
SRR14721926	SAMN19302775	34.35056 N 85.67525 W		FEN_454_Buellia_mamillana_Plate6_R1.fastq.gz	
SRR14721927	SAMN19302774	34.35056 N 85.67525 W		FEN_453_Canoparmelia_crozalsiana_Plate6_R1.fastq.gz	
SRR14721928	SAMN19302773	34.35056 N 85.67525 W		FEN_452_Leptogium_hirsutum_Plate6_R1.fastq.gz	
SRR14721929	SAMN19302482	35.4675 N 83.5617 W		FEN_65_Buellia_stillingiana_Plate3_H1_R1.fastq.gz	
SRR14721930	SAMN19302772	34.35056 N 85.67525 W		FEN_451_Leptogium_corticola_Plate6_R1.fastq.gz	
SRR14721931	SAMN19302771	34.35056 N 85.67525 W		FEN_450_Phaeophyscia_rubropulchra_Plate6_R1.fastq.gz	
SRR14721932	SAMN19302770	34.35056 N 85.67525 W		FEN_449_Thelotrema_subtile_Plate6_R1.fastq.gz	
SRR14721933	SAMN19302769	34.35056 N 85.67525 W		FEN_448_Bathelium_carolinianum_Plate6_R1.fastq.gz	
SRR14721934	SAMN19302768	34.35056 N 85.67525 W		FEN_447_Tylophoron_americanum_Plate6_R1.fastq.gz	
SRR14721935	SAMN19302767	34.4717 N 86.0511 W		FEN_446_Parmotrema_submarginale_Plate6_R1.fastq.gz	
SRR14721936	SAMN19302766	34.45592 N 85.58447 W		FEN_445_Cladonia_peziziformis_Plate6_R1.fastq.gz	
SRR14721937	SAMN19302765	34.45592 N 85.58447 W		FEN_444_Dermatocarpon_luridum_Plate6_R1.fastq.gz	
SRR14721938	SAMN19302764	34.36786 N 85.62986 W		FEN_443_Anaptychia_palmulata_Plate6_R1.fastq.gz	
SRR14721939	SAMN19302763	34.36786 N 85.62986 W		FEN_442_Cladonia_polycarpoides_Plate6_R1.fastq.gz	
SRR14721940	SAMN19302481	35.47 N 83.5583 W		Plate1_C7_S13_L002_R1_001.fastq.gz	
SRR14721941	SAMN19302762	34.3736 N 85.6922 W		FEN_441_Porpidia_subsimplex_Plate6_R1.fastq.gz	
SRR14721942	SAMN19302761	34.3736 N 85.6922 W		FEN_440_Bulbothrix_scortella_Plate6_R1.fastq.gz	
SRR14721943	SAMN19302760	34.3736 N 85.6922 W		FEN_439_Parmotrema_neotropicum_Plate6_R1.fastq.gz	
SRR14721944	SAMN19302759	34.36786 N 85.62986 W	Lendemer_49273_NY-3033725	FEN_438_Pyrrhospora_varians_Plate6_R1.fastq.gz	
SRR14721945	SAMN19302758	34.36786 N 85.62986 W		FEN_437_Trapelia_placodioides_Plate6_R1.fastq.gz	
SRR14721946	SAMN19302757	34.3736 N 85.6922 W		FEN_436_Thelotrema_defectum_Plate6_R1.fastq.gz	
SRR14721947	SAMN19302756	34.36786 N 85.62986 W		FEN_435_Usnea_mutabilis_Plate6_R1.fastq.gz	
SRR14721948	SAMN19302755	34.3736 N 85.6922 W		FEN_434_Porpidia_albocaerulescens_Plate6_R1.fastq.gz	
SRR14721949	SAMN19302754	34.3736 N 85.6922 W		FEN_433_Lecanora_orienoides_Plate6_R1.fastq.gz	
SRR14721950	SAMN19302753	34.47731 N 86.0583 W		FEN_432_Pseudosagedia_chlorotica_Plate6_R1.fastq.gz	
SRR14721951	SAMN19302480	35.47 N 83.5583 W		Plate1_B7_S7_L002_R1_001.fastq.gz	
SRR14721952	SAMN19302453	35.4828 N 83.5597 W		FEN_9_Cladonia_ochrochlora_Plate1_A2_R1.fastq.gz	
SRR14721953	SAMN19302752	34.3736 N 85.6922 W		FEN_431_Pannaria_tavaresii_Plate6_R1.fastq.gz	
SRR14721954	SAMN19302751	34.3736 N 85.6922 W		FEN_430_Collema_furfuraceum_Plate6_R1.fastq.gz	
SRR14721955	SAMN19302750	34.3736 N 85.6922 W		FEN_429_Halecania_sp_Plate6_R1.fastq.gz	
SRR14721956	SAMN19302749	34.3736 N 85.6922 W		FEN_428_Parmotrema_ultralucens_Plate6_R1.fastq.gz	
SRR14721957	SAMN19302748	34.3736 N 85.6922 W		FEN_427_Ephebe_solida_Plate6_R1.fastq.gz	
SRR14721958	SAMN19302747	34.3736 N 85.6922 W		FEN_426_Dibaeis_absoluta_Plate6_R1.fastq.gz	
SRR14721959	SAMN19302746	34.3736 N 85.6922 W		FEN_425_Ionaspis_lacustris_Plate6_R1.fastq.gz	
SRR14721960	SAMN19302745	34.4717 N 86.0511 W		FEN_424_Phyllopsora_corallina_Plate6_R1.fastq.gz	
SRR14721961	SAMN19302744	34.4717 N 86.0511 W		FEN_423_Dermatocarpon_muhlenbergii_Plate6_R1.fastq.gz	
SRR14721962	SAMN19302743	34.4717 N 86.0511 W		FEN_422_Ramalina_intermedia_Plate6_R1.fastq.gz	
SRR14721963	SAMN19302479	35.47 N 83.5583 W		Plate1_A7_S1_L002_R1_001.fastq.gz	
SRR14721964	SAMN19302742	34.4717 N 86.0511 W		FEN_421_Phyllopsora_parvifolia_Plate6_R1.fastq.gz	
SRR14721965	SAMN19302741	34.4717 N 86.0511 W		FEN_420_Cladonia_petrophila_Plate6_R1.fastq.gz	
SRR14721966	SAMN19302740	34.4717 N 86.0511 W		FEN_419_Opegrapha_moroziana_Plate6_R1.fastq.gz	
SRR14721967	SAMN19302739	34.4717 N 86.0511 W		FEN_418_Phaeophyscia_adiastola_Plate6_R1.fastq.gz	
SRR14721968	SAMN19302738	34.4717 N 86.0511 W		FEN_417_Botryolepraria_lesdainii_Plate6_R1.fastq.gz	
SRR14721969	SAMN19302737	34.4717 N 86.0511 W		FEN_416_Chrysothrix_onokoensis_Plate5_R1.fastq.gz	
SRR14721970	SAMN19302736	34.4717 N 86.0511 W	Tripp_6156_NY-2796959	FEN_415_Leucodecton_sp_Plate5_R1.fastq.gz	
SRR14721971	SAMN19302735	34.4717 N 86.0511 W		FEN_414_Porina_heterospora_Plate5_R1.fastq.gz	
SRR14721972	SAMN19302734	34.4717 N 86.0511 W		FEN_413_Sticta_caroliniana_Plate5_R1.fastq.gz	
SRR14721973	SAMN19302733	34.4717 N 86.0511 W		FEN_412_Fissurina_insidiosa_Plate5_R1.fastq.gz	
SRR14721974	SAMN19302478	35.585 N 83.4747 W		FEN_57_Everniastrum_catawbiense_Plate1_D6_R1.fastq.gz	
SRR14721975	SAMN19302732	34.4717 N 86.0511 W		FEN_411_Leptogium_cyanescens_Plate5_R1.fastq.gz	
SRR14721976	SAMN19302731	34.47731 N 86.0583 W		FEN_410_Porina_scabrida_Plate5_R1.fastq.gz	
SRR14721977	SAMN19302730	34.47731 N 86.0583 W		FEN_409_Pseudosagedia_cestrensis_Plate5_R1.fastq.gz	
SRR14721978	SAMN19302729	34.47731 N 86.0583 W		FEN_408_Arthonia_rubella_Plate5_R1.fastq.gz	
SRR14721979	SAMN19302728	34.47731 N 86.0583 W		FEN_407_Parmotrema_tinctorum_Plate5_R1.fastq.gz	
SRR14721980	SAMN19302727	34.47731 N 86.0583 W		FEN_406_Aspicilia_laevata_Plate5_R1.fastq.gz	
SRR14721981	SAMN19302726	34.47731 N 86.0583 W		FEN_405_Pyxine_albovirens_Plate5_R1.fastq.gz	
SRR14721982	SAMN19302725	34.47731 N 86.0583 W	Lendemer_49042_NY-3033146	FEN_404_Unknown_Plate5_R1.fastq.gz	
SRR14721983	SAMN19302724	34.47731 N 86.0583 W		FEN_403_Gyalecta_farlowii_Plate5_R1.fastq.gz	
SRR14721984	SAMN19302723	34.47731 N 86.0583 W		FEN_402_Pertusaria_plittiana_Plate5_R1.fastq.gz	
SRR14721985	SAMN19302477	35.585 N 83.4747 W		FEN_56_Imshaugia_aleurites_Plate1_C6_R1.fastq.gz	
SRR14721986	SAMN19302722	34.47731 N 86.0583 W		FEN_401_Dirinaria_frostii_Plate5_R1.fastq.gz	
SRR14721987	SAMN19302721	34.47731 N 86.0583 W		FEN_400_Lecanora_saxigena_Plate5_R1.fastq.gz	
SRR14721988	SAMN19302720	34.47731 N 86.0583 W		FEN_399_Chrysothrix_xanthina_Plate5_R1.fastq.gz	
SRR14721989	SAMN19302719	34.47731 N 86.0583 W		FEN_398_Heterodermia_granulifera_Plate5_R1.fastq.gz	
SRR14721990	SAMN19302718	34.47731 N 86.0583 W		FEN_397_Myelochroa_obsessa_Plate5_R1.fastq.gz	
SRR14721991	SAMN19302717	35.0233 N 83.1706 W		FEN_396_Rinodina_sp_Plate5_R1.fastq.gz	
SRR14721992	SAMN19302716	35.0253 N 83.1747 W		FEN_395_Flavoparmelia_baltimorensis_Plate5_R1.fastq.gz	
SRR14721993	SAMN19302715	35.0261 N 83.1778 W	Lendemer_48835_NY-3720155	FEN_394_Unknown_Plate5_R1.fastq.gz	
SRR14721994	SAMN19302714	35.0261 N 83.1778 W	Lendemer_48883_NY-3033306	FEN_393_Lecanora_nothocaesiella_Plate5_R1.fastq.gz	
SRR14721995	SAMN19302713	35.0253 N 83.1747 W		FEN_392_Lepra_amara_Plate5_R1.fastq.gz	
SRR14721996	SAMN19302476	35.5631 N 83.4983 W		FEN_55_Hypogymnia_vittata_Plate1_B6_R1.fastq.gz	
SRR14721997	SAMN19302712	35.0261 N 83.1778 W		FEN_391_Parmotrema_simulans_Plate5_R1.fastq.gz	
SRR14721998	SAMN19302711	35.0261 N 83.1778 W		FEN_390_Lepraria_normandinoides_Plate5_R1.fastq.gz	
SRR14721999	SAMN19302710	35.0261 N 83.1778 W		FEN_389_Ochrolechia_trochophora_Plate5_R1.fastq.gz	
SRR14722000	SAMN19302709	35.0261 N 83.1778 W		FEN_388_Parmotrema_mellissii_Plate5_R1.fastq.gz	
SRR14722001	SAMN19302708	35.1036 N 83.2075 W		FEN_387_Bacidia_sorediata_Plate5_R1.fastq.gz	
SRR14722002	SAMN19302707	35.1058 N 83.2033 W		FEN_386_Hypotrachyna_lividescens_Plate5_R1.fastq.gz	
SRR14722003	SAMN19302706	35.1036 N 83.2075 W		FEN_385_Ramalina_culbersoniorum_Plate5_R1.fastq.gz	
SRR14722004	SAMN19302705	35.1036 N 83.2075 W		FEN_384_Cetrelia_chicitae_Plate5_R1.fastq.gz	
SRR14722005	SAMN19302704	35.0253 N 83.1747 W		FEN_383_Heterodermia_neglecta_Plate5_R1.fastq.gz	
SRR14722006	SAMN19302703	35.0253 N 83.1747 W		FEN_382_Cetrelia_olivetorum_Plate5_R1.fastq.gz	
SRR14722007	SAMN19302475	35.5631 N 83.4983 W		FEN_54_Platismatia_glauca_Plate1_A6_R1.fastq.gz	
SRR14722008	SAMN19302702	35.0253 N 83.1747 W		FEN_381_Sticta_fragillinata_Plate5_R1.fastq.gz	
SRR14722009	SAMN19302701	35.0253 N 83.1747 W		FEN_380_Cladonia_apodocarpa_Plate5_R1.fastq.gz	
SRR14722010	SAMN19302700	35.0253 N 83.1747 W		FEN_379_Pertusaria_propinqua_Plate5_R1.fastq.gz	
SRR14722011	SAMN19302699	35.1036 N 83.2075 W		FEN_378_Biatora_longispora_Plate5_R1.fastq.gz	
SRR14722012	SAMN19302698	35.1036 N 83.2075 W		FEN_377_Conotrema_urceolatum_Plate5_R1.fastq.gz	
SRR14722013	SAMN19302697	35.1036 N 83.2075 W		FEN_376_Biatora_pontica_Plate5_R1.fastq.gz	
SRR14722014	SAMN19302696	35.1036 N 83.2075 W		FEN_375_Hypotrachyna_minarum_Plate5_R1.fastq.gz	
SRR14722015	SAMN19302695	35.1036 N 83.2075 W		FEN_374_Leptogium_corticola_Plate5_R1.fastq.gz	
SRR14722016	SAMN19302694	35.1036 N 83.2075 W		FEN_373_Umbilicaria_mammulata_Plate5_R1.fastq.gz	
SRR14722017	SAMN19302693	35.1036 N 83.2075 W		FEN_372_Heterodermia_squamulosa_Plate5_R1.fastq.gz	
SRR14722018	SAMN19302474	35.61 N 83.4467 W		FEN_49_Lepraria_oxybapha_Plate1_D5_R1.fastq.gz	
SRR14722019	SAMN19302692	35.1036 N 83.2075 W		FEN_371_Dendriscocaulon_intricatulum_Plate5_R1.fastq.gz	
SRR14722020	SAMN19302691	35.1036 N 83.2075 W		FEN_370_Parmotrema_critinum_Plate5_R1.fastq.gz	
SRR14722021	SAMN19302690	35.1036 N 83.2075 W		FEN_369_Parmotrema_perlatum_Plate5_R1.fastq.gz	
SRR14722022	SAMN19302689	35.1036 N 83.2075 W		FEN_368_Usnea_subgracilis_Plate5_R1.fastq.gz	
SRR14722023	SAMN19302688	35.1036 N 83.2075 W		FEN_367_Usnea_ceratina_Plate5_R1.fastq.gz	
SRR14722024	SAMN19302687	35.7314 N 79.1053 W		FEN_366_Dermiscellum_oulocheilum_Plate5_R1.fastq.gz	
SRR14722025	SAMN19302686	35.1058 N 83.2033 W		FEN_365_Collema_conglomeratum_Plate5_R1.fastq.gz	
SRR14722026	SAMN19302685	35.1058 N 83.2033 W		FEN_364_Tuckermanopsis_ciliaris_Plate5_R1.fastq.gz	
SRR14722027	SAMN19302684	35.1058 N 83.2033 W		FEN_363_Ahtiana_aurescens_Plate5_R1.fastq.gz	
SRR14722028	SAMN19302683	35.1058 N 83.2033 W		FEN_362_Parmotrema_reticulatum_Plate5_R1.fastq.gz	
SRR14722029	SAMN19302473	35.61 N 83.4467 W		FEN_48_Arthonia_kermesina_Plate3_G1_R1.fastq.gz	
SRR14722030	SAMN19302682	35.1058 N 83.2033 W		FEN_361_Parmelia_squarrosa_Plate5_R1.fastq.gz	
SRR14722031	SAMN19302681	35.1058 N 83.2033 W		FEN_360_Ramalina_americana_Plate5_R1.fastq.gz	
SRR14722032	SAMN19302677	35.1058 N 83.2033 W		FEN_356_Platismatia_tuckermanii_Plate5_R1.fastq.gz	
SRR14722033	SAMN19302676	35.5994 N 83.1033 W		FEN_355_Lecanora_pseudistera_Plate5_R1.fastq.gz	
SRR14722034	SAMN19302675	35.5994 N 83.1033 W		FEN_354_Lepraria_jackii_Plate5_R1.fastq.gz	
SRR14722035	SAMN19302674	35.5994 N 83.1033 W		FEN_353_Melanohalea_halei_Plate5_R1.fastq.gz	
SRR14722036	SAMN19302673	35.5994 N 83.1033 W		FEN_352_Phaeophyscia_hispidula_Plate5_R1.fastq.gz	
SRR14722037	SAMN19302672	35.5994 N 83.1033 W		FEN_351_Phlyctis_speirea_Plate5_R1.fastq.gz	
SRR14722038	SAMN19302671	35.5994 N 83.1033 W		FEN_350_Flavopunctelia_flaventior_Plate5_R1.fastq.gz	
SRR14722039	SAMN19302670	35.65324 N 83.43169 W		FEN_320_S64_R1_001.fastq.gz	
SRR14722040	SAMN19302472	35.61 N 83.4467 W		FEN_47_Arthonia_kermesina_Plate3_F1_R1.fastq.gz	
SRR14722041	SAMN19302669	35.65324 N 83.43169 W		FEN_319_S63_R1_001.fastq.gz	
SRR14722042	SAMN19302668	"35.6, -83.06"		FEN_318_S62_R1_001.fastq.gz	picked based on the disctription. USA Haywood Great Smoky Mountains National Park southern face of Purchase Knob
SRR14722043	SAMN19302667	35.5325 N 83.4256 W		FEN_317_S61_R1_001.fastq.gz	
SRR14722044	SAMN19302666	35.5394 N 83.4547 W		FEN_316_S60_R1_001.fastq.gz	
SRR14722045	SAMN19302665	35.57954 N 83.15427 W		FEN_315_S59_R1_001.fastq.gz	
SRR14722046	SAMN19302664	35.654972 N 83.445984 W		FEN_314_S58_R1_001.fastq.gz	
SRR14722047	SAMN19302663	35.5575 N 83.7417 W		FEN_313_S57_R1_001.fastq.gz	
SRR14722048	SAMN19302662	35.54919 N 83.50379 W		FEN_312_S56_R1_001.fastq.gz	
SRR14722049	SAMN19302661	35.54919 N 83.50379 W		FEN_311_S55_R1_001.fastq.gz	
SRR14722050	SAMN19302660	35.685 N 83.2714 W		FEN_310_S54_R1_001.fastq.gz	
SRR14722051	SAMN19302471	35.585 N 83.4747 W		FEN_46_Xylographa_truncigena_Plate3_E1_R1.fastq.gz	
SRR14722052	SAMN19302659	35.6431 N 83.8036 W		FEN_309_S53_R1_001.fastq.gz	
