alignment	start	end	length	nseqs	nparsimony	nvariable	nfixed
351482at4751_aligned_trimmed.fas	44445	44734	290	306	79	219	68
383007at4751_aligned_trimmed.fas	44735	45195	461	329	39	457	4
138697at4751_aligned_trimmed.fas	45196	45678	483	259	13	480	2
312209at4751_aligned_trimmed.fas	45679	45859	181	157	36	173	8
259883at4751_aligned_trimmed.fas	45860	46044	185	237	37	168	17
156073at4751_aligned_trimmed.fas	46045	46723	679	324	81	676	3
126256at4751_aligned_trimmed.fas	46724	47212	489	309	90	444	44
351849at4751_aligned_trimmed.fas	47213	47446	234	180	59	231	3
73477at4751_aligned_trimmed.fas	47447	48009	563	322	57	496	61
283177at4751_aligned_trimmed.fas	48010	48551	542	333	69	517	24
11636at4751_aligned_trimmed.fas	48552	49947	1396	326	184	1391	5
399376at4751_aligned_trimmed.fas	49948	50264	317	300	25	309	8
212522at4751_aligned_trimmed.fas	50265	51034	770	295	55	759	11
90022at4751_aligned_trimmed.fas	51035	51593	559	297	66	557	2
416914at4751_aligned_trimmed.fas	51594	51997	404	287	38	402	2
79294at4751_aligned_trimmed.fas	51998	52587	590	241	130	537	51
202089at4751_aligned_trimmed.fas	52588	52949	362	316	69	359	3
351351at4751_aligned_trimmed.fas	52950	53623	674	251	30	671	2
321585at4751_aligned_trimmed.fas	53624	53901	278	316	55	274	4
269939at4751_aligned_trimmed.fas	53902	54556	655	314	43	654	1
260722at4751_aligned_trimmed.fas	54557	54789	233	296	71	184	45
376539at4751_aligned_trimmed.fas	54790	55461	672	316	43	667	4
14986at4751_aligned_trimmed.fas	55462	56822	1361	326	155	1313	46
396842at4751_aligned_trimmed.fas	56823	57029	207	248	60	185	22
191114at4751_aligned_trimmed.fas	57030	57501	472	316	58	441	30
197612at4751_aligned_trimmed.fas	57502	58021	520	312	29	515	5
311048at4751_aligned_trimmed.fas	58022	58384	363	299	29	354	9
434428at4751_aligned_trimmed.fas	58385	58548	164	326	61	120	42
4466at4751_aligned_trimmed.fas	58549	60610	2062	213	315	2007	54
298379at4751_aligned_trimmed.fas	60611	60761	151	305	60	140	11
411130at4751_aligned_trimmed.fas	60762	60954	193	265	39	190	3
330533at4751_aligned_trimmed.fas	60955	61436	482	273	50	478	4
376586at4751_aligned_trimmed.fas	61437	61765	329	284	41	322	7
393996at4751_aligned_trimmed.fas	61766	61928	163	319	35	99	60
251158at4751_aligned_trimmed.fas	61929	62277	349	281	126	261	82
142965at4751_aligned_trimmed.fas	62278	62869	592	279	77	581	9
75456at4751_aligned_trimmed.fas	62870	63558	689	321	46	686	3
100957at4751_aligned_trimmed.fas	63559	64612	1054	306	27	1054	0
8818at4751_aligned_trimmed.fas	64613	66004	1392	324	209	1338	49
337917at4751_aligned_trimmed.fas	66005	66342	338	317	38	334	4
406403at4751_aligned_trimmed.fas	66343	66597	255	276	59	245	10
497024at4751_aligned_trimmed.fas	66598	66676	79	307	14	78	1
256318at4751_aligned_trimmed.fas	66677	67190	514	296	60	507	6
411919at4751_aligned_trimmed.fas	67191	67750	560	230	28	555	5
352224at4751_aligned_trimmed.fas	67751	67970	220	234	28	212	8
221926at4751_aligned_trimmed.fas	67971	68750	780	321	72	774	6
168489at4751_aligned_trimmed.fas	68751	69547	797	321	36	785	12
14793at4751_aligned_trimmed.fas	69548	70537	990	319	26	987	3
216270at4751_aligned_trimmed.fas	70538	71004	467	324	80	444	23
353762at4751_aligned_trimmed.fas	71005	71288	284	316	119	272	12
281920at4751_aligned_trimmed.fas	71289	71568	280	315	45	268	11
357182at4751_aligned_trimmed.fas	71569	72071	503	290	32	494	9
315799at4751_aligned_trimmed.fas	72072	72565	494	331	40	490	4
315802at4751_aligned_trimmed.fas	72566	72954	389	305	66	378	11
111022at4751_aligned_trimmed.fas	72955	73434	480	257	28	475	4
388229at4751_aligned_trimmed.fas	73435	73670	236	250	43	229	6
329067at4751_aligned_trimmed.fas	73671	74144	474	313	7	474	0
418242at4751_aligned_trimmed.fas	74145	74410	266	334	64	259	7
169381at4751_aligned_trimmed.fas	74411	74990	580	317	86	568	12
187821at4751_aligned_trimmed.fas	74991	75527	537	234	26	528	9
310718at4751_aligned_trimmed.fas	75528	76274	747	333	161	739	8
54252at4751_aligned_trimmed.fas	76275	77249	975	338	207	927	47
63635at4751_aligned_trimmed.fas	77250	78141	892	328	31	885	6
302127at4751_aligned_trimmed.fas	78142	78634	493	322	18	492	1
428342at4751_aligned_trimmed.fas	78635	78787	153	314	42	118	34
81614at4751_aligned_trimmed.fas	78788	80560	1773	326	77	1773	0
297671at4751_aligned_trimmed.fas	80561	81157	597	320	24	585	11
34223at4751_aligned_trimmed.fas	81158	82402	1245	317	45	1245	0
84829at4751_aligned_trimmed.fas	82403	82752	350	302	63	323	23
52541at4751_aligned_trimmed.fas	82753	83579	827	305	212	768	56
393440at4751_aligned_trimmed.fas	83580	83820	241	247	18	241	0
254717at4751_aligned_trimmed.fas	83821	84159	339	301	79	286	52
336187at4751_aligned_trimmed.fas	84160	84314	155	222	40	150	5
211442at4751_aligned_trimmed.fas	84315	84874	560	329	54	537	22
189234at4751_aligned_trimmed.fas	84875	85515	641	306	35	641	0
433181at4751_aligned_trimmed.fas	85516	85604	89	301	27	88	0
12258at4751_aligned_trimmed.fas	85605	86949	1345	299	87	1335	9
126037at4751_aligned_trimmed.fas	86950	88080	1131	329	82	1119	12
282964at4751_aligned_trimmed.fas	88081	88350	270	308	39	264	6
209053at4751_aligned_trimmed.fas	88351	88811	461	313	27	450	10
481052at4751_aligned_trimmed.fas	88812	89063	252	296	66	229	22
225321at4751_aligned_trimmed.fas	89064	89462	399	315	76	328	69
371674at4751_aligned_trimmed.fas	89463	89786	324	231	89	310	13
372381at4751_aligned_trimmed.fas	89787	90267	481	307	70	471	10
411754at4751_aligned_trimmed.fas	90268	90475	208	265	49	180	23
176648at4751_aligned_trimmed.fas	90476	90885	410	306	93	386	24
349264at4751_aligned_trimmed.fas	90886	91167	282	331	67	246	35
371862at4751_aligned_trimmed.fas	91168	91483	316	310	33	282	33
458980at4751_aligned_trimmed.fas	91484	91816	333	215	43	323	10
196094at4751_aligned_trimmed.fas	91817	92476	660	311	99	651	9
138484at4751_aligned_trimmed.fas	92477	93275	799	312	52	793	6
13605at4751_aligned_trimmed.fas	93276	95171	1896	318	15	1896	0
76196at4751_aligned_trimmed.fas	95172	96044	873	331	112	841	29
3534at4751_aligned_trimmed.fas	96045	97794	1750	319	217	1667	81
453693at4751_aligned_trimmed.fas	97795	97935	141	312	67	127	12
172113at4751_aligned_trimmed.fas	97936	98369	434	327	58	414	18
226810at4751_aligned_trimmed.fas	98370	98833	464	311	14	461	3
408391at4751_aligned_trimmed.fas	98834	98989	156	306	53	152	4
467959at4751_aligned_trimmed.fas	98990	99220	231	236	51	215	14
345661at4751_aligned_trimmed.fas	99221	99335	115	280	16	108	7
215926at4751_aligned_trimmed.fas	99336	99813	478	297	7	478	0
75463at4751_aligned_trimmed.fas	99814	100208	395	295	125	376	18
184762at4751_aligned_trimmed.fas	100209	100596	388	314	43	254	133
6812at4751_aligned_trimmed.fas	100597	102219	1623	318	339	1472	141
86293at4751_aligned_trimmed.fas	102220	102814	595	281	56	590	5
154126at4751_aligned_trimmed.fas	102815	103588	774	288	35	761	13
241079at4751_aligned_trimmed.fas	103589	104100	512	249	63	506	5
385343at4751_aligned_trimmed.fas	104101	104444	344	316	64	294	47
61857at4751_aligned_trimmed.fas	104445	105077	633	312	34	633	0
25020at4751_aligned_trimmed.fas	105078	106293	1216	325	96	1208	8
494427at4751_aligned_trimmed.fas	106294	106393	100	316	39	86	12
67284at4751_aligned_trimmed.fas	106394	107229	836	315	8	836	0
402255at4751_aligned_trimmed.fas	107230	107492	263	244	51	245	17
428774at4751_aligned_trimmed.fas	107493	107684	192	322	89	178	14
289686at4751_aligned_trimmed.fas	107685	107901	217	314	14	214	2
386220at4751_aligned_trimmed.fas	107902	108082	181	309	83	166	15
241586at4751_aligned_trimmed.fas	108083	108568	486	316	99	468	16
343196at4751_aligned_trimmed.fas	108569	108911	343	316	44	339	4
356743at4751_aligned_trimmed.fas	108912	109127	216	305	45	191	24
208463at4751_aligned_trimmed.fas	109128	109786	659	314	78	654	5
435767at4751_aligned_trimmed.fas	109787	109996	210	332	56	190	20
46918at4751_aligned_trimmed.fas	109997	110966	970	309	133	960	10
419200at4751_aligned_trimmed.fas	110967	111201	235	258	62	227	8
332891at4751_aligned_trimmed.fas	111202	111843	642	317	56	642	0
366595at4751_aligned_trimmed.fas	111844	112079	236	295	64	225	11
252469at4751_aligned_trimmed.fas	112080	112443	364	285	22	336	28
389565at4751_aligned_trimmed.fas	112444	112712	269	317	42	246	23
317335at4751_aligned_trimmed.fas	112713	113000	288	306	92	279	6
201591at4751_aligned_trimmed.fas	113001	113366	366	270	39	365	1
416039at4751_aligned_trimmed.fas	113367	113513	147	166	62	142	5
173995at4751_aligned_trimmed.fas	113514	113944	431	239	30	430	1
311254at4751_aligned_trimmed.fas	113945	114268	324	323	49	322	2
445954at4751_aligned_trimmed.fas	114269	114346	78	287	9	70	8
419667at4751_aligned_trimmed.fas	114347	114457	111	268	41	102	9
174672at4751_aligned_trimmed.fas	114458	114888	431	281	55	421	10
75709at4751_aligned_trimmed.fas	114889	116450	1562	321	184	1525	37
233706at4751_aligned_trimmed.fas	116451	116869	419	321	90	391	26
461238at4751_aligned_trimmed.fas	116870	116990	121	313	33	111	9
445401at4751_aligned_trimmed.fas	116991	117188	198	320	39	174	23
224775at4751_aligned_trimmed.fas	117189	117532	344	311	73	325	19
420527at4751_aligned_trimmed.fas	117533	117714	182	295	45	174	8
304341at4751_aligned_trimmed.fas	117715	117962	248	257	57	231	16
104173at4751_aligned_trimmed.fas	117963	118401	439	245	50	438	1
403079at4751_aligned_trimmed.fas	118402	118610	209	307	43	195	13
378281at4751_aligned_trimmed.fas	118611	118912	302	319	61	290	12
317276at4751_aligned_trimmed.fas	118913	119315	403	320	56	369	33
291828at4751_aligned_trimmed.fas	119316	119593	278	290	56	263	15
447424at4751_aligned_trimmed.fas	119594	119941	348	260	44	338	9
198234at4751_aligned_trimmed.fas	119942	120270	329	331	9	329	0
68881at4751_aligned_trimmed.fas	120271	121112	842	316	20	841	1
112646at4751_aligned_trimmed.fas	121113	121765	653	337	10	653	0
118701at4751_aligned_trimmed.fas	121766	122618	853	309	59	847	6
185196at4751_aligned_trimmed.fas	122619	123383	765	317	66	762	3
337150at4751_aligned_trimmed.fas	123384	124248	865	309	36	856	8
236504at4751_aligned_trimmed.fas	124249	124643	395	326	86	287	100
126519at4751_aligned_trimmed.fas	124644	125027	384	307	112	332	52
332876at4751_aligned_trimmed.fas	125028	125744	717	324	102	701	15
130062at4751_aligned_trimmed.fas	125745	126776	1032	311	26	1031	1
129520at4751_aligned_trimmed.fas	126777	127331	555	330	118	487	66
444892at4751_aligned_trimmed.fas	127332	127678	347	326	17	347	0
68466at4751_aligned_trimmed.fas	127679	128497	819	325	101	807	12
320638at4751_aligned_trimmed.fas	128498	129010	513	332	92	490	22
304733at4751_aligned_trimmed.fas	129011	129300	290	242	20	290	0
17174at4751_aligned_trimmed.fas	129301	130359	1059	337	126	987	69
358118at4751_aligned_trimmed.fas	130360	130916	557	330	78	530	26
207926at4751_aligned_trimmed.fas	130917	131960	1044	332	107	1034	9
295937at4751_aligned_trimmed.fas	131961	132268	308	321	9	301	7
232698at4751_aligned_trimmed.fas	132269	133123	855	327	28	855	0
483370at4751_aligned_trimmed.fas	133124	133214	91	264	32	86	5
387759at4751_aligned_trimmed.fas	133215	133449	235	204	26	227	8
312950at4751_aligned_trimmed.fas	133450	133635	186	280	39	182	4
167290at4751_aligned_trimmed.fas	133636	134213	578	286	85	573	4
64498at4751_aligned_trimmed.fas	134214	134605	392	330	100	330	59
384156at4751_aligned_trimmed.fas	134606	134869	264	320	82	249	13
455110at4751_aligned_trimmed.fas	134870	135003	134	317	19	104	29
171238at4751_aligned_trimmed.fas	135004	135443	440	315	68	390	46
350840at4751_aligned_trimmed.fas	135444	135704	261	316	38	253	8
37642at4751_aligned_trimmed.fas	135705	136403	699	341	25	698	1
284176at4751_aligned_trimmed.fas	136404	136739	336	306	53	325	11
282059at4751_aligned_trimmed.fas	136740	137064	325	325	104	266	56
12959at4751_aligned_trimmed.fas	137065	139075	2011	274	111	1982	28
123277at4751_aligned_trimmed.fas	139076	140666	1591	320	11	1591	0
454840at4751_aligned_trimmed.fas	140667	140932	266	329	50	257	8
225820at4751_aligned_trimmed.fas	140933	141288	356	260	47	345	11
344553at4751_aligned_trimmed.fas	141289	141562	274	295	52	260	14
46090at4751_aligned_trimmed.fas	141563	142533	971	317	114	959	12
419048at4751_aligned_trimmed.fas	142534	142730	197	274	44	188	9
368706at4751_aligned_trimmed.fas	142731	142989	259	313	54	239	20
364284at4751_aligned_trimmed.fas	142990	143373	384	293	62	372	12
260251at4751_aligned_trimmed.fas	143374	143691	318	266	31	311	7
205479at4751_aligned_trimmed.fas	143692	144093	402	315	81	379	22
351906at4751_aligned_trimmed.fas	144094	144364	271	304	56	262	9
427250at4751_aligned_trimmed.fas	144365	144551	187	255	32	186	1
176478at4751_aligned_trimmed.fas	144552	145092	541	308	74	537	4
38184at4751_aligned_trimmed.fas	145093	146127	1035	292	57	1031	4
217374at4751_aligned_trimmed.fas	146128	146476	349	327	69	305	41
461919at4751_aligned_trimmed.fas	146477	146909	433	292	13	432	1
355454at4751_aligned_trimmed.fas	146910	147485	576	285	60	565	11
299559at4751_aligned_trimmed.fas	147486	147757	272	248	98	262	8
181959at4751_aligned_trimmed.fas	147758	148221	464	315	53	349	112
188070at4751_aligned_trimmed.fas	148222	148613	392	326	48	285	104
488348at4751_aligned_trimmed.fas	148614	148793	180	315	42	167	12
457951at4751_aligned_trimmed.fas	148794	148929	136	276	50	126	10
126249at4751_aligned_trimmed.fas	148930	149789	860	336	70	859	1
10531at4751_aligned_trimmed.fas	149790	151095	1306	323	28	1306	0
451701at4751_aligned_trimmed.fas	151096	151255	160	190	36	160	0
374548at4751_aligned_trimmed.fas	151256	151444	189	312	18	179	10
423166at4751_aligned_trimmed.fas	151445	151569	125	312	47	78	44
473814at4751_aligned_trimmed.fas	151570	151678	109	201	54	100	9
312080at4751_aligned_trimmed.fas	151679	152012	334	226	79	310	24
444602at4751_aligned_trimmed.fas	152013	152195	183	306	44	176	7
191296at4751_aligned_trimmed.fas	152196	153207	1012	305	29	1010	2
256914at4751_aligned_trimmed.fas	153208	153773	566	313	68	559	7
434500at4751_aligned_trimmed.fas	153774	154009	236	242	21	235	0
292418at4751_aligned_trimmed.fas	154010	154533	524	308	110	459	61
119833at4751_aligned_trimmed.fas	154534	154816	283	324	66	269	14
348020at4751_aligned_trimmed.fas	154817	155182	366	324	48	356	9
192452at4751_aligned_trimmed.fas	155183	155633	451	293	33	440	10
71039at4751_aligned_trimmed.fas	155634	156554	921	313	75	891	29
359271at4751_aligned_trimmed.fas	156555	157032	478	326	146	450	25
418680at4751_aligned_trimmed.fas	157033	157281	249	198	84	243	5
361877at4751_aligned_trimmed.fas	157282	157599	318	278	36	311	7
48708at4751_aligned_trimmed.fas	157600	158382	783	314	148	742	40
264164at4751_aligned_trimmed.fas	158383	159008	626	312	30	620	6
225712at4751_aligned_trimmed.fas	159009	159436	428	291	57	426	2
300216at4751_aligned_trimmed.fas	159437	159873	437	275	91	417	17
96633at4751_aligned_trimmed.fas	159874	160872	999	309	64	996	3
66151at4751_aligned_trimmed.fas	160873	161679	807	320	82	806	1
331022at4751_aligned_trimmed.fas	161680	162021	342	300	34	327	13
198196at4751_aligned_trimmed.fas	162022	162427	406	325	90	372	33
355781at4751_aligned_trimmed.fas	162428	162826	399	253	11	396	3
161113at4751_aligned_trimmed.fas	162827	163162	336	289	98	324	12
348111at4751_aligned_trimmed.fas	163163	163533	371	314	77	346	24
458554at4751_aligned_trimmed.fas	163534	163667	134	222	63	129	5
399810at4751_aligned_trimmed.fas	163668	163827	160	292	50	140	18
278643at4751_aligned_trimmed.fas	163828	164411	584	318	11	584	0
210462at4751_aligned_trimmed.fas	164412	164875	464	312	25	464	0
410986at4751_aligned_trimmed.fas	164876	165069	194	300	60	175	18
417746at4751_aligned_trimmed.fas	165070	165407	338	287	37	334	4
304547at4751_aligned_trimmed.fas	165408	165831	424	325	10	424	0
285254at4751_aligned_trimmed.fas	165832	166367	536	286	64	511	25
32164at4751_aligned_trimmed.fas	166368	167235	868	324	129	857	10
352999at4751_aligned_trimmed.fas	167236	167433	198	308	27	155	43
408419at4751_aligned_trimmed.fas	167434	167824	391	290	24	389	2
170297at4751_aligned_trimmed.fas	167825	168194	370	334	128	348	22
300016at4751_aligned_trimmed.fas	168195	168527	333	328	38	313	20
272711at4751_aligned_trimmed.fas	168528	168907	380	325	60	363	16
269389at4751_aligned_trimmed.fas	168908	169266	359	321	94	328	29
160995at4751_aligned_trimmed.fas	169267	169768	502	318	107	446	52
299054at4751_aligned_trimmed.fas	169769	170139	371	324	40	366	5
457544at4751_aligned_trimmed.fas	170140	170355	216	303	47	211	4
477122at4751_aligned_trimmed.fas	170356	170497	142	264	87	131	10
202248at4751_aligned_trimmed.fas	170498	171167	670	310	77	666	3
467311at4751_aligned_trimmed.fas	171168	171838	671	318	32	666	5
274828at4751_aligned_trimmed.fas	171839	172334	496	312	38	487	8
379525at4751_aligned_trimmed.fas	172335	172530	196	270	44	187	9
111189at4751_aligned_trimmed.fas	172531	173422	892	315	97	872	20
444399at4751_aligned_trimmed.fas	173423	173554	132	308	49	119	12
14523at4751_aligned_trimmed.fas	173555	174614	1060	327	62	1022	38
179025at4751_aligned_trimmed.fas	174615	174850	236	171	43	235	1
240246at4751_aligned_trimmed.fas	174851	175531	681	273	11	681	0
364123at4751_aligned_trimmed.fas	175532	176020	489	301	59	475	13
316920at4751_aligned_trimmed.fas	176021	176550	530	307	52	523	6
467847at4751_aligned_trimmed.fas	176551	176738	188	234	55	180	8
365270at4751_aligned_trimmed.fas	176739	177076	338	314	87	335	3
129326at4751_aligned_trimmed.fas	177077	177994	918	309	38	918	0
37573at4751_aligned_trimmed.fas	177995	178636	642	320	74	611	29
147028at4751_aligned_trimmed.fas	178637	179155	519	324	131	506	13
39833at4751_aligned_trimmed.fas	179156	179701	546	300	132	512	33
399413at4751_aligned_trimmed.fas	179702	179893	192	258	46	180	11
484323at4751_aligned_trimmed.fas	179894	180006	113	327	41	110	3
351646at4751_aligned_trimmed.fas	180007	180222	216	229	27	210	6
469452at4751_aligned_trimmed.fas	180223	180361	139	301	47	118	21
107464at4751_aligned_trimmed.fas	180362	180912	551	330	62	522	25
195863at4751_aligned_trimmed.fas	180913	181943	1031	312	97	1029	2
62846at4751_aligned_trimmed.fas	181944	182752	809	284	50	807	2
429332at4751_aligned_trimmed.fas	182753	182944	192	274	29	190	2
192059at4751_aligned_trimmed.fas	182945	183814	870	310	21	868	2
405669at4751_aligned_trimmed.fas	183815	184160	346	299	65	336	7
276205at4751_aligned_trimmed.fas	184161	184462	302	293	29	253	48
22992at4751_aligned_trimmed.fas	184463	185050	588	264	7	588	0
14441at4751_aligned_trimmed.fas	185051	186762	1712	297	167	1615	93
411677at4751_aligned_trimmed.fas	186763	186961	199	303	15	198	1
456963at4751_aligned_trimmed.fas	186962	187093	132	257	13	132	0
385564at4751_aligned_trimmed.fas	187094	187649	556	306	47	536	20
376442at4751_aligned_trimmed.fas	187650	188330	681	308	16	681	0
190183at4751_aligned_trimmed.fas	188331	188697	367	323	25	342	24
263390at4751_aligned_trimmed.fas	188698	189157	460	280	98	437	22
211634at4751_aligned_trimmed.fas	189158	189514	357	278	72	321	33
79262at4751_aligned_trimmed.fas	189515	190021	507	333	79	481	25
280937at4751_aligned_trimmed.fas	190022	190337	316	152	22	308	6
315639at4751_aligned_trimmed.fas	190338	190825	488	243	42	477	11
92267at4751_aligned_trimmed.fas	190826	191424	599	265	150	569	26
377787at4751_aligned_trimmed.fas	191425	191637	213	302	54	150	57
216661at4751_aligned_trimmed.fas	191638	191936	299	316	57	258	39
401387at4751_aligned_trimmed.fas	191937	192330	394	328	55	368	26
437914at4751_aligned_trimmed.fas	192331	192660	330	312	52	326	4
46098at4751_aligned_trimmed.fas	192661	193440	780	340	49	777	3
138695at4751_aligned_trimmed.fas	193441	194089	649	322	85	624	24
195619at4751_aligned_trimmed.fas	194090	194592	503	330	139	476	26
133954at4751_aligned_trimmed.fas	194593	195049	457	260	20	457	0
332036at4751_aligned_trimmed.fas	195050	195227	178	316	63	129	46
451811at4751_aligned_trimmed.fas	195228	195602	375	266	70	365	10
227572at4751_aligned_trimmed.fas	195603	195914	312	295	77	269	42
370952at4751_aligned_trimmed.fas	195915	196178	264	329	8	256	8
316254at4751_aligned_trimmed.fas	196179	196574	396	291	91	379	16
371481at4751_aligned_trimmed.fas	196575	196880	306	314	41	304	2
209619at4751_aligned_trimmed.fas	196881	197135	255	284	88	211	42
6592at4751_aligned_trimmed.fas	197136	197842	707	323	122	694	13
321728at4751_aligned_trimmed.fas	197843	198232	390	235	73	348	40
410458at4751_aligned_trimmed.fas	198233	198414	182	225	82	173	9
203710at4751_aligned_trimmed.fas	198415	198798	384	322	75	357	26
171181at4751_aligned_trimmed.fas	198799	198896	98	273	27	94	4
299611at4751_aligned_trimmed.fas	198897	199374	478	317	57	468	9
237533at4751_aligned_trimmed.fas	199375	199646	272	331	44	259	13
419232at4751_aligned_trimmed.fas	199647	200129	483	317	7	481	2
257330at4751_aligned_trimmed.fas	200130	200719	590	320	6	587	2
27008at4751_aligned_trimmed.fas	200720	201583	864	233	47	852	12
115993at4751_aligned_trimmed.fas	201584	202352	769	314	154	735	34
237281at4751_aligned_trimmed.fas	202353	202529	177	313	21	170	6
272081at4751_aligned_trimmed.fas	202530	202828	299	183	29	296	3
405898at4751_aligned_trimmed.fas	202829	203418	590	324	46	585	4
385971at4751_aligned_trimmed.fas	203419	203741	323	317	41	309	13
112937at4751_aligned_trimmed.fas	203742	204443	702	313	94	682	20
378430at4751_aligned_trimmed.fas	204444	205005	562	342	13	559	3
190832at4751_aligned_trimmed.fas	205006	205484	479	298	69	474	5
