genome	secondary_cluster	threshold	cluster_method	comparison_algorithm	primary_cluster	size	BUSCO_lineage	BAT_euk	median_cov	mag	bat_bacteria	role	metagenome
public_SRR14722233_metabat2_bin.15.fa	26_0	0.05	average	ANImf	26	24194649	dothideomycetes_odb10	leotiomyceta	32	public_SRR14722233_metabat2_bin.15	NA	mycobiont	SRR14722233
private_T1914_concoct_bin.19.fa	27_0	0.05	average	ANImf	27	27996602	eurotiomycetes_odb10	Phaeomoniella chlamydospora	8	private_T1914_concoct_bin.19	NA	fungi_other	T1914
public_SRR14722135_metabat2_bin.8.fa	28_0	0.05	average	ANImf	28	20236142	eurotiomycetes_odb10	Phaeomoniella chlamydospora	5	public_SRR14722135_metabat2_bin.8	NA	fungi_other	SRR14722135
public_SRR14722032_metabat2_bin.2.fa	29_1	0.05	average	ANImf	29	31179552	ascomycota_odb10	OSLEUM clade	26	public_SRR14722032_metabat2_bin.2	NA	mycobiont	SRR14722032
public_SRR14722186_metabat2_bin.3.fa	29_1	0.05	average	ANImf	29	NA	NA	NA	NA	NA	NA	mycobiont	SRR14722186
private_T1912_concoct_bin.14.fa	29_2	0.05	average	ANImf	29	30118458	ascomycota_odb10	OSLEUM clade	NA	private_T1912_concoct_bin.14	NA	mycobiont	T1912
public_SRR14722109_metabat2_bin.1.fa	30_0	0.05	average	ANImf	30	31879348	ascomycota_odb10	OSLEUM clade	34	public_SRR14722109_metabat2_bin.1	NA	mycobiont	SRR14722109
public_SRR14721995_metabat2_bin.4.fa	31_0	0.05	average	ANImf	31	31516815	ascomycota_odb10	OSLEUM clade	9	public_SRR14721995_metabat2_bin.4	NA	mycobiont	SRR14721995
public_SRR14721999_concoct_bin.2.fa	32_0	0.05	average	ANImf	32	23263670	ascomycota_odb10	Lasallia pustulata	20	public_SRR14721999_concoct_bin.2	NA	mycobiont	SRR14721999
public_SRR14722159_metabat2_bin.7.fa	33_0	0.05	average	ANImf	33	21252951	ascomycota_odb10	OSLEUM clade	60	public_SRR14722159_metabat2_bin.7	NA	mycobiont	SRR14722159
public_SRR14721944_concoct_merged.0.fa	34_0	0.05	average	ANImf	34	21879680	ascomycota_odb10	Letharia	8	public_SRR14721944_concoct_merged.0	NA	mycobiont	SRR14721944
public_SRR14722188_metabat2_bin.28.fa	35_0	0.05	average	ANImf	35	9566273	ascomycota_odb10	leotiomyceta	4	public_SRR14722188_metabat2_bin.28	NA	fungi_other	SRR14722188
private_X8_metabat2_bin.7.fa	36_0	0.05	average	ANImf	36	15245811	tremellomycetes_odb10	Tremellales	4	private_X8_metabat2_bin.7	NA	tremella	X8
public_SRR14721980_metabat2_bin.4.fa	37_0	0.05	average	ANImf	37	24074817	ascomycota_odb10	Lasallia pustulata	19	public_SRR14721980_metabat2_bin.4	NA	mycobiont	SRR14721980
public_SRR14722147_concoct_bin.2.fa	38_0	0.05	average	ANImf	38	26714181	ascomycota_odb10	Letharia	93	public_SRR14722147_concoct_bin.2	NA	mycobiont	SRR14722147
public_SRR14722147_metabat2_bin.1.fa	39_0	0.05	average	ANImf	39	15387725	eukaryota_odb10	Letharia	4	public_SRR14722147_metabat2_bin.1	NA	fungi_other	SRR14722147
public_SRR14722307_metabat2_bin.5.fa	40_0	0.05	average	ANImf	40	21218329	ascomycota_odb10	OSLEUM clade	10	public_SRR14722307_metabat2_bin.5	NA	mycobiont	SRR14722307
public_SRR14722123_concoct_merged.0.fa	41_0	0.05	average	ANImf	41	20570369	ascomycota_odb10	Letharia	125	public_SRR14722123_concoct_merged.0	NA	mycobiont	SRR14722123
public_SRR14722230_metabat2_bin.7.fa	42_0	0.05	average	ANImf	42	20537062	ascomycota_odb10	OSLEUM clade	14	public_SRR14722230_metabat2_bin.7	NA	mycobiont	SRR14722230
public_SRR14721959_metabat2_bin.2.fa	43_1	0.05	average	ANImf	43	18791956	ascomycota_odb10	OSLEUM clade	33	public_SRR14721959_metabat2_bin.2	NA	mycobiont	SRR14721959
public_SRR14722098_metabat2_bin.9.fa	43_2	0.05	average	ANImf	43	18354405	ascomycota_odb10	OSLEUM clade	29	public_SRR14722098_metabat2_bin.9	NA	mycobiont	SRR14722098
public_SRR14722046_concoct_bin.7.fa	44_1	0.05	average	ANImf	44	27286209	ascomycota_odb10	OSLEUM clade	22	public_SRR14722046_concoct_bin.7	NA	mycobiont	SRR14722046
public_SRR14722165_concoct_bin.25.fa	44_2	0.05	average	ANImf	44	28485352	ascomycota_odb10	OSLEUM clade	43	public_SRR14722165_concoct_bin.25	NA	mycobiont	SRR14722165
public_SRR14722013_metabat2_bin.2.fa	45_0	0.05	average	ANImf	45	26174165	ascomycota_odb10	Letharia	21	public_SRR14722013_metabat2_bin.2	NA	mycobiont	SRR14722013
public_SRR14722177_concoct_bin.11.fa	46_0	0.05	average	ANImf	46	24200494	ascomycota_odb10	Letharia	37	public_SRR14722177_concoct_bin.11	NA	mycobiont	SRR14722177
public_SRR14722177_concoct_merged.0.fa	47_0	0.05	average	ANImf	47	27302582	capnodiales_odb10	Mycosphaerellales	5	public_SRR14722177_concoct_merged.0	NA	fungi_other	SRR14722177
public_SRR14722185_metabat2_bin.2.fa	48_0	0.05	average	ANImf	48	26056273	ascomycota_odb10	Letharia	24	public_SRR14722185_metabat2_bin.2	NA	mycobiont	SRR14722185
private_T1867_concoct_bin.8.fa	49_1	0.05	average	ANImf	49	24754787	ascomycota_odb10	OSLEUM clade	28	private_T1867_concoct_bin.8	NA	mycobiont	T1867
public_SRR14722188_metabat2_bin.25.fa	49_2	0.05	average	ANImf	49	24893827	ascomycota_odb10	OSLEUM clade	44	public_SRR14722188_metabat2_bin.25	NA	mycobiont	SRR14722188
private_T1889_concoct_bin.13.fa	49_3	0.05	average	ANImf	49	24831450	ascomycota_odb10	OSLEUM clade	NA	private_T1889_concoct_bin.13	NA	mycobiont	T1889
public_SRR14722051_metabat2_bin.4.fa	50_0	0.05	average	ANImf	50	25666973	ascomycota_odb10	OSLEUM clade	14	public_SRR14722051_metabat2_bin.4	NA	mycobiont	SRR14722051
public_ERR4179390_metabat2_bin.28.fa	51_1	0.05	average	ANImf	51	46620885	ascomycota_odb10	OSLEUM clade	NA	public_ERR4179390_metabat2_bin.28	NA	mycobiont	ERR4179390
public_SRR14722019_concoct_merged.0.fa	51_2	0.05	average	ANImf	51	32096469	ascomycota_odb10	OSLEUM clade	6	public_SRR14722019_concoct_merged.0	NA	mycobiont	SRR14722019
public_SRR14722112_metabat2_bin.8.fa	52_0	0.05	average	ANImf	52	30295613	ascomycota_odb10	OSLEUM clade	28	public_SRR14722112_metabat2_bin.8	NA	mycobiont	SRR14722112
public_SRR14722113_metabat2_bin.5.fa	53_1	0.05	average	ANImf	53	28726273	ascomycota_odb10	OSLEUM clade	32	public_SRR14722113_metabat2_bin.5	NA	mycobiont	SRR14722113
public_SRR14722175_metabat2_bin.4.fa	53_1	0.05	average	ANImf	53	NA	NA	NA	NA	NA	NA	mycobiont	SRR14722175
public_SRR14722130_metabat2_bin.11.fa	54_0	0.05	average	ANImf	54	20107954	ascomycota_odb10	Letharia	8	public_SRR14722130_metabat2_bin.11	NA	fungi_other	SRR14722130
public_SRR14722154_concoct_bin.10.fa	55_0	0.05	average	ANImf	55	15975792	ascomycota_odb10	Eurotiomycetes	5	public_SRR14722154_concoct_bin.10	NA	fungi_other	SRR14722154
private_T1888_metabat2_bin.52.fa	56_1	0.05	average	ANImf	56	29924716	eurotiomycetes_odb10	Chaetothyriomycetidae	9	private_T1888_metabat2_bin.52	NA	fungi_other	T1888
private_T1904_concoct_bin.11.fa	56_2	0.05	average	ANImf	56	26722152	eurotiomycetes_odb10	Chaetothyriomycetidae	7	private_T1904_concoct_bin.11	NA	fungi_other	T1904
public_SRR14722165_concoct_bin.24.fa	57_0	0.05	average	ANImf	57	23394055	eurotiomycetes_odb10	Chaetothyriomycetidae	12	public_SRR14722165_concoct_bin.24	NA	fungi_other	SRR14722165
public_SRR14721968_concoct_bin.6.fa	58_0	0.05	average	ANImf	58	20394191	eurotiomycetes_odb10	Endocarpon pusillum	7	public_SRR14721968_concoct_bin.6	NA	mycobiont	SRR14721968
public_SRR14722176_concoct_bin.30.fa	59_0	0.05	average	ANImf	59	19199543	eurotiomycetes_odb10	Endocarpon pusillum	4	public_SRR14722176_concoct_bin.30	NA	fungi_other	SRR14722176
public_SRR14721937_metabat2_bin.4.fa	60_1	0.05	average	ANImf	60	25566584	eurotiomycetes_odb10	Endocarpon pusillum	10	public_SRR14721937_metabat2_bin.4	NA	mycobiont	SRR14721937
public_SRR14721961_concoct_bin.1.fa	60_1	0.05	average	ANImf	60	NA	NA	NA	NA	NA	NA	mycobiont	SRR14721961
public_SRR14722308_metabat2_bin.6.fa	61_0	0.05	average	ANImf	61	24619376	eurotiomycetes_odb10	Endocarpon pusillum	50	public_SRR14722308_metabat2_bin.6	NA	mycobiont	SRR14722308
public_SRR12240185_concoct_bin.1.fa	62_0	0.05	average	ANImf	62	34534459	ascomycota_odb10	OSLEUM clade	44	public_SRR12240185_concoct_bin.1	NA	mycobiont	SRR12240185
public_SRR14721991_concoct_merged.0.fa	63_0	0.05	average	ANImf	63	31028479	ascomycota_odb10	OSLEUM clade	6	public_SRR14721991_concoct_merged.0	NA	mycobiont	SRR14721991
public_SRR13685140_metabat2_bin.1.fa	64_0	0.05	average	ANImf	64	22898054	ascomycota_odb10	leotiomyceta	30	public_SRR13685140_metabat2_bin.1	NA	mycobiont	SRR13685140
public_SRR14722176_metabat2_bin.14.fa	65_1	0.05	average	ANImf	65	23205678	ascomycota_odb10	OSLEUM clade	41	public_SRR14722176_metabat2_bin.14	NA	mycobiont	SRR14722176
public_SRR14722188_concoct_bin.0.fa	65_1	0.05	average	ANImf	65	NA	NA	NA	NA	NA	NA	fungi_other	SRR14722188
public_SRR14721931_concoct_merged.0.fa	66_1	0.05	average	ANImf	66	NA	NA	NA	NA	NA	NA	mycobiont	SRR14721931
public_SRR14722054_metabat2_bin.5.fa	66_1	0.05	average	ANImf	66	29545193	ascomycota_odb10	OSLEUM clade	6	public_SRR14722054_metabat2_bin.5	NA	mycobiont	SRR14722054
public_SRR12240182_metabat2_bin.7.fa	66_2	0.05	average	ANImf	66	31599184	ascomycota_odb10	OSLEUM clade	19	public_SRR12240182_metabat2_bin.7	NA	mycobiont	SRR12240182
public_SRR14722141_concoct_bin.2.fa	66_3	0.05	average	ANImf	66	31686946	ascomycota_odb10	OSLEUM clade	21	public_SRR14722141_concoct_bin.2	NA	mycobiont	SRR14722141
public_SRR14722036_metabat2_bin.1.fa	66_4	0.05	average	ANImf	66	32350195	ascomycota_odb10	OSLEUM clade	9	public_SRR14722036_metabat2_bin.1	NA	mycobiont	SRR14722036
public_SRR14722072_concoct_merged.0.fa	67_0	0.05	average	ANImf	67	23918369	ascomycota_odb10	OSLEUM clade	7	public_SRR14722072_concoct_merged.0	NA	mycobiont	SRR14722072
private_GTX0163_concoct_bin.14.fa	68_1	0.05	average	ANImf	68	32085414	ascomycota_odb10	OSLEUM clade	179	private_GTX0163_concoct_bin.14	NA	mycobiont	GTX0163
public_SRR14721925_concoct_bin.8.fa	68_1	0.05	average	ANImf	68	NA	NA	NA	NA	NA	NA	mycobiont	SRR14721925
public_SRR14722138_metabat2_bin.7.fa	68_1	0.05	average	ANImf	68	NA	NA	NA	NA	NA	NA	mycobiont	SRR14722138
public_SRR14722005_metabat2_bin.1.fa	68_2	0.05	average	ANImf	68	29113940	ascomycota_odb10	OSLEUM clade	10	public_SRR14722005_metabat2_bin.1	NA	mycobiont	SRR14722005
public_SRR14722305_metabat2_bin.2.fa	68_3	0.05	average	ANImf	68	30013823	ascomycota_odb10	OSLEUM clade	11	public_SRR14722305_metabat2_bin.2	NA	mycobiont	SRR14722305
public_SRR14722081_metabat2_bin.3.fa	68_4	0.05	average	ANImf	68	NA	NA	NA	NA	NA	NA	mycobiont	SRR14722081
public_SRR14722144_metabat2_bin.3.fa	68_4	0.05	average	ANImf	68	29976469	ascomycota_odb10	OSLEUM clade	25	public_SRR14722144_metabat2_bin.3	NA	mycobiont	SRR14722144
public_SRR14722047_metabat2_bin.3.fa	68_5	0.05	average	ANImf	68	28440486	ascomycota_odb10	OSLEUM clade	10	public_SRR14722047_metabat2_bin.3	NA	mycobiont	SRR14722047
public_SRR13685161_metabat2_bin.1.fa	68_6	0.05	average	ANImf	68	NA	NA	NA	NA	NA	NA	mycobiont	SRR13685161
public_SRR14722017_metabat2_bin.2.fa	68_6	0.05	average	ANImf	68	30760831	ascomycota_odb10	OSLEUM clade	18	public_SRR14722017_metabat2_bin.2	NA	mycobiont	SRR14722017
public_SRR14722133_metabat2_bin.2.fa	68_7	0.05	average	ANImf	68	29167719	ascomycota_odb10	OSLEUM clade	15	public_SRR14722133_metabat2_bin.2	NA	mycobiont	SRR14722133
public_SRR14721922_metabat2_bin.4.fa	68_8	0.05	average	ANImf	68	30284861	ascomycota_odb10	OSLEUM clade	13	public_SRR14721922_metabat2_bin.4	NA	mycobiont	SRR14721922
public_SRR14722316_metabat2_bin.4.fa	68_9	0.05	average	ANImf	68	29735595	ascomycota_odb10	OSLEUM clade	30	public_SRR14722316_metabat2_bin.4	NA	mycobiont	SRR14722316
public_SRR12240181_metabat2_bin.5.fa	69_1	0.05	average	ANImf	69	33269822	ascomycota_odb10	OSLEUM clade	18	public_SRR12240181_metabat2_bin.5	NA	mycobiont	SRR12240181
public_SRR12240184_concoct_bin.17.fa	69_2	0.05	average	ANImf	69	26941752	ascomycota_odb10	OSLEUM clade	4	public_SRR12240184_concoct_bin.17	NA	mycobiont	SRR12240184
private_GTX0158_concoct_bin.31.fa	70_1	0.05	average	ANImf	70	23838662	ascomycota_odb10	leotiomyceta	NA	private_GTX0158_concoct_bin.31	NA	mycobiont	GTX0158
public_SRR13685154_metabat2_bin.1.fa	70_1	0.05	average	ANImf	70	NA	NA	NA	NA	NA	NA	mycobiont	SRR13685154
public_SRR14722181_concoct_bin.15.fa	70_2	0.05	average	ANImf	70	24594840	ascomycota_odb10	leotiomyceta	14	public_SRR14722181_concoct_bin.15	NA	mycobiont	SRR14722181
private_X4_concoct_bin.17.fa	71_1	0.05	average	ANImf	71	26109501	ascomycota_odb10	OSLEUM clade	64	private_X4_concoct_bin.17	NA	mycobiont	X4
private_X5_concoct_bin.21.fa	71_2	0.05	average	ANImf	71	25436447	ascomycota_odb10	OSLEUM clade	60	private_X5_concoct_bin.21	NA	mycobiont	X5
private_T1868_concoct_bin.12.fa	72_0	0.05	average	ANImf	72	23887801	ascomycota_odb10	OSLEUM clade	26	private_T1868_concoct_bin.12	NA	mycobiont	T1868
private_X13_concoct_bin.5.fa	73_0	0.05	average	ANImf	73	23711382	ascomycota_odb10	OSLEUM clade	NA	private_X13_concoct_bin.5	NA	mycobiont	X13
private_T1882_concoct_bin.24.fa	74_0	0.05	average	ANImf	74	23645587	ascomycota_odb10	OSLEUM clade	NA	private_T1882_concoct_bin.24	NA	mycobiont	T1882
public_SRR14722090_metabat2_bin.14.fa	75_0	0.05	average	ANImf	75	20639300	ascomycota_odb10	OSLEUM clade	50	public_SRR14722090_metabat2_bin.14	NA	mycobiont	SRR14722090
private_T1887_metabat2_bin.36.fa	76_0	0.05	average	ANImf	76	24064483	ascomycota_odb10	Lasallia pustulata	NA	private_T1887_metabat2_bin.36	NA	mycobiont	T1887
private_T1888_metabat2_bin.51.fa	77_0	0.05	average	ANImf	77	25635390		Letharia	NA	private_T1888_metabat2_bin.51	NA	mycobiont	T1888
public_SRR14722135_concoct_merged.1.fa	78_0	0.05	average	ANImf	78	24805116	ascomycota_odb10	leotiomyceta	20	public_SRR14722135_concoct_merged.1	NA	mycobiont	SRR14722135
public_SRR13685157_metabat2_bin.1.fa	79_1	0.05	average	ANImf	79	NA	NA	NA	NA	NA	NA	mycobiont	SRR13685157
public_SRR14721960_metabat2_bin.2.fa	79_1	0.05	average	ANImf	79	24608064	ascomycota_odb10	Letharia	10	public_SRR14721960_metabat2_bin.2	NA	mycobiont	SRR14721960
public_SRR14721964_metabat2_bin.3.fa	80_0	0.05	average	ANImf	80	25555617	ascomycota_odb10	Letharia	12	public_SRR14721964_metabat2_bin.3	NA	mycobiont	SRR14721964
public_SRR14722050_metabat2_bin.2.fa	81_0	0.05	average	ANImf	81	22900309	ascomycota_odb10	OSLEUM clade	11	public_SRR14722050_metabat2_bin.2	NA	mycobiont	SRR14722050
public_SRR14722064_metabat2_bin.6.fa	82_0	0.05	average	ANImf	82	28137239	ascomycota_odb10	OSLEUM clade	22	public_SRR14722064_metabat2_bin.6	NA	mycobiont	SRR14722064
public_SRR14722157_metabat2_bin.4.fa	83_0	0.05	average	ANImf	83	27451878	ascomycota_odb10	OSLEUM clade	29	public_SRR14722157_metabat2_bin.4	NA	mycobiont	SRR14722157
public_SRR14722164_metabat2_bin.2.fa	84_0	0.05	average	ANImf	84	24197754	ascomycota_odb10	OSLEUM clade	47	public_SRR14722164_metabat2_bin.2	NA	mycobiont	SRR14722164
public_SRR14721941_concoct_bin.5.fa	85_1	0.05	average	ANImf	85	26374195	ascomycota_odb10	OSLEUM clade	18	public_SRR14721941_concoct_bin.5	NA	mycobiont	SRR14721941
public_SRR14722049_concoct_bin.8.fa	85_2	0.05	average	ANImf	85	28605651	ascomycota_odb10	OSLEUM clade	46	public_SRR14722049_concoct_bin.8	NA	mycobiont	SRR14722049
public_SRR14721948_concoct_merged.0.fa	85_3	0.05	average	ANImf	85	29695316	ascomycota_odb10	OSLEUM clade	28	public_SRR14721948_concoct_merged.0	NA	mycobiont	SRR14721948
public_SRR14722065_metabat2_bin.6.fa	86_0	0.05	average	ANImf	86	24531407	ascomycota_odb10	OSLEUM clade	50	public_SRR14722065_metabat2_bin.6	NA	mycobiont	SRR14722065
public_SRR14722159_metabat2_bin.8.fa	87_1	0.05	average	ANImf	87	NA	NA	NA	NA	NA	NA	fungi_other	SRR14722159
public_SRR14722160_concoct_bin.3.fa	87_1	0.05	average	ANImf	87	28693197	ascomycota_odb10	Letharia	49	public_SRR14722160_concoct_bin.3	NA	mycobiont	SRR14722160
public_SRR14722061_metabat2_bin.1.fa	88_0	0.05	average	ANImf	88	28894720	ascomycota_odb10	Eurotiomycetes	19	public_SRR14722061_metabat2_bin.1	NA	mycobiont	SRR14722061
public_SRR14722086_metabat2_bin.14.fa	89_0	0.05	average	ANImf	89	20387402	ascomycota_odb10	leotiomyceta	23	public_SRR14722086_metabat2_bin.14	NA	mycobiont	SRR14722086
public_SRR14721993_concoct_bin.5.fa	90_1	0.05	average	ANImf	90	NA	NA	NA	NA	NA	NA	mycobiont	SRR14721993
public_SRR14722303_metabat2_bin.3.fa	90_1	0.05	average	ANImf	90	NA	NA	NA	NA	NA	NA	mycobiont	SRR14722303
public_SRR14722309_metabat2_bin.1.fa	90_1	0.05	average	ANImf	90	28003477		Letharia	17	public_SRR14722309_metabat2_bin.1	NA	mycobiont	SRR14722309
public_SRR14722231_metabat2_bin.5.fa	90_2	0.05	average	ANImf	90	25103968	ascomycota_odb10	Letharia	62	public_SRR14722231_metabat2_bin.5	NA	mycobiont	SRR14722231
public_SRR14722163_concoct_bin.11.fa	91_0	0.05	average	ANImf	91	26201316	ascomycota_odb10	Letharia	17	public_SRR14722163_concoct_bin.11	NA	mycobiont	SRR14722163
public_SRR14722080_concoct_merged.0.fa	92_0	0.05	average	ANImf	92	18398308	ascomycota_odb10	leotiomyceta	5	public_SRR14722080_concoct_merged.0	NA	mycobiont	SRR14722080
public_SRR14722154_metabat2_bin.3.fa	93_0	0.05	average	ANImf	93	26584174	ascomycota_odb10	Letharia	33	public_SRR14722154_metabat2_bin.3	NA	mycobiont	SRR14722154
public_SRR14722165_metabat2_bin.16.fa	94_0	0.05	average	ANImf	94	16287341	ascomycota_odb10	OSLEUM clade	5	public_SRR14722165_metabat2_bin.16	NA	fungi_other	SRR14722165
public_SRR14721945_metabat2_bin.3.fa	95_1	0.05	average	ANImf	95	NA	NA	NA	NA	NA	NA	mycobiont	SRR14721945
public_SRR14722251_metabat2_bin.1.fa	95_1	0.05	average	ANImf	95	23335315	ascomycota_odb10	OSLEUM clade	64	public_SRR14722251_metabat2_bin.1	NA	mycobiont	SRR14722251
public_SRR14722042_metabat2_bin.6.fa	96_0	0.05	average	ANImf	96	23754413	ascomycota_odb10	OSLEUM clade	11	public_SRR14722042_metabat2_bin.6	NA	mycobiont	SRR14722042
public_SRR14722184_concoct_bin.5.fa	97_1	0.05	average	ANImf	97	30897180	ascomycota_odb10	Letharia	21	public_SRR14722184_concoct_bin.5	NA	mycobiont	SRR14722184
public_SRR14722232_concoct_bin.14.fa	97_2	0.05	average	ANImf	97	23206127	ascomycota_odb10	Letharia	55	public_SRR14722232_concoct_bin.14	NA	mycobiont	SRR14722232
public_SRR14722274_metabat2_bin.2.fa	98_1	0.05	average	ANImf	98	22070204	ascomycota_odb10	OSLEUM clade	13	public_SRR14722274_metabat2_bin.2	NA	mycobiont	SRR14722274
public_SRR14722324_concoct_bin.1.fa	98_1	0.05	average	ANImf	98	NA	NA	NA	NA	NA	NA	mycobiont	SRR14722324
public_SRR14722158_metabat2_bin.9.fa	99_0	0.05	average	ANImf	99	27538851	ascomycota_odb10	Letharia	52	public_SRR14722158_metabat2_bin.9	NA	mycobiont	SRR14722158
public_SRR14722095_metabat2_bin.7.fa	100_1	0.05	average	ANImf	100	20302860	ascomycota_odb10	Lasallia pustulata	31	public_SRR14722095_metabat2_bin.7	NA	mycobiont	SRR14722095
public_SRR2387885_metabat2_bin.15.fa	100_2	0.05	average	ANImf	100	23971264	ascomycota_odb10	Lasallia pustulata	80	public_SRR2387885_metabat2_bin.15	NA	mycobiont	SRR2387885
