genome	median_cov	completeness	contamination
public_SRR14722118_metabat2_bin.5.fa	8	91.73	0
public_SRR14722121_metabat2_bin.4.fa	128	83.83	0
public_SRR14722123_concoct_merged.0.fa	125	89.85	0.75
public_SRR14722124_metabat2_bin.8.fa	46	90.98	0
public_SRR14722125_metabat2_bin.9.fa	154	90.23	0.38
public_SRR14722128_metabat2_bin.9.fa	16	93.98	0
public_SRR14722129_metabat2_bin.3.fa	17	95.49	0
public_SRR14722130_metabat2_bin.11.fa	8	89.1	0
public_SRR14722130_metabat2_bin.9.fa	73	93.23	1.5
public_SRR14722132_metabat2_bin.8.fa	9	86.84	0
public_SRR14722133_metabat2_bin.2.fa	15	93.61	0
public_SRR14722135_concoct_merged.1.fa	20	89.1	0
public_SRR14722135_metabat2_bin.5.fa	6	78.72	0
public_SRR14722135_metabat2_bin.8.fa	5	78.2	1.88
public_SRR14722136_concoct_merged.0.fa	13	86.47	0.38
public_SRR14722138_metabat2_bin.7.fa	58	95.86	0
public_SRR14722139_metabat2_bin.5.fa	14	93.61	0
public_SRR14722141_concoct_bin.2.fa	21	93.98	0
public_SRR14722143_metabat2_bin.4.fa	12	92.11	0
public_SRR14722144_metabat2_bin.3.fa	25	92.48	0
public_SRR14722145_metabat2_bin.10.fa	13	89.1	0.38
public_SRR14722150_concoct_bin.35.fa	52	94.36	0
public_SRR14722151_metabat2_bin.3.fa	7	90.23	0
public_SRR14722154_concoct_bin.10.fa	5	64.29	1.13
public_SRR14722154_metabat2_bin.3.fa	33	92.48	0
public_SRR14722157_metabat2_bin.4.fa	29	90.23	0
public_SRR14722158_metabat2_bin.9.fa	52	94.74	0
public_SRR14722161_metabat2_bin.6.fa	11	94.36	0
public_SRR14722163_concoct_bin.11.fa	17	85.71	0
public_SRR14722164_metabat2_bin.2.fa	47	86.47	0.38
public_SRR14722165_concoct_bin.24.fa	12	99.25	0
public_SRR14722165_concoct_bin.25.fa	43	92.86	0
public_SRR14722165_metabat2_bin.16.fa	5	65.79	0
public_SRR14722166_concoct_bin.2.fa	43	92.86	0.38
public_SRR14722167_metabat2_bin.4.fa	41	93.23	0
public_SRR14722169_metabat2_bin.6.fa	20	93.23	0
public_SRR14722170_metabat2_bin.4.fa	40	93.23	0
public_SRR14722173_concoct_merged.0.fa	16	93.98	0
public_SRR14722174_metabat2_bin.2.fa	10	90.98	0
public_SRR14722175_metabat2_bin.4.fa	6	83.08	0
public_SRR14722177_concoct_bin.11.fa	37	95.86	0.38
public_SRR14722177_concoct_merged.0.fa	5	72.56	0.75
public_SRR14722177_metabat2_bin.9.fa	4	65.96	0
public_SRR14722185_metabat2_bin.2.fa	24	96.24	0.38
public_SRR14722188_concoct_bin.0.fa	20	95.11	0.38
public_SRR14722188_concoct_bin.30.fa	10	97.87	0
public_SRR14722188_metabat2_bin.25.fa	44	91.73	0
public_SRR14722188_metabat2_bin.28.fa	4	54.14	0
public_SRR14722197_metabat2_bin.3.fa	6	87.59	0
public_SRR14722213_concoct_bin.9.fa	24	80.08	0
public_SRR14722213_metabat2_bin.1.fa	7	67.67	0
public_SRR14722219_metabat2_bin.6.fa	38	92.11	0
public_SRR14722221_metabat2_bin.2.fa	52	90.98	0.38
public_SRR14722222_metabat2_bin.6.fa	14	96.99	0.38
public_SRR14722229_concoct_bin.24.fa	29	95.86	0
public_SRR14722230_metabat2_bin.7.fa	14	85.71	0
public_SRR14722231_metabat2_bin.5.fa	62	94.74	0
public_SRR14722232_concoct_bin.14.fa	55	90.6	0
public_SRR14722233_metabat2_bin.15.fa	32	96.24	0.38
public_SRR14722251_metabat2_bin.1.fa	64	90.6	1.5
public_SRR14722272_metabat2_bin.6.fa	11	93.98	0.38
public_SRR14722274_metabat2_bin.2.fa	13	93.23	0
public_SRR14722275_concoct_merged.0.fa	8	90.6	0
public_SRR14722277_metabat2_bin.3.fa	30	90.6	0.38
public_SRR14722280_metabat2_bin.4.fa	14	97.74	0.38
public_SRR14722288_metabat2_bin.3.fa	16	95.49	0
public_SRR14722290_metabat2_bin.4.fa	18	90.23	0
public_SRR14722292_metabat2_bin.5.fa	38	93.61	0
public_SRR14722293_concoct_bin.15.fa	37	93.98	0
public_SRR14722296_metabat2_bin.7.fa	13	89.47	1.13
public_SRR14722298_metabat2_bin.8.fa	17	92.48	0
public_SRR14722299_metabat2_bin.9.fa	41	93.61	0.38
public_SRR14722301_metabat2_bin.5.fa	26	92.48	0
public_SRR14722304_metabat2_bin.6.fa	12	91.35	0
public_SRR14722305_metabat2_bin.2.fa	11	92.86	0
public_SRR14722307_metabat2_bin.5.fa	10	87.97	0.75
public_SRR14722308_metabat2_bin.6.fa	50	90.98	0.38
public_SRR14722309_metabat2_bin.1.fa	17	94.74	0.38
public_SRR14722316_metabat2_bin.4.fa	30	92.86	0
public_SRR14722320_concoct_bin.17.fa	5	62.41	0.75
public_SRR14722325_metabat2_bin.1.fa	17	89.85	0.38
public_SRR1531569_concoct_bin.26.fa	213	97.37	0.38
public_SRR1532736_concoct_bin.13.fa	145	84.96	1.5
public_SRR1532736_concoct_bin.20.fa	6	56	1.2
public_SRR2387885_metabat2_bin.15.fa	80	93.23	1.13
public_SRR2387885_metabat2_bin.2.fa	6	93.4	1
public_SRR5808930_metabat2_bin.9.fa	77	99.25	0
public_SRR5808932_concoct_bin.35.fa	96	96.99	0
public_SRR5808932_metabat2_bin.2.fa	7	87	3.2
public_SRR7232211_concoct_bin.3.fa	191	97.37	0
public_SRR7232211_concoct_bin.8.fa	8	94.6	4
