fasta	size	BUSCO_lineage	lineage	BAT_euk	median_cov	mag	bat_bacteria
private_GTX0163_metawrap_bin.12.fa	4365355	NA	NA	NA	15	private_GTX0163_metawrap_bin.12	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Variovorax;s__
private_GTX0163_metawrap_bin.14.fa	3577379	NA	NA	NA	7	private_GTX0163_metawrap_bin.14	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Lichenihabitans;s__
private_GTX0163_metawrap_bin.15.fa	4875913	NA	NA	NA	11	private_GTX0163_metawrap_bin.15	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__
private_GTX0163_metawrap_bin.17.fa	2996994	NA	NA	NA	10	private_GTX0163_metawrap_bin.17	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__
private_GTX0163_metawrap_bin.18.fa	3642260	NA	NA	NA	27	private_GTX0163_metawrap_bin.18	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Lichenihabitans;s__
private_GTX0163_metawrap_bin.19.fa	5045447	NA	NA	NA	5	private_GTX0163_metawrap_bin.19	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__;s__
private_GTX0163_metawrap_bin.1.fa	5061927	NA	NA	NA	9	private_GTX0163_metawrap_bin.1	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__CAHJWO01;s__
private_GTX0163_metawrap_bin.3.fa	5759634	NA	NA	NA	7	private_GTX0163_metawrap_bin.3	d__Bacteria;p__Armatimonadota;c__Armatimonadia;o__Armatimonadales;f__Armatimonadaceae;g__;s__
private_GTX0163_metawrap_bin.4.fa	2390973	NA	NA	NA	5	private_GTX0163_metawrap_bin.4	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Nakamurellaceae;g__Nakamurella;s__
private_GTX0163_metawrap_bin.5.fa	4607906	NA	NA	NA	11	private_GTX0163_metawrap_bin.5	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;g__Hymenobacter;s__
private_GTX0163_metawrap_bin.6.fa	3971280	NA	NA	NA	7	private_GTX0163_metawrap_bin.6	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhizobacter;s__
private_GTX0163_metawrap_bin.7.fa	6454521	NA	NA	NA	6	private_GTX0163_metawrap_bin.7	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavihumibacter;s__
private_GTX0163_metawrap_bin.8.fa	5244982	NA	NA	NA	12	private_GTX0163_metawrap_bin.8	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;g__Hymenobacter;s__
private_GTX0163_metawrap_bin.9.fa	4806579	NA	NA	NA	33	private_GTX0163_metawrap_bin.9	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;g__Hymenobacter;s__
private_T1867_metawrap_bin.1.fa	2983634	NA	NA	NA	7	private_T1867_metawrap_bin.1	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__EB88;s__
private_T1867_metawrap_bin.2.fa	5743301	NA	NA	NA	10	private_T1867_metawrap_bin.2	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__
private_T1868_metawrap_bin.1.fa	3803709	NA	NA	NA	10	private_T1868_metawrap_bin.1	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Bryocella;s__
private_T1868_metawrap_bin.4.fa	5238499	NA	NA	NA	9	private_T1868_metawrap_bin.4	d__Bacteria;p__Armatimonadota;c__Armatimonadia;o__Armatimonadales;f__Capsulimonadaceae;g__;s__
private_T1868_metawrap_bin.5.fa	3849194	NA	NA	NA	9	private_T1868_metawrap_bin.5	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__BOG-908;s__
private_T1887_metawrap_bin.10.fa	4745649	NA	NA	NA	8	private_T1887_metawrap_bin.10	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__SCTD01;g__SCTD01;s__
private_T1887_metawrap_bin.11.fa	5029938	NA	NA	NA	13	private_T1887_metawrap_bin.11	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Enterovirga;s__
private_T1887_metawrap_bin.12.fa	3695381	NA	NA	NA	12	private_T1887_metawrap_bin.12	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Angustibacteraceae;g__JACMOY01;s__
private_T1887_metawrap_bin.13.fa	2879782	NA	NA	NA	7	private_T1887_metawrap_bin.13	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Enterovirga;s__
private_T1887_metawrap_bin.15.fa	6529217	NA	NA	NA	24	private_T1887_metawrap_bin.15	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__
private_T1887_metawrap_bin.17.fa	4614662	NA	NA	NA	44	private_T1887_metawrap_bin.17	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;g__Hymenobacter;s__
private_T1887_metawrap_bin.18.fa	2214153	NA	NA	NA	8	private_T1887_metawrap_bin.18	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__
private_T1887_metawrap_bin.1.fa	3474204	NA	NA	NA	79	private_T1887_metawrap_bin.1	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Quadrisphaeraceae;g__Quadrisphaera;s__
private_T1887_metawrap_bin.3.fa	3405581	NA	NA	NA	13	private_T1887_metawrap_bin.3	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__
private_T1887_metawrap_bin.4.fa	3538176	NA	NA	NA	17	private_T1887_metawrap_bin.4	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__
private_T1887_metawrap_bin.5.fa	6108703	NA	NA	NA	9	private_T1887_metawrap_bin.5	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;g__Hymenobacter;s__
private_T1887_metawrap_bin.6.fa	3270667	NA	NA	NA	29	private_T1887_metawrap_bin.6	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__CADCVW01;s__
private_T1887_metawrap_bin.7.fa	3210277	NA	NA	NA	16	private_T1887_metawrap_bin.7	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__;g__;s__
private_T1887_metawrap_bin.8.fa	3584002	NA	NA	NA	88	private_T1887_metawrap_bin.8	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium;s__
private_T1887_metawrap_bin.9.fa	3132679	NA	NA	NA	60	private_T1887_metawrap_bin.9	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Roseomonas;s__
private_T1888_metawrap_bin.10.fa	4296970	NA	NA	NA	21	private_T1888_metawrap_bin.10	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__LMUY01;s__
private_T1888_metawrap_bin.12.fa	3089910	NA	NA	NA	46	private_T1888_metawrap_bin.12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__
private_T1888_metawrap_bin.13.fa	4716372	NA	NA	NA	6	private_T1888_metawrap_bin.13	d__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__Fimbriimonadaceae;g__Fimbriimonas;s__
private_T1888_metawrap_bin.14.fa	4719478	NA	NA	NA	21	private_T1888_metawrap_bin.14	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium;s__
private_T1888_metawrap_bin.15.fa	3567018	NA	NA	NA	8	private_T1888_metawrap_bin.15	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Lichenihabitans;s__
private_T1888_metawrap_bin.18.fa	3265663	NA	NA	NA	39	private_T1888_metawrap_bin.18	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__CAHJWL01;s__
private_T1888_metawrap_bin.19.fa	3526920	NA	NA	NA	25	private_T1888_metawrap_bin.19	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Tous-C9LFEB;s__
private_T1888_metawrap_bin.2.fa	2729904	NA	NA	NA	7	private_T1888_metawrap_bin.2	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__
private_T1888_metawrap_bin.3.fa	6292898	NA	NA	NA	64	private_T1888_metawrap_bin.3	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__LMUY01;s__
private_T1888_metawrap_bin.4.fa	4698652	NA	NA	NA	28	private_T1888_metawrap_bin.4	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella_C;s__
private_T1888_metawrap_bin.5.fa	4431711	NA	NA	NA	7	private_T1888_metawrap_bin.5	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__CAHJWO01;s__
private_T1888_metawrap_bin.6.fa	3999252	NA	NA	NA	63	private_T1888_metawrap_bin.6	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__CAHJWL01;s__
private_T1888_metawrap_bin.7.fa	3020983	NA	NA	NA	10	private_T1888_metawrap_bin.7	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas_N;s__
private_T1888_metawrap_bin.8.fa	2998512	NA	NA	NA	37	private_T1888_metawrap_bin.8	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__PMMR1;s__
private_T1888_metawrap_bin.9.fa	3223619	NA	NA	NA	43	private_T1888_metawrap_bin.9	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas_N;s__
private_T1889_metawrap_bin.1.fa	3920059	NA	NA	NA	21	private_T1889_metawrap_bin.1	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Tous-C9LFEB;s__
private_T1889_metawrap_bin.2.fa	4468366	NA	NA	NA	202	private_T1889_metawrap_bin.2	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAIMSN01;s__
private_T1889_metawrap_bin.4.fa	5362941	NA	NA	NA	11	private_T1889_metawrap_bin.4	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__
private_T1889_metawrap_bin.5.fa	5677811	NA	NA	NA	12	private_T1889_metawrap_bin.5	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__LMUY01;s__
private_T1889_metawrap_bin.7.fa	3319295	NA	NA	NA	8	private_T1889_metawrap_bin.7	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Lichenihabitans;s__
private_T1889_metawrap_bin.8.fa	6513267	NA	NA	NA	6	private_T1889_metawrap_bin.8	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__VCDI01;s__
private_T1894_metawrap_bin.10.fa	4461858	NA	NA	NA	34	private_T1894_metawrap_bin.10	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__BOG-908;s__
private_T1894_metawrap_bin.11.fa	4173490	NA	NA	NA	56	private_T1894_metawrap_bin.11	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__BOG-908;s__
private_T1894_metawrap_bin.12.fa	5040762	NA	NA	NA	16	private_T1894_metawrap_bin.12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__LMUY01;s__
private_T1894_metawrap_bin.1.fa	3561103	NA	NA	NA	33	private_T1894_metawrap_bin.1	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella_C;s__
private_T1894_metawrap_bin.3.fa	3934783	NA	NA	NA	50	private_T1894_metawrap_bin.3	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__;s__
private_T1894_metawrap_bin.4.fa	4071283	NA	NA	NA	166	private_T1894_metawrap_bin.4	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__VCDI01;s__
private_T1894_metawrap_bin.5.fa	3189195	NA	NA	NA	6	private_T1894_metawrap_bin.5	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__CAHJWH01;s__
private_T1894_metawrap_bin.6.fa	890559	NA	NA	NA	5	private_T1894_metawrap_bin.6	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Hat2;f__;g__;s__
private_T1894_metawrap_bin.8.fa	3997555	NA	NA	NA	115	private_T1894_metawrap_bin.8	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAIMSN01;s__
private_T1894_metawrap_bin.9.fa	3652841	NA	NA	NA	19	private_T1894_metawrap_bin.9	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__RH-AL1;s__
private_T1904_metawrap_bin.1.fa	3718365	NA	NA	NA	356	private_T1904_metawrap_bin.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAIMSN01;s__
private_T1904_metawrap_bin.3.fa	3766946	NA	NA	NA	37	private_T1904_metawrap_bin.3	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__BOG-908;s__
private_T1904_metawrap_bin.4.fa	3894435	NA	NA	NA	20	private_T1904_metawrap_bin.4	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__VCDI01;s__
private_T1904_metawrap_bin.5.fa	3333391	NA	NA	NA	10	private_T1904_metawrap_bin.5	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella_C;s__
private_T1904_metawrap_bin.7.fa	3528353	NA	NA	NA	7	private_T1904_metawrap_bin.7	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Tous-C9LFEB;s__
private_T1914_metawrap_bin.2.fa	3380243	NA	NA	NA	12	private_T1914_metawrap_bin.2	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__EB88;s__
private_T1914_metawrap_bin.3.fa	4014850	NA	NA	NA	18	private_T1914_metawrap_bin.3	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAIMSN01;s__
private_T1914_metawrap_bin.4.fa	3661427	NA	NA	NA	18	private_T1914_metawrap_bin.4	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Tous-C9LFEB;s__
private_T1916_metawrap_bin.12.fa	3543954	NA	NA	NA	18	private_T1916_metawrap_bin.12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__RH-AL1;s__
private_T1916_metawrap_bin.13.fa	4942379	NA	NA	NA	9	private_T1916_metawrap_bin.13	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Lichenihabitans;s__
private_T1916_metawrap_bin.15.fa	2301118	NA	NA	NA	7	private_T1916_metawrap_bin.15	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__;s__
private_T1916_metawrap_bin.1.fa	4049198	NA	NA	NA	14	private_T1916_metawrap_bin.1	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Tous-C9LFEB;s__
private_T1916_metawrap_bin.2.fa	4459335	NA	NA	NA	54	private_T1916_metawrap_bin.2	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__CAHJWL01;s__
private_T1916_metawrap_bin.3.fa	3780805	NA	NA	NA	10	private_T1916_metawrap_bin.3	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella_B;s__
private_T1916_metawrap_bin.4.fa	3690106	NA	NA	NA	11	private_T1916_metawrap_bin.4	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas_N;s__
private_T1916_metawrap_bin.5.fa	3764048	NA	NA	NA	16	private_T1916_metawrap_bin.5	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__RH-AL1;s__
private_T1916_metawrap_bin.6.fa	5130386	NA	NA	NA	19	private_T1916_metawrap_bin.6	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Lichenihabitans;s__
private_T1916_metawrap_bin.8.fa	2369818	NA	NA	NA	10	private_T1916_metawrap_bin.8	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__CAHJWH01;s__
private_T1916_metawrap_bin.9.fa	3105763	NA	NA	NA	10	private_T1916_metawrap_bin.9	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__RH-AL1;s__
private_TS1974_metawrap_bin.10.fa	3815809	NA	NA	NA	8	private_TS1974_metawrap_bin.10	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__BOG-908;s__
private_TS1974_metawrap_bin.12.fa	4959039	NA	NA	NA	120	private_TS1974_metawrap_bin.12	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella_C;s__
private_TS1974_metawrap_bin.1.fa	4529899	NA	NA	NA	15	private_TS1974_metawrap_bin.1	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella_C;s__
private_TS1974_metawrap_bin.2.fa	4512374	NA	NA	NA	11	private_TS1974_metawrap_bin.2	d__Bacteria;p__Armatimonadota;c__Armatimonadia;o__Armatimonadales;f__Capsulimonadaceae;g__;s__
private_TS1974_metawrap_bin.3.fa	4404732	NA	NA	NA	126	private_TS1974_metawrap_bin.3	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__RH-AL1;s__
private_TS1974_metawrap_bin.4.fa	3926443	NA	NA	NA	23	private_TS1974_metawrap_bin.4	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__LMUY01;s__
private_TS1974_metawrap_bin.5.fa	4084529	NA	NA	NA	136	private_TS1974_metawrap_bin.5	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__CAHJWL01;s__
private_TS1974_metawrap_bin.6.fa	5052315	NA	NA	NA	39	private_TS1974_metawrap_bin.6	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__LMUY01;s__
private_TS1974_metawrap_bin.7.fa	4594579	NA	NA	NA	7	private_TS1974_metawrap_bin.7	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Tous-C9LFEB;s__
private_TS1974_metawrap_bin.9.fa	3619124	NA	NA	NA	63	private_TS1974_metawrap_bin.9	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Bryocella;s__
private_VT12_metawrap_bin.1.fa	2326716	NA	NA	NA	9	private_VT12_metawrap_bin.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAIMSN01;s__
private_VT12_metawrap_bin.2.fa	3663071	NA	NA	NA	8	private_VT12_metawrap_bin.2	d__Bacteria;p__Armatimonadota;c__Armatimonadia;o__Armatimonadales;f__Capsulimonadaceae;g__;s__
private_VT15_metawrap_bin.1.fa	4645518	NA	NA	NA	10	private_VT15_metawrap_bin.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__VCDI01;s__
private_VT15_metawrap_bin.2.fa	3234868	NA	NA	NA	7	private_VT15_metawrap_bin.2	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__LMUY01;s__
private_VT16_metawrap_bin.1.fa	3006857	NA	NA	NA	18	private_VT16_metawrap_bin.1	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella_C;s__
private_VT16_metawrap_bin.3.fa	2615924	NA	NA	NA	5	private_VT16_metawrap_bin.3	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__CAHJWH01;s__
private_VT16_metawrap_bin.4.fa	3990456	NA	NA	NA	25	private_VT16_metawrap_bin.4	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__CAHJWL01;s__
private_VT19_metawrap_bin.1.fa	2470205	NA	NA	NA	6	private_VT19_metawrap_bin.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__;s__
private_VT1_metawrap_bin.1.fa	3332438	NA	NA	NA	44	private_VT1_metawrap_bin.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__LMUY01;s__
private_VT1_metawrap_bin.2.fa	4577336	NA	NA	NA	11	private_VT1_metawrap_bin.2	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__CAHJWO01;s__
private_VT1_metawrap_bin.3.fa	3878694	NA	NA	NA	21	private_VT1_metawrap_bin.3	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__;s__
private_VT22_metawrap_bin.10.fa	4803330	NA	NA	NA	7	private_VT22_metawrap_bin.10	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__LMUY01;s__
private_VT22_metawrap_bin.11.fa	4924096	NA	NA	NA	18	private_VT22_metawrap_bin.11	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__
private_VT22_metawrap_bin.12.fa	5152252	NA	NA	NA	12	private_VT22_metawrap_bin.12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__
