Genome	completeness	contamination	size	classification
public_SRR14722149_metawrap_bin.7	85.14	3.94	3516021	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__;s__
private_T1904_metawrap_bin.7	76.17	2.59	3528353	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Tous-C9LFEB;s__
private_T1904_metawrap_bin.4	94.1	2.17	3894435	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__VCDI01;s__
private_T1904_metawrap_bin.5	80.45	3.42	3333391	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella_C;s__
public_SRR14721966_metawrap_bin.4	85.52	1.74	2723484	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__;s__
private_T1904_metawrap_bin.3	96.95	1	3766946	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__BOG-908;s__
public_SRR14721962_metawrap_bin.2	81.09	0.85	3166852	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__EB88;s__
private_T1904_metawrap_bin.1	99	1.16	3718365	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAIMSN01;s__
public_SRR14722221_metawrap_bin.1	71.65	2.23	2784723	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__CAHJWH01;s__
public_SRR11456922_metawrap_bin.6	97.17	0.43	3538234	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__Aestuariivirga;s__
public_SRR11456922_metawrap_bin.7	78.55	4.65	3400665	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__Aestuariivirga;s__
public_SRR11456922_metawrap_bin.4	96.93	0.67	3849515	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Chamaesiphonaceae;g__JAAFHZ01;s__
public_SRR11456922_metawrap_bin.5	77.32	1.54	3436633	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__;s__
public_SRR11456922_metawrap_bin.2	94.99	0	3459045	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Chamaesiphonaceae;g__JAAFHZ01;s__
public_SRR11456922_metawrap_bin.3	65.67	0	3366298	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__Aestuariivirga;s__
public_SRR2387885_metawrap_bin.2	75.89	1.3	4072649	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__;s__
public_SRR11456922_metawrap_bin.1	99.02	1.79	4800591	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhizobacter;s__
public_SRR14722327_metawrap_bin.1	87.06	1.32	3865449	d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52909;s__
public_SRR1531545_metawrap_bin.1	99.78	1.22	8786194	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nostoc;s__
public_SRR11456922_metawrap_bin.8	80.93	0.87	3059827	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__Aestuariivirga;s__
public_SRR14722282_metawrap_bin.1	88.25	1.7	7462238	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nostoc;s__
public_SRR14722176_metawrap_bin.10	81.57	0.4	2907999	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Aureimonas_A;s__
private_VT22_metawrap_bin.3	83.86	1.88	3757409	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__;g__;s__
private_VT22_metawrap_bin.2	68.06	0	4593738	d__Bacteria;p__Armatimonadota;c__Chthonomonadetes;o__Chthonomonadales;f__Chthonomonadaceae;g__;s__
private_VT22_metawrap_bin.5	84.5	1.02	4487163	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Nakamurellaceae;g__Nakamurella;s__
private_VT22_metawrap_bin.4	94.28	0.39	3619789	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Jatrophihabitantaceae;g__;s__
private_VT22_metawrap_bin.7	82.07	2.78	4221961	d__Bacteria;p__Armatimonadota;c__Armatimonadia;o__Armatimonadales;f__Capsulimonadaceae;g__;s__
private_VT22_metawrap_bin.6	94.44	1.39	4088433	d__Bacteria;p__Armatimonadota;c__Armatimonadia;o__Armatimonadales;f__Capsulimonadaceae;g__;s__
private_VT22_metawrap_bin.9	97.62	0.74	3486971	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__HMF7410;s__
private_VT22_metawrap_bin.8	95.91	0.86	3814926	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__EB88;s__
public_SRR14722087_metawrap_bin.3	63.44	1.01	2940189	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__;s__
public_SRR14722167_metawrap_bin.1	96.11	0.15	4825807	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__
public_SRR14722325_metawrap_bin.1	73.43	0.29	2969283	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Kineosporiaceae;g__Kineosporia;s__
public_SRR14722061_metawrap_bin.1	88.02	4.03	8618213	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Kineosporiaceae;g__Kineosporia;s__Kineosporia aurantiaca
public_SRR14722118_metawrap_bin.1	94.84	0	3786276	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella_C;s__
public_SRR14722160_metawrap_bin.4	60.88	0.23	2415085	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__BOG-908;s__
private_VT19_metawrap_bin.1	58.86	1.01	2470205	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__;s__
public_SRR14722160_metawrap_bin.3	60.06	1.66	4302847	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__Bog-532;s__
public_SRR14721957_metawrap_bin.1	68.57	0.86	3935798	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Pseudonocardiaceae;g__Pseudonocardia;s__
public_SRR14721957_metawrap_bin.2	90.76	4.46	4991469	d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae;g__DTNP01;s__
public_SRR14721957_metawrap_bin.3	95.17	3.96	5101947	d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae;g__CF-113;s__
public_SRR14721957_metawrap_bin.4	91.53	2.05	9085614	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__CAIVAU01;s__
public_SRR11456913_metawrap_bin.14	93.73	3.68	4880843	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Nakamurellaceae;g__Nakamurella;s__
public_SRR11456913_metawrap_bin.15	95.67	0.39	4425407	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium;s__
public_SRR11456913_metawrap_bin.16	94.17	1.06	3017454	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__
public_SRR11456913_metawrap_bin.17	60.31	0	1727965	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas_I;s__
public_SRR11456913_metawrap_bin.10	87.55	3.88	3482057	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terriglobus;s__
public_SRR11456913_metawrap_bin.11	97.11	0.56	6868559	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nostoc;s__
public_SRR11456913_metawrap_bin.12	69.52	0.85	2686058	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__SEOHO-28;s__
public_SRR11456913_metawrap_bin.13	92.93	1.8	4886668	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Lichenihabitans;s__
public_SRR11456913_metawrap_bin.18	95.21	1.78	4381607	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__;s__
public_SRR11456913_metawrap_bin.19	98.19	0.17	4484647	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Friedmanniella;s__
public_SRR14722137_metawrap_bin.3	73.15	1.99	4632561	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__QHXN01;s__
public_SRR11456921_metawrap_bin.10	94.08	1.37	4789540	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__
public_SRR14722299_metawrap_bin.1	81.23	0.68	3140485	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__CAHJWO01;s__
public_SRR14722299_metawrap_bin.2	87.34	0.51	3614925	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__BOG-908;s__
public_SRR14722299_metawrap_bin.3	78.67	0.93	2996672	d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__Nyctobacter;s__
public_SRR14722152_metawrap_bin.3	59.11	0.87	2819151	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__;s__
public_SRR14722307_metawrap_bin.1	94.58	0.36	8974857	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Calothrix;s__
public_SRR14722156_metawrap_bin.1	86.53	5.56	3607728	d__Bacteria;p__Armatimonadota;c__Armatimonadia;o__Armatimonadales;f__Capsulimonadaceae;g__;s__
public_SRR11456919_metawrap_bin.14	81.89	0.86	3227154	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__CAHJWL01;s__
public_SRR11456919_metawrap_bin.15	69.89	3.64	2214623	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__CAIOYC01;s__
public_SRR11456919_metawrap_bin.12	86.17	0.65	2692002	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__CAHJWT01;s__
public_SRR11456919_metawrap_bin.13	98.35	2.79	5694266	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Lichenihabitans;s__
public_SRR11456919_metawrap_bin.10	89.9	2.56	2718594	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__
public_SRR11456919_metawrap_bin.11	72.54	3.32	4305696	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__
public_SRR11456914_metawrap_bin.13	96.42	0.63	2995003	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Amnibacterium;s__
public_SRR11456914_metawrap_bin.12	96.75	0.41	5006012	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__
public_SRR11456914_metawrap_bin.11	94.42	3.23	4267892	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__CAHJWO01;s__
public_SRR11456914_metawrap_bin.10	65.39	1.43	2577071	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__HMF7410;s__
public_SRR11456914_metawrap_bin.17	96.92	0.47	4373183	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Jatrophihabitantaceae;g__Jatrophihabitans;s__
public_SRR11456914_metawrap_bin.16	53.53	0	3542524	d__Bacteria;p__Armatimonadota;c__Armatimonadia;o__Armatimonadales;f__Armatimonadaceae;g__JACMIU01;s__
public_SRR11456914_metawrap_bin.15	96.3	1.85	5067086	d__Bacteria;p__Armatimonadota;c__Armatimonadia;o__Armatimonadales;f__Armatimonadaceae;g__;s__
public_SRR11456914_metawrap_bin.14	96.19	0.35	5828990	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__;s__
public_SRR11456914_metawrap_bin.19	98.43	2.67	3797731	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Thermomicrobiales;f__UBA6265;g__CADCWK01;s__
public_SRR11456914_metawrap_bin.18	100	0.3	6599299	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__;s__
private_X16_metawrap_bin.29	67.24	0	3260617	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhizobacter;s__
public_SRR14722054_metawrap_bin.1	52.8	0.43	4833812	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__UBA5704;s__
public_ERR4179390_metawrap_bin.8	90.75	3.06	5886159	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__PMG-095;s__PMG-095 sp903642325
public_ERR4179390_metawrap_bin.9	87.19	1.83	4339853	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter;s__Mucilaginibacter sp903644075
public_ERR4179390_metawrap_bin.6	85.95	1.71	3738796	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__CAHJXF01;s__CAHJXF01 sp903644065
public_ERR4179390_metawrap_bin.7	87.25	0.75	3084581	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__BOG-908;s__BOG-908 sp903643085
private_X16_metawrap_bin.22	95.79	0	3551738	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Palsa-955;s__
private_X16_metawrap_bin.23	96.88	1.48	3520954	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__RP-AC37;f__Motilibacteraceae;g__;s__
public_ERR4179390_metawrap_bin.2	97.44	3.42	3604446	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__CAHJWL01;s__CAHJWL01 sp903642235
private_X16_metawrap_bin.25	54.72	0.89	2867880	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;g__;s__
private_X16_metawrap_bin.26	81.34	0.53	3490659	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__;s__
public_ERR4179390_metawrap_bin.1	97.46	0.26	4072843	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__HMF7410;s__HMF7410 sp903642215
public_SRR11456923_metawrap_bin.1	69.88	1.98	2301102	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium;s__
public_SRR11456923_metawrap_bin.3	64.06	1.28	2562352	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__Aestuariivirga;s__
public_SRR11456923_metawrap_bin.2	89.66	3.81	5091702	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__JAAFIG01;g__;s__
public_SRR11456923_metawrap_bin.5	89.19	5.23	5124934	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__JAAFIG01;g__;s__
public_SRR14722137_metawrap_bin.1	79.08	0.17	3784927	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Friedmanniella;s__
public_SRR11456923_metawrap_bin.7	99.56	0.22	7859985	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nostoc;s__
