# bin	classification	reason	lineage	lineage scores
private_T1904_concoct_bin.38.fa	taxid assigned	based on 38085/80939 ORFs	1;131567;2759;33090;3041;2692248;75966;2507901;2507902;13786;285719;2608996	1.00;1.00;0.99;0.98;0.97;0.96;0.95;0.93;0.93;0.93;0.93;0.93
private_T1904_metabat2_bin.21.fa	taxid assigned	based on 12348/28918 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.97;0.97;0.96;0.95;0.95;0.95;0.94;0.61;0.61
private_T1912_concoct_bin.0.fa	taxid assigned	based on 31056/76817 ORFs	1;131567;2759;33090;3041;2692248;75966;2507901;2507902;13786;285719;2608996	1.00;1.00;0.98;0.97;0.94;0.94;0.91;0.88;0.88;0.88;0.88;0.86
private_T1912_concoct_bin.14.fa	taxid assigned	based on 13281/29553 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.95;0.94;0.94;0.94;0.92;0.47;0.47
private_T1914_concoct_bin.18.fa	taxid assigned	based on 38965/83704 ORFs	1;131567;2759;33090;3041;2692248;75966;2507901;2507902;13786;285719;2608996	1.00;1.00;0.99;0.98;0.97;0.96;0.95;0.93;0.93;0.93;0.93;0.92
private_T1914_concoct_bin.19.fa	taxid assigned	based on 14135/27261 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147545;451870;1618100;2231493;158045;158046	1.00;1.00;0.99;0.97;0.97;0.96;0.96;0.95;0.95;0.95;0.66;0.59;0.47;0.47;0.47;0.47
private_T1914_metabat2_bin.5.fa	taxid assigned	based on 16510/37036 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;0.99;0.98;0.98;0.98;0.97;0.97;0.97;0.96;0.77;0.77;0.70;0.70;0.70;0.68;0.68
private_T1916_concoct_bin.29.fa	taxid assigned	based on 14788/33109 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546	1.00;1.00;0.98;0.92;0.92;0.89;0.88;0.88;0.87;0.85
private_TS1974_concoct_bin.10.fa	taxid assigned	based on 15920/34748 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.99;0.98;0.90;0.90;0.89;0.89;0.89;0.89;0.88
private_TS1974_concoct_bin.29.fa	taxid assigned	based on 34330/76375 ORFs	1;131567;2759;33090;3041;2692248;75966;2507901;2507902;13786;285719;2608996	1.00;1.00;0.99;0.97;0.96;0.95;0.93;0.91;0.91;0.91;0.91;0.90
private_VT12_concoct_bin.10.fa	taxid assigned	based on 15548/35918 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.99;0.98;0.90;0.90;0.89;0.89;0.89;0.88;0.88
private_VT15_metabat2_bin.1.fa	taxid assigned	based on 17270/37836 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.98;0.98;0.98;0.87;0.87;0.86;0.86;0.86;0.85;0.85
private_VT16_concoct_bin.11.fa	taxid assigned	based on 15769/34395 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.98;0.98;0.98;0.85;0.85;0.84;0.84;0.84;0.83;0.83
private_VT19_concoct_bin.7.fa	taxid assigned	based on 15050/37724 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.99;0.98;0.91;0.91;0.89;0.89;0.89;0.89;0.88
private_VT1_metabat2_bin.10.fa	taxid assigned	based on 16464/34932 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.98;0.98;0.98;0.88;0.88;0.87;0.87;0.87;0.86;0.86
private_VT22_concoct_bin.7.fa	taxid assigned	based on 12876/28153 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.93;0.93;0.92;0.92;0.92;0.91;0.91
private_VT26_concoct_bin.9.fa	taxid assigned	based on 16331/35046 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.99;0.98;0.91;0.91;0.90;0.90;0.90;0.89;0.89
private_VT2_concoct_bin.17.fa	taxid assigned	based on 16777/38781 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.98;0.98;0.98;0.86;0.86;0.85;0.85;0.85;0.84;0.84
private_VT31_metabat2_bin.4.fa	taxid assigned	based on 16188/34390 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.99;0.98;0.91;0.91;0.90;0.90;0.90;0.89;0.89
private_VT33_concoct_bin.0.fa	taxid assigned	based on 15572/33968 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.91;0.91;0.90;0.90;0.90;0.89;0.89
private_VT34_metabat2_bin.11.fa	taxid assigned	based on 11336/23579 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.98;0.98;0.98;0.98;0.97;0.86;0.86;0.82;0.82;0.82;0.80;0.80
private_VT38_concoct_bin.3.fa	taxid assigned	based on 11769/24339 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.94;0.94;0.93;0.93;0.93;0.93;0.93
private_VT38_concoct_bin.4.fa	taxid assigned	based on 38432/82607 ORFs	1;131567;2759;33090;3041;2692248;75966;2507901;2507902;13786;285719;2608996	1.00;1.00;0.99;0.98;0.97;0.96;0.95;0.93;0.93;0.93;0.93;0.92
private_X10_concoct_bin.0.fa	taxid assigned	based on 13625/31951 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.99;0.98;0.90;0.90;0.89;0.89;0.89;0.88;0.88
private_X10_concoct_bin.7.fa	taxid assigned	based on 32587/81359 ORFs	1;131567;2759;33090;3041;2692248;75966;2507901;2507902;13786;285719;2608996	1.00;1.00;0.98;0.96;0.94;0.94;0.91;0.88;0.88;0.88;0.87;0.86
private_X11_concoct_bin.15.fa	taxid assigned	based on 30314/78086 ORFs	1;131567;2759;33090;3041;2692248;75966;2507901;2507902;13786;285719;2608996	1.00;1.00;0.98;0.96;0.94;0.94;0.91;0.87;0.87;0.87;0.87;0.86
private_X11_metabat2_bin.10.fa	taxid assigned	based on 10610/25581 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;0.99;0.96;0.96;0.95;0.94;0.94;0.94;0.93;0.65;0.65;0.52;0.52;0.52;0.49;0.49
private_X12_concoct_bin.4.fa	taxid assigned	based on 13408/31571 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.99;0.98;0.91;0.91;0.90;0.90;0.90;0.90;0.90
private_X13_concoct_bin.5.fa	taxid assigned	based on 12155/24825 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.95;0.94;0.94;0.94;0.92;0.52;0.52
private_X14_concoct_bin.2.fa	taxid assigned	based on 18281/37599 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.98;0.98;0.88;0.88;0.86;0.86;0.86;0.86;0.85
private_X15_concoct_bin.2.fa	taxid assigned	based on 11087/21236 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;1520791;452227;87265;87266;136370	1.00;1.00;0.99;0.96;0.96;0.95;0.95;0.94;0.94;0.93;0.60;0.60;0.36;0.36;0.36;0.36;0.36
private_X16_concoct_bin.2.fa	taxid assigned	based on 12513/26362 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;1520791;452227;87265;87266;136370	1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.98;0.98;0.98;0.90;0.90;0.87;0.87;0.87;0.87;0.87
private_X1_concoct_bin.0.fa	taxid assigned	based on 12249/22748 ORFs	1;131567;2759;33154;4751;451864;5204;5302;155616;5234	1.00;1.00;0.99;0.99;0.98;0.97;0.94;0.94;0.92;0.79
private_X1_concoct_bin.13.fa	taxid assigned	based on 15637/33832 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.99;0.98;0.92;0.92;0.90;0.90;0.90;0.90;0.89
private_X1_metabat2_bin.11.fa	taxid assigned	based on 37475/79648 ORFs	1;131567;2759;33090;3041;2692248;75966;2507901;2507902;13786;285719;2608996	1.00;1.00;0.99;0.98;0.97;0.96;0.95;0.93;0.93;0.93;0.93;0.92
private_X2_concoct_bin.0.fa	taxid assigned	based on 15874/35903 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.98;0.97;0.97;0.87;0.87;0.85;0.85;0.85;0.85;0.84
private_X2_concoct_bin.1.fa	taxid assigned	based on 28791/87279 ORFs	1;131567;2759;33090;3041;2692248;75966;2507901;2507902;13786;285719;2608996	1.00;1.00;0.97;0.95;0.92;0.91;0.88;0.82;0.82;0.82;0.82;0.81
private_X3_concoct_bin.10.fa	taxid assigned	based on 16419/34936 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.98;0.98;0.98;0.88;0.88;0.87;0.87;0.87;0.86;0.86
private_X4_concoct_bin.17.fa	taxid assigned	based on 10665/25827 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.97;0.97;0.96;0.95;0.95;0.95;0.94;0.60;0.60
private_X5_concoct_bin.21.fa	taxid assigned	based on 10413/25896 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.97;0.97;0.96;0.95;0.95;0.95;0.93;0.61;0.61
private_X7_concoct_bin.1.fa	taxid assigned	based on 15707/34167 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.99;0.98;0.92;0.92;0.90;0.90;0.90;0.90;0.89
private_X7_metabat2_bin.4.fa	taxid assigned	based on 37123/78782 ORFs	1;131567;2759;33090;3041;2692248;75966;2507901;2507902;13786;285719;2608996	1.00;1.00;0.99;0.98;0.97;0.96;0.95;0.93;0.93;0.93;0.93;0.92
private_X8_concoct_bin.23.fa	taxid assigned	based on 11621/27487 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;0.99;0.96;0.96;0.95;0.94;0.94;0.94;0.93;0.64;0.64;0.51;0.51;0.51;0.47;0.47
private_X8_metabat2_bin.7.fa	taxid assigned	based on 11832/25139 ORFs	1;131567;2759;33154;4751;451864;5204;5302;155616;5234	1.00;1.00;0.99;0.99;0.98;0.97;0.95;0.94;0.92;0.79
private_X9_concoct_bin.20.fa	taxid assigned	based on 14960/33116 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.99;0.98;0.92;0.92;0.90;0.90;0.90;0.90;0.90
public_ERR4179389_metabat2_bin.32.fa	taxid assigned	based on 11639/22065 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;0.99;0.98;0.98;0.98;0.97;0.97;0.97;0.96;0.79;0.79;0.71;0.71;0.71;0.64;0.64
public_ERR4179390_concoct_bin.45.fa	taxid assigned	based on 18484/76836 ORFs	1;131567;2759;33090;3041;2692248;75966	1.00;0.99;0.90;0.81;0.68;0.65;0.47
public_ERR4179390_concoct_bin.75.fa	taxid assigned	based on 14073/47167 ORFs	1;131567;2759;33090;3041;2692248;75966	1.00;0.99;0.91;0.82;0.66;0.63;0.46
public_ERR4179390_metabat2_bin.28.fa	taxid assigned	based on 16609/47575 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.97;0.97;0.96;0.95;0.95;0.95;0.93;0.53;0.53
public_ERR4179390_metabat2_bin.6.fa	taxid assigned	based on 9109/19263 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;0.99;0.95;0.95;0.93;0.92;0.92;0.92;0.90;0.55;0.55;0.42;0.42;0.42;0.40;0.40
public_SRR11456913_concoct_bin.13.fa	taxid assigned	based on 13105/39739 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.98;0.95;0.94;0.93;0.92;0.92;0.92;0.89;0.48;0.48
public_SRR11456914_concoct_merged.0.fa	taxid assigned	based on 14055/46537 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.98;0.94;0.94;0.93;0.92;0.92;0.91;0.89;0.51;0.51
public_SRR11456915_concoct_bin.5.fa	taxid assigned	based on 31607/65822 ORFs	1;131567;2759;33090;3041;2692248;75966;75981;2511161;41891;248742;574566	1.00;1.00;0.99;0.97;0.96;0.96;0.94;0.90;0.90;0.90;0.89;0.89
public_SRR11456915_metabat2_merged.0.fa	taxid assigned	based on 18561/63830 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.95;0.91;0.91;0.90;0.88;0.88;0.87;0.85;0.45;0.45
public_SRR11456917_metabat2_merged.0.fa	taxid assigned	based on 13716/44932 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.96;0.92;0.92;0.90;0.89;0.89;0.89;0.87;0.50;0.50
public_SRR11456918_metabat2_merged.0.fa	taxid assigned	based on 13926/44960 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.97;0.94;0.94;0.92;0.91;0.91;0.91;0.89;0.51;0.51
public_SRR11456919_concoct_bin.22.fa	taxid assigned	based on 33996/67619 ORFs	1;131567;2759;33090;3041;2692248;75966;75981;2511161;41891;248742;574566	1.00;1.00;0.99;0.98;0.97;0.96;0.95;0.92;0.92;0.92;0.91;0.91
public_SRR11456919_metabat2_bin.15.fa	taxid assigned	based on 16991/62241 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.96;0.93;0.92;0.91;0.90;0.90;0.90;0.88;0.52;0.52
public_SRR11456921_concoct_merged.0.fa	taxid assigned	based on 12428/40743 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.98;0.94;0.94;0.93;0.92;0.92;0.91;0.89;0.50;0.50
public_SRR11456921_metabat2_merged.0.fa	taxid assigned	based on 15881/57479 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.97;0.94;0.94;0.92;0.91;0.91;0.91;0.89;0.48;0.48
public_SRR11456922_metabat2_merged.1.fa	taxid assigned	based on 10556/39112 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.98;0.94;0.94;0.92;0.91;0.91;0.91;0.89;0.53;0.53
public_SRR11456923_metabat2_merged.0.fa	taxid assigned	based on 11071/40075 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.98;0.94;0.94;0.92;0.91;0.91;0.91;0.89;0.53;0.53
public_SRR12240174_metabat2_bin.2.fa	taxid assigned	based on 14807/30013 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.98;0.98;0.88;0.88;0.86;0.86;0.86;0.85;0.85
public_SRR12240175_concoct_merged.0.fa	taxid assigned	based on 15827/33782 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;0.99;0.98;0.98;0.98;0.98;0.98;0.98;0.97;0.87;0.87;0.85;0.85;0.85;0.84;0.84
public_SRR12240177_metabat2_bin.4.fa	taxid assigned	based on 15408/30741 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.98;0.98;0.88;0.88;0.86;0.86;0.86;0.85;0.85
public_SRR12240178_metabat2_bin.6.fa	taxid assigned	based on 14693/31021 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.99;0.98;0.89;0.89;0.87;0.87;0.87;0.87;0.86
public_SRR12240179_concoct_bin.1.fa	taxid assigned	based on 14348/30721 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.99;0.98;0.89;0.89;0.87;0.87;0.87;0.87;0.86
public_SRR12240180_concoct_bin.4.fa	taxid assigned	based on 14374/31251 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.98;0.98;0.89;0.89;0.87;0.87;0.87;0.86;0.85
public_SRR12240181_metabat2_bin.5.fa	taxid assigned	based on 13041/33306 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.97;0.97;0.95;0.95;0.95;0.94;0.93;0.54;0.54
public_SRR12240182_metabat2_bin.7.fa	taxid assigned	based on 13224/32685 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.95;0.94;0.94;0.94;0.92;0.55;0.55
public_SRR12240183_metabat2_bin.10.fa	taxid assigned	based on 14389/34684 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.95;0.94;0.94;0.94;0.92;0.55;0.55
public_SRR12240184_concoct_bin.17.fa	taxid assigned	based on 12616/30174 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.94;0.94;0.94;0.93;0.92;0.54;0.54
public_SRR12240185_concoct_bin.1.fa	taxid assigned	based on 14005/34152 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.95;0.94;0.94;0.94;0.93;0.55;0.55
public_SRR12240187_metabat2_bin.8.fa	taxid assigned	based on 14734/31366 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.98;0.98;0.88;0.88;0.87;0.87;0.87;0.85;0.85
public_SRR12240188_concoct_bin.1.fa	taxid assigned	based on 14886/32173 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.98;0.98;0.98;0.88;0.88;0.86;0.86;0.86;0.85;0.85
public_SRR13125477_concoct_bin.14.fa	taxid assigned	based on 14367/30378 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.99;0.98;0.88;0.88;0.87;0.87;0.87;0.86;0.85
public_SRR13125477_metabat2_bin.13.fa	taxid assigned	based on 26135/78212 ORFs	1;131567;2759;33090;3041;2692248;75966;2507901;2507902;13786;285719;2608996	1.00;1.00;0.97;0.95;0.92;0.91;0.88;0.83;0.83;0.83;0.83;0.81
public_SRR13125762_concoct_bin.37.fa	taxid assigned	based on 15095/29432 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.99;0.98;0.89;0.89;0.87;0.87;0.87;0.87;0.86
public_SRR13125762_concoct_merged.0.fa	taxid assigned	based on 25569/51220 ORFs	1;131567;2759;33090;3041;2692248;75966;2507901;2507902;13786;285719;2608996	1.00;1.00;0.99;0.98;0.97;0.96;0.95;0.93;0.93;0.93;0.93;0.92
