sra_uid,lichen,produced_by,sra_id,bioproject,publication_check,manual_check,how_confirmed,publication_name
19187112,Lobaria pulmonaria,"INSTITUTE OF ENVIRONMENTAL BIOTECHNOLOGY, GRAZ UNI",ERR7337935,PRJEB48783,unconfirmed,not metagenome,publication,"Wicaksono et al. 2022. These project ID's are mis-classified, and are for a metatranscriptome project. Metagenomes are in BioProject PRJEB38505"
19187111,Lobaria pulmonaria,"INSTITUTE OF ENVIRONMENTAL BIOTECHNOLOGY, GRAZ UNI",ERR7337934,PRJEB48783,unconfirmed,not metagenome,publication,"Wicaksono et al. 2022. These project ID's are mis-classified, and are for a metatranscriptome project. Metagenomes are in BioProject PRJEB38505"
19187110,Lobaria pulmonaria,"INSTITUTE OF ENVIRONMENTAL BIOTECHNOLOGY, GRAZ UNI",ERR7337933,PRJEB48783,unconfirmed,not metagenome,publication,"Wicaksono et al. 2022. These project ID's are mis-classified, and are for a metatranscriptome project. Metagenomes are in BioProject PRJEB38505"
19187109,Lobaria pulmonaria,"INSTITUTE OF ENVIRONMENTAL BIOTECHNOLOGY, GRAZ UNI",ERR7337932,PRJEB48783,unconfirmed,not metagenome,publication,"Wicaksono et al. 2022. These project ID's are mis-classified, and are for a metatranscriptome project. Metagenomes are in BioProject PRJEB38505"
19187108,Lobaria pulmonaria,"INSTITUTE OF ENVIRONMENTAL BIOTECHNOLOGY, GRAZ UNI",ERR7337931,PRJEB48783,unconfirmed,not metagenome,publication,"Wicaksono et al. 2022. These project ID's are mis-classified, and are for a metatranscriptome project. Metagenomes are in BioProject PRJEB38505"
19187107,Lobaria pulmonaria,"INSTITUTE OF ENVIRONMENTAL BIOTECHNOLOGY, GRAZ UNI",ERR7337930,PRJEB48783,unconfirmed,not metagenome,publication,"Wicaksono et al. 2022. These project ID's are mis-classified, and are for a metatranscriptome project. Metagenomes are in BioProject PRJEB38505"
19187106,Lobaria pulmonaria,"INSTITUTE OF ENVIRONMENTAL BIOTECHNOLOGY, GRAZ UNI",ERR7337929,PRJEB48783,unconfirmed,not metagenome,publication,"Wicaksono et al. 2022. These project ID's are mis-classified, and are for a metatranscriptome project. Metagenomes are in BioProject PRJEB38505"
19187105,Lobaria pulmonaria,"INSTITUTE OF ENVIRONMENTAL BIOTECHNOLOGY, GRAZ UNI",ERR7337928,PRJEB48783,unconfirmed,not metagenome,publication,"Wicaksono et al. 2022. These project ID's are mis-classified, and are for a metatranscriptome project. Metagenomes are in BioProject PRJEB38505"
19187104,Lobaria pulmonaria,"INSTITUTE OF ENVIRONMENTAL BIOTECHNOLOGY, GRAZ UNI",ERR7337927,PRJEB48783,unconfirmed,not metagenome,publication,"Wicaksono et al. 2022. These project ID's are mis-classified, and are for a metatranscriptome project. Metagenomes are in BioProject PRJEB38505"
19187103,Lobaria pulmonaria,"INSTITUTE OF ENVIRONMENTAL BIOTECHNOLOGY, GRAZ UNI",ERR7337926,PRJEB48783,unconfirmed,not metagenome,publication,"Wicaksono et al. 2022. These project ID's are mis-classified, and are for a metatranscriptome project. Metagenomes are in BioProject PRJEB38505"
19187102,Lobaria pulmonaria,"INSTITUTE OF ENVIRONMENTAL BIOTECHNOLOGY, GRAZ UNI",ERR7337925,PRJEB48783,unconfirmed,not metagenome,publication,"Wicaksono et al. 2022. These project ID's are mis-classified, and are for a metatranscriptome project. Metagenomes are in BioProject PRJEB38505"
19187101,Lobaria pulmonaria,"INSTITUTE OF ENVIRONMENTAL BIOTECHNOLOGY, GRAZ UNI",ERR7337924,PRJEB48783,unconfirmed,not metagenome,publication,"Wicaksono et al. 2022. These project ID's are mis-classified, and are for a metatranscriptome project. Metagenomes are in BioProject PRJEB38505"
19187100,Lobaria pulmonaria,"INSTITUTE OF ENVIRONMENTAL BIOTECHNOLOGY, GRAZ UNI",ERR7337923,PRJEB48783,unconfirmed,not metagenome,publication,"Wicaksono et al. 2022. These project ID's are mis-classified, and are for a metatranscriptome project. Metagenomes are in BioProject PRJEB38505"
19187099,Lobaria pulmonaria,"INSTITUTE OF ENVIRONMENTAL BIOTECHNOLOGY, GRAZ UNI",ERR7337922,PRJEB48783,unconfirmed,not metagenome,publication,"Wicaksono et al. 2022. These project ID's are mis-classified, and are for a metatranscriptome project. Metagenomes are in BioProject PRJEB38505"
19187098,Lobaria pulmonaria,"INSTITUTE OF ENVIRONMENTAL BIOTECHNOLOGY, GRAZ UNI",ERR7337921,PRJEB48783,unconfirmed,not metagenome,publication,"Wicaksono et al. 2022. These project ID's are mis-classified, and are for a metatranscriptome project. Metagenomes are in BioProject PRJEB38505"
19187097,Lobaria pulmonaria,"INSTITUTE OF ENVIRONMENTAL BIOTECHNOLOGY, GRAZ UNI",ERR7337920,PRJEB48783,unconfirmed,not metagenome,publication,"Wicaksono et al. 2022. These project ID's are mis-classified, and are for a metatranscriptome project. Metagenomes are in BioProject PRJEB38505"
19187096,Lobaria pulmonaria,"INSTITUTE OF ENVIRONMENTAL BIOTECHNOLOGY, GRAZ UNI",ERR7337919,PRJEB48783,unconfirmed,not metagenome,publication,"Wicaksono et al. 2022. These project ID's are mis-classified, and are for a metatranscriptome project. Metagenomes are in BioProject PRJEB38505"
19187095,Lobaria pulmonaria,"INSTITUTE OF ENVIRONMENTAL BIOTECHNOLOGY, GRAZ UNI",ERR7337918,PRJEB48783,unconfirmed,not metagenome,publication,"Wicaksono et al. 2022. These project ID's are mis-classified, and are for a metatranscriptome project. Metagenomes are in BioProject PRJEB38505"
19187094,Lobaria pulmonaria,"INSTITUTE OF ENVIRONMENTAL BIOTECHNOLOGY, GRAZ UNI",ERR7337917,PRJEB48783,unconfirmed,not metagenome,publication,"Wicaksono et al. 2022. These project ID's are mis-classified, and are for a metatranscriptome project. Metagenomes are in BioProject PRJEB38505"
19187093,Lobaria pulmonaria,"INSTITUTE OF ENVIRONMENTAL BIOTECHNOLOGY, GRAZ UNI",ERR7337916,PRJEB48783,unconfirmed,not metagenome,publication,"Wicaksono et al. 2022. These project ID's are mis-classified, and are for a metatranscriptome project. Metagenomes are in BioProject PRJEB38505"
19187092,Lobaria pulmonaria,"INSTITUTE OF ENVIRONMENTAL BIOTECHNOLOGY, GRAZ UNI",ERR7337915,PRJEB48783,unconfirmed,not metagenome,publication,"Wicaksono et al. 2022. These project ID's are mis-classified, and are for a metatranscriptome project. Metagenomes are in BioProject PRJEB38505"
19187091,Lobaria pulmonaria,"INSTITUTE OF ENVIRONMENTAL BIOTECHNOLOGY, GRAZ UNI",ERR7337914,PRJEB48783,unconfirmed,not metagenome,publication,"Wicaksono et al. 2022. These project ID's are mis-classified, and are for a metatranscriptome project. Metagenomes are in BioProject PRJEB38505"
19187090,Lobaria pulmonaria,"INSTITUTE OF ENVIRONMENTAL BIOTECHNOLOGY, GRAZ UNI",ERR7337913,PRJEB48783,unconfirmed,not metagenome,publication,"Wicaksono et al. 2022. These project ID's are mis-classified, and are for a metatranscriptome project. Metagenomes are in BioProject PRJEB38505"
19187089,Lobaria pulmonaria,"INSTITUTE OF ENVIRONMENTAL BIOTECHNOLOGY, GRAZ UNI",ERR7337912,PRJEB48783,unconfirmed,not metagenome,publication,"Wicaksono et al. 2022. These project ID's are mis-classified, and are for a metatranscriptome project. Metagenomes are in BioProject PRJEB38505"
19187088,Lobaria pulmonaria,"INSTITUTE OF ENVIRONMENTAL BIOTECHNOLOGY, GRAZ UNI",ERR7337911,PRJEB48783,unconfirmed,not metagenome,publication,"Wicaksono et al. 2022. These project ID's are mis-classified, and are for a metatranscriptome project. Metagenomes are in BioProject PRJEB38505"
21524170,Bacidia rubella,LMU,SRR18971041,PRJNA821848,unconfirmed,culture,bioproject,
24917500,Dothideomycetes sp. NU200,NAGOYA,DRR406571,PRJDB14294,unconfirmed,not lichen,publication,Kurita et al. 2023
24768679,Dothideomycetes sp. NU30,NAGOYA,DRR406570,PRJDB14294,unconfirmed,not lichen,publication,Kurita et al. 2023
17085296,Cladonia stygia,New York Botanical Garden,SRR16304065,PRJNA770763,unconfirmed,confirmed,publication,Hoffman et al. 2023. WARNING: These are included in publication with Lendemer. MAY RESULT IN DUPLICATIONS.
17085295,Cladonia stygia,New York Botanical Garden,SRR16304066,PRJNA770763,unconfirmed,confirmed,publication,Hoffman et al. 2023. WARNING: These are included in publication with Lendemer. MAY RESULT IN DUPLICATIONS.
17085294,Cladonia stygia,New York Botanical Garden,SRR16304067,PRJNA770763,unconfirmed,confirmed,publication,Hoffman et al. 2023. WARNING: These are included in publication with Lendemer. MAY RESULT IN DUPLICATIONS.
17085293,Cladonia rangiferina,New York Botanical Garden,SRR16304068,PRJNA770763,unconfirmed,confirmed,publication,Hoffman et al. 2023. WARNING: These are included in publication with Lendemer. MAY RESULT IN DUPLICATIONS.
17085292,Cladonia,New York Botanical Garden,SRR16304069,PRJNA770763,unconfirmed,confirmed,publication,Hoffman et al. 2023. WARNING: These are included in publication with Lendemer. MAY RESULT IN DUPLICATIONS.
17085291,Cladonia rangiferina,New York Botanical Garden,SRR16304070,PRJNA770763,unconfirmed,confirmed,publication,Hoffman et al. 2023. WARNING: These are included in publication with Lendemer. MAY RESULT IN DUPLICATIONS.
17085290,Cladonia,New York Botanical Garden,SRR16304071,PRJNA770763,unconfirmed,confirmed,publication,Hoffman et al. 2023. WARNING: These are included in publication with Lendemer. MAY RESULT IN DUPLICATIONS.
17085289,Cladonia oricola,New York Botanical Garden,SRR16304072,PRJNA770763,unconfirmed,confirmed,publication,Hoffman et al. 2023. WARNING: These are included in publication with Lendemer. MAY RESULT IN DUPLICATIONS.
17085288,Cladonia oricola,New York Botanical Garden,SRR16304073,PRJNA770763,unconfirmed,confirmed,publication,Hoffman et al. 2023. WARNING: These are included in publication with Lendemer. MAY RESULT IN DUPLICATIONS.
17085287,Cladonia rangiferina,New York Botanical Garden,SRR16304074,PRJNA770763,unconfirmed,confirmed,publication,Hoffman et al. 2023. WARNING: These are included in publication with Lendemer. MAY RESULT IN DUPLICATIONS.
