alignment	start	end	length	nseqs	nparsimony	nvariable	nfixed
8424at3041_aligned_trimmed.fas	14277	14424	148	32	9	147	1
2251at3041_aligned_trimmed.fas	14425	14776	352	19	143	288	62
9622at3041_aligned_trimmed.fas	14777	15088	312	37	117	298	14
10167at3041_aligned_trimmed.fas	15089	15367	279	37	96	241	36
3854at3041_aligned_trimmed.fas	15368	15754	387	39	90	378	9
5589at3041_aligned_trimmed.fas	15755	15997	243	35	130	233	10
9237at3041_aligned_trimmed.fas	15998	16165	168	39	66	144	23
3370at3041_aligned_trimmed.fas	16166	16490	325	36	56	284	35
4670at3041_aligned_trimmed.fas	16491	16719	229	36	62	138	89
440at3041_aligned_trimmed.fas	16720	17662	943	40	23	931	11
3559at3041_aligned_trimmed.fas	17663	17859	197	29	42	126	65
8618at3041_aligned_trimmed.fas	17860	17994	135	36	67	115	20
7879at3041_aligned_trimmed.fas	17995	18150	156	39	61	129	25
9279at3041_aligned_trimmed.fas	18151	18506	356	38	12	356	0
8595at3041_aligned_trimmed.fas	18507	18747	241	37	76	221	20
11113at3041_aligned_trimmed.fas	18748	18822	75	37	15	43	32
2820at3041_aligned_trimmed.fas	18823	19231	409	35	25	402	7
7748at3041_aligned_trimmed.fas	19232	19550	319	36	74	318	1
6455at3041_aligned_trimmed.fas	19551	19712	162	37	64	126	35
4065at3041_aligned_trimmed.fas	19713	19991	279	37	62	256	22
5551at3041_aligned_trimmed.fas	19992	20195	204	38	36	170	34
2051at3041_aligned_trimmed.fas	20196	20538	343	35	62	312	29
6183at3041_aligned_trimmed.fas	20539	20775	237	21	56	227	10
1740at3041_aligned_trimmed.fas	20776	21188	413	34	133	358	53
2104at3041_aligned_trimmed.fas	21189	21626	438	41	46	420	18
9985at3041_aligned_trimmed.fas	21627	21753	127	39	34	122	5
4933at3041_aligned_trimmed.fas	21754	22146	393	41	58	380	12
11837at3041_aligned_trimmed.fas	22147	22315	169	36	88	160	8
10500at3041_aligned_trimmed.fas	22316	22594	279	41	63	273	4
1072at3041_aligned_trimmed.fas	22595	23015	421	38	177	385	35
10056at3041_aligned_trimmed.fas	23016	23210	195	37	33	183	12
9021at3041_aligned_trimmed.fas	23211	23454	244	39	85	230	14
5735at3041_aligned_trimmed.fas	23455	23788	334	35	119	304	30
1343at3041_aligned_trimmed.fas	23789	24188	400	35	123	377	21
1080at3041_aligned_trimmed.fas	24189	24648	460	33	124	334	122
1883at3041_aligned_trimmed.fas	24649	25043	395	30	161	375	20
832at3041_aligned_trimmed.fas	25044	25523	480	39	24	400	80
6643at3041_aligned_trimmed.fas	25524	25694	171	39	75	135	34
8372at3041_aligned_trimmed.fas	25695	25825	131	40	40	77	53
1998at3041_aligned_trimmed.fas	25826	26215	390	35	146	327	60
6972at3041_aligned_trimmed.fas	26216	26375	160	36	101	150	10
5075at3041_aligned_trimmed.fas	26376	26585	210	35	97	149	57
11445at3041_aligned_trimmed.fas	26586	26668	83	38	51	73	10
6018at3041_aligned_trimmed.fas	26669	26858	190	38	88	173	16
5923at3041_aligned_trimmed.fas	26859	27059	201	34	50	108	89
8069at3041_aligned_trimmed.fas	27060	27214	155	36	65	134	21
1143at3041_aligned_trimmed.fas	27215	27661	447	33	86	375	67
2878at3041_aligned_trimmed.fas	27662	27961	300	39	57	259	37
3454at3041_aligned_trimmed.fas	27962	28425	464	38	46	435	27
2749at3041_aligned_trimmed.fas	28426	28717	292	38	92	245	46
6516at3041_aligned_trimmed.fas	28718	28909	192	37	88	162	28
1815at3041_aligned_trimmed.fas	28910	29223	314	39	125	258	55
2112at3041_aligned_trimmed.fas	29224	29521	298	23	117	238	60
11022at3041_aligned_trimmed.fas	29522	29734	213	32	40	209	4
7853at3041_aligned_trimmed.fas	29735	29937	203	42	86	148	55
7288at3041_aligned_trimmed.fas	29938	30080	143	39	69	132	10
8100at3041_aligned_trimmed.fas	30081	30314	234	35	59	230	4
8632at3041_aligned_trimmed.fas	30315	30456	142	34	36	139	3
5547at3041_aligned_trimmed.fas	30457	31058	602	39	71	589	13
4599at3041_aligned_trimmed.fas	31059	31391	333	33	114	304	29
1800at3041_aligned_trimmed.fas	31392	31908	517	38	117	498	18
3373at3041_aligned_trimmed.fas	31909	32290	382	35	104	361	20
11622at3041_aligned_trimmed.fas	32291	32412	122	33	40	111	11
2020at3041_aligned_trimmed.fas	32413	32822	410	41	64	377	32
3514at3041_aligned_trimmed.fas	32823	33121	299	35	138	294	2
5520at3041_aligned_trimmed.fas	33122	33329	208	35	64	176	32
11739at3041_aligned_trimmed.fas	33330	33500	171	37	55	149	22
1955at3041_aligned_trimmed.fas	33501	33868	368	34	173	341	25
1927at3041_aligned_trimmed.fas	33869	34182	314	34	102	247	65
3254at3041_aligned_trimmed.fas	34183	34590	408	30	149	351	55
4754at3041_aligned_trimmed.fas	34591	34959	369	37	63	292	74
9421at3041_aligned_trimmed.fas	34960	35111	152	28	31	149	3
8843at3041_aligned_trimmed.fas	35112	35316	205	37	92	192	13
5335at3041_aligned_trimmed.fas	35317	35530	214	39	47	156	57
10418at3041_aligned_trimmed.fas	35531	35777	247	19	69	235	11
9185at3041_aligned_trimmed.fas	35778	35968	191	34	41	170	19
6571at3041_aligned_trimmed.fas	35969	36280	312	37	70	263	47
8455at3041_aligned_trimmed.fas	36281	36542	262	41	115	241	21
8500at3041_aligned_trimmed.fas	36543	36670	128	40	48	94	31
9034at3041_aligned_trimmed.fas	36671	36797	127	31	15	58	65
7237at3041_aligned_trimmed.fas	36798	36954	157	33	54	132	24
3173at3041_aligned_trimmed.fas	36955	37203	249	31	91	218	30
3499at3041_aligned_trimmed.fas	37204	37867	664	34	123	632	30
10618at3041_aligned_trimmed.fas	37868	38098	231	36	66	221	10
7577at3041_aligned_trimmed.fas	38099	38294	196	35	39	182	13
10929at3041_aligned_trimmed.fas	38295	38488	194	36	92	193	1
7539at3041_aligned_trimmed.fas	38489	38648	160	38	60	144	14
4697at3041_aligned_trimmed.fas	38649	38854	206	33	53	181	25
5060at3041_aligned_trimmed.fas	38855	39054	200	38	57	159	39
6962at3041_aligned_trimmed.fas	39055	39218	164	40	49	138	24
3820at3041_aligned_trimmed.fas	39219	39418	200	39	6	198	2
1248at3041_aligned_trimmed.fas	39419	39861	443	30	68	409	32
6653at3041_aligned_trimmed.fas	39862	40068	207	38	86	154	52
1090at3041_aligned_trimmed.fas	40069	40483	415	39	75	353	61
3711at3041_aligned_trimmed.fas	40484	40781	298	39	124	240	55
8793at3041_aligned_trimmed.fas	40782	40977	196	39	63	187	9
4884at3041_aligned_trimmed.fas	40978	41441	464	38	66	438	26
4087at3041_aligned_trimmed.fas	41442	41666	225	35	59	213	12
2370at3041_aligned_trimmed.fas	41667	42051	385	36	52	355	30
3587at3041_aligned_trimmed.fas	42052	42320	269	34	47	226	40
3644at3041_aligned_trimmed.fas	42321	42692	372	41	124	363	9
6837at3041_aligned_trimmed.fas	42693	42901	209	40	53	183	26
5142at3041_aligned_trimmed.fas	42902	43171	270	33	131	232	37
9158at3041_aligned_trimmed.fas	43172	43290	119	40	41	74	45
10034at3041_aligned_trimmed.fas	43291	43658	368	43	57	364	4
5130at3041_aligned_trimmed.fas	43659	43889	231	33	66	205	24
10837at3041_aligned_trimmed.fas	43890	44022	133	36	55	124	9
6774at3041_aligned_trimmed.fas	44023	44164	142	43	21	117	25
6621at3041_aligned_trimmed.fas	44165	44347	183	37	81	134	48
2257at3041_aligned_trimmed.fas	44348	44749	402	39	58	393	9
6113at3041_aligned_trimmed.fas	44750	44995	246	27	117	203	41
3678at3041_aligned_trimmed.fas	44996	45198	203	38	69	166	35
8539at3041_aligned_trimmed.fas	45199	45321	123	35	60	112	10
8310at3041_aligned_trimmed.fas	45322	45501	180	37	63	148	28
9624at3041_aligned_trimmed.fas	45502	46178	677	31	314	659	18
11669at3041_aligned_trimmed.fas	46179	46275	97	37	45	89	8
1805at3041_aligned_trimmed.fas	46276	46595	320	38	41	320	0
6506at3041_aligned_trimmed.fas	46596	46802	207	37	94	176	30
7700at3041_aligned_trimmed.fas	46803	47051	249	37	101	247	2
2581at3041_aligned_trimmed.fas	47052	47349	298	37	124	233	60
7129at3041_aligned_trimmed.fas	47350	47784	435	41	106	428	7
6453at3041_aligned_trimmed.fas	47785	48077	293	32	106	257	36
3338at3041_aligned_trimmed.fas	48078	48336	259	39	91	212	46
7167at3041_aligned_trimmed.fas	48337	48557	221	38	99	209	12
1922at3041_aligned_trimmed.fas	48558	48915	358	35	48	297	57
10790at3041_aligned_trimmed.fas	48916	49080	165	42	46	148	16
4063at3041_aligned_trimmed.fas	49081	49324	244	31	88	235	8
4751at3041_aligned_trimmed.fas	49325	49675	351	10	88	227	120
6986at3041_aligned_trimmed.fas	49676	50049	374	38	97	361	13
4604at3041_aligned_trimmed.fas	50050	50410	361	32	162	347	14
3304at3041_aligned_trimmed.fas	50411	50657	247	39	35	238	9
7040at3041_aligned_trimmed.fas	50658	50997	340	37	25	330	10
9180at3041_aligned_trimmed.fas	50998	51117	120	36	27	82	37
5319at3041_aligned_trimmed.fas	51118	51510	393	40	159	373	20
6785at3041_aligned_trimmed.fas	51511	51881	371	39	27	367	3
8645at3041_aligned_trimmed.fas	51882	52002	121	37	60	98	23
7498at3041_aligned_trimmed.fas	52003	52271	269	39	133	216	52
11632at3041_aligned_trimmed.fas	52272	52364	93	41	37	78	15
1108at3041_aligned_trimmed.fas	52365	52768	404	33	110	248	153
5094at3041_aligned_trimmed.fas	52769	52943	175	39	62	163	12
9516at3041_aligned_trimmed.fas	52944	53255	312	40	119	281	29
10253at3041_aligned_trimmed.fas	53256	53432	177	39	63	161	13
4778at3041_aligned_trimmed.fas	53433	53748	316	32	81	304	12
4292at3041_aligned_trimmed.fas	53749	53965	217	38	82	178	39
6561at3041_aligned_trimmed.fas	53966	54299	334	37	110	318	15
7055at3041_aligned_trimmed.fas	54300	54637	338	36	172	293	42
7856at3041_aligned_trimmed.fas	54638	54912	275	36	93	246	28
1862at3041_aligned_trimmed.fas	54913	55231	319	36	58	276	41
6348at3041_aligned_trimmed.fas	55232	55377	146	40	34	95	49
6190at3041_aligned_trimmed.fas	55378	55609	232	39	30	230	2
2159at3041_aligned_trimmed.fas	55610	55937	328	40	13	322	6
5270at3041_aligned_trimmed.fas	55938	56174	237	38	82	192	42
1937at3041_aligned_trimmed.fas	56175	56488	314	37	81	286	27
7903at3041_aligned_trimmed.fas	56489	56630	142	38	51	103	37
5681at3041_aligned_trimmed.fas	56631	56923	293	36	31	281	12
2042at3041_aligned_trimmed.fas	56924	57365	442	39	57	424	18
4351at3041_aligned_trimmed.fas	57366	57834	469	35	190	424	42
4204at3041_aligned_trimmed.fas	57835	58135	301	34	128	288	13
8377at3041_aligned_trimmed.fas	58136	58280	145	39	60	119	25
9580at3041_aligned_trimmed.fas	58281	58423	143	36	48	138	4
7269at3041_aligned_trimmed.fas	58424	58657	234	37	106	218	16
3835at3041_aligned_trimmed.fas	58658	58899	242	36	32	158	81
5659at3041_aligned_trimmed.fas	58900	59196	297	35	137	244	51
6905at3041_aligned_trimmed.fas	59197	59476	280	37	81	260	19
9631at3041_aligned_trimmed.fas	59477	59596	120	27	33	78	41
4544at3041_aligned_trimmed.fas	59597	59871	275	33	146	256	19
7300at3041_aligned_trimmed.fas	59872	60155	284	40	137	244	39
2181at3041_aligned_trimmed.fas	60156	60587	432	36	108	400	32
2317at3041_aligned_trimmed.fas	60588	60868	281	38	135	226	54
11227at3041_aligned_trimmed.fas	60869	60981	113	35	28	86	27
6850at3041_aligned_trimmed.fas	60982	61213	232	39	84	210	22
11515at3041_aligned_trimmed.fas	61214	61356	143	35	59	126	16
6505at3041_aligned_trimmed.fas	61357	61602	246	37	120	224	22
2499at3041_aligned_trimmed.fas	61603	61981	379	39	22	373	6
1005at3041_aligned_trimmed.fas	61982	62620	639	42	53	633	6
4147at3041_aligned_trimmed.fas	62621	62916	296	38	113	276	20
2068at3041_aligned_trimmed.fas	62917	63559	643	32	50	638	5
5568at3041_aligned_trimmed.fas	63560	63784	225	40	26	206	17
1737at3041_aligned_trimmed.fas	63785	64324	540	23	140	488	49
3375at3041_aligned_trimmed.fas	64325	64658	334	34	49	299	34
10539at3041_aligned_trimmed.fas	64659	64870	212	39	117	202	10
4109at3041_aligned_trimmed.fas	64871	65134	264	41	43	246	18
510at3041_aligned_trimmed.fas	65135	65649	515	38	40	456	56
4012at3041_aligned_trimmed.fas	65650	65859	210	34	35	155	53
6422at3041_aligned_trimmed.fas	65860	66122	263	37	108	246	17
5554at3041_aligned_trimmed.fas	66123	66379	257	40	101	226	29
2054at3041_aligned_trimmed.fas	66380	67313	934	34	141	922	11
2397at3041_aligned_trimmed.fas	67314	67787	474	31	130	448	26
1610at3041_aligned_trimmed.fas	67788	68189	402	38	90	355	46
11703at3041_aligned_trimmed.fas	68190	68255	66	41	28	57	9
6577at3041_aligned_trimmed.fas	68256	68466	211	35	40	195	16
2728at3041_aligned_trimmed.fas	68467	68788	322	37	146	278	42
2101at3041_aligned_trimmed.fas	68789	69175	387	35	152	322	63
1462at3041_aligned_trimmed.fas	69176	69717	542	25	168	501	41
4520at3041_aligned_trimmed.fas	69718	70006	289	38	108	286	3
1093at3041_aligned_trimmed.fas	70007	70498	492	34	39	471	21
10808at3041_aligned_trimmed.fas	70499	70599	101	40	28	69	30
6593at3041_aligned_trimmed.fas	70600	70882	283	29	119	250	32
8453at3041_aligned_trimmed.fas	70883	71023	141	36	45	122	19
2699at3041_aligned_trimmed.fas	71024	71326	303	35	113	203	94
4084at3041_aligned_trimmed.fas	71327	71569	243	38	66	192	51
1537at3041_aligned_trimmed.fas	71570	71959	390	35	101	350	37
2782at3041_aligned_trimmed.fas	71960	72439	480	37	78	435	44
9298at3041_aligned_trimmed.fas	72440	72619	180	37	83	151	28
9958at3041_aligned_trimmed.fas	72620	72832	213	36	92	193	19
10037at3041_aligned_trimmed.fas	72833	73035	203	35	58	201	2
2528at3041_aligned_trimmed.fas	73036	73351	316	37	59	295	21
8574at3041_aligned_trimmed.fas	73352	73468	117	38	53	106	11
8208at3041_aligned_trimmed.fas	73469	73739	271	36	66	256	15
6622at3041_aligned_trimmed.fas	73740	74000	261	37	73	243	18
10650at3041_aligned_trimmed.fas	74001	74120	120	38	46	114	6
3760at3041_aligned_trimmed.fas	74121	74604	484	40	25	483	1
11795at3041_aligned_trimmed.fas	74605	74692	88	39	27	75	13
3391at3041_aligned_trimmed.fas	74693	75020	328	39	62	316	11
8408at3041_aligned_trimmed.fas	75021	75133	113	36	56	95	17
10679at3041_aligned_trimmed.fas	75134	75447	314	35	58	309	5
10948at3041_aligned_trimmed.fas	75448	75647	200	13	104	186	14
6710at3041_aligned_trimmed.fas	75648	75825	178	36	29	152	23
7224at3041_aligned_trimmed.fas	75826	76126	301	38	46	300	1
2366at3041_aligned_trimmed.fas	76127	76438	312	39	142	247	61
3591at3041_aligned_trimmed.fas	76439	76674	236	36	64	233	3
2233at3041_aligned_trimmed.fas	76675	76959	285	34	67	279	6
1477at3041_aligned_trimmed.fas	76960	77358	399	37	84	397	2
5802at3041_aligned_trimmed.fas	77359	77592	234	33	81	227	6
12535at3041_aligned_trimmed.fas	77593	77671	79	40	30	60	18
5599at3041_aligned_trimmed.fas	77672	77889	218	38	36	190	27
9632at3041_aligned_trimmed.fas	77890	78032	143	39	33	75	66
5073at3041_aligned_trimmed.fas	78033	78249	217	36	51	178	38
11780at3041_aligned_trimmed.fas	78250	78318	69	42	13	34	35
7303at3041_aligned_trimmed.fas	78319	78416	98	41	14	67	29
2182at3041_aligned_trimmed.fas	78417	78917	501	38	102	473	28
9903at3041_aligned_trimmed.fas	78918	79065	148	40	23	95	53
11371at3041_aligned_trimmed.fas	79066	79152	87	40	30	64	23
8348at3041_aligned_trimmed.fas	79153	79578	426	35	164	385	39
3009at3041_aligned_trimmed.fas	79579	79996	418	39	137	395	23
1379at3041_aligned_trimmed.fas	79997	80408	412	39	84	329	83
8190at3041_aligned_trimmed.fas	80409	80941	533	33	105	529	4
3911at3041_aligned_trimmed.fas	80942	81248	307	39	55	303	3
6445at3041_aligned_trimmed.fas	81249	81437	189	39	73	146	43
11103at3041_aligned_trimmed.fas	81438	81919	482	35	38	481	1
5533at3041_aligned_trimmed.fas	81920	82125	206	35	65	188	16
8977at3041_aligned_trimmed.fas	82126	82330	205	33	99	190	15
1722at3041_aligned_trimmed.fas	82331	82732	402	39	160	365	36
7716at3041_aligned_trimmed.fas	82733	82871	139	35	63	127	12
8021at3041_aligned_trimmed.fas	82872	83199	328	41	74	299	28
2654at3041_aligned_trimmed.fas	83200	84338	1139	29	125	1136	3
8939at3041_aligned_trimmed.fas	84339	84873	535	30	142	509	26
4152at3041_aligned_trimmed.fas	84874	85172	299	37	125	282	17
4951at3041_aligned_trimmed.fas	85173	85670	498	36	44	497	1
6562at3041_aligned_trimmed.fas	85671	86083	413	32	179	402	10
6479at3041_aligned_trimmed.fas	86084	86319	236	37	111	197	39
3312at3041_aligned_trimmed.fas	86320	86605	286	37	59	207	76
2959at3041_aligned_trimmed.fas	86606	87299	694	31	178	662	31
7631at3041_aligned_trimmed.fas	87300	87482	183	24	66	148	35
2773at3041_aligned_trimmed.fas	87483	87906	424	36	225	403	21
8106at3041_aligned_trimmed.fas	87907	88089	183	42	79	164	19
7900at3041_aligned_trimmed.fas	88090	88229	140	37	27	88	45
11171at3041_aligned_trimmed.fas	88230	88406	177	40	59	176	1
9604at3041_aligned_trimmed.fas	88407	88511	105	38	44	88	15
10141at3041_aligned_trimmed.fas	88512	88913	402	33	156	374	26
10768at3041_aligned_trimmed.fas	88914	89002	89	39	41	72	15
6930at3041_aligned_trimmed.fas	89003	89279	277	42	140	256	21
1301at3041_aligned_trimmed.fas	89280	89801	522	38	80	434	87
9860at3041_aligned_trimmed.fas	89802	90173	372	36	89	369	3
126at3041_aligned_trimmed.fas	90174	91322	1149	36	42	1146	3
7691at3041_aligned_trimmed.fas	91323	91572	250	33	75	224	26
3955at3041_aligned_trimmed.fas	91573	91952	380	36	118	351	29
1514at3041_aligned_trimmed.fas	91953	92300	348	35	74	267	75
9812at3041_aligned_trimmed.fas	92301	92480	180	39	38	130	50
5705at3041_aligned_trimmed.fas	92481	92719	239	40	51	229	9
4231at3041_aligned_trimmed.fas	92720	93009	290	40	100	254	36
8259at3041_aligned_trimmed.fas	93010	93214	205	40	48	193	12
6673at3041_aligned_trimmed.fas	93215	93394	180	37	72	153	25
6282at3041_aligned_trimmed.fas	93395	93757	363	34	151	351	11
8494at3041_aligned_trimmed.fas	93758	94024	267	30	134	258	9
5422at3041_aligned_trimmed.fas	94025	94314	290	33	150	250	39
4624at3041_aligned_trimmed.fas	94315	94557	243	36	62	233	10
8130at3041_aligned_trimmed.fas	94558	94857	300	39	55	290	9
4840at3041_aligned_trimmed.fas	94858	95061	204	40	39	174	28
1728at3041_aligned_trimmed.fas	95062	95568	507	30	212	413	93
12380at3041_aligned_trimmed.fas	95569	95655	87	32	47	78	9
4703at3041_aligned_trimmed.fas	95656	95891	236	38	82	194	40
9476at3041_aligned_trimmed.fas	95892	96076	185	37	79	159	23
9211at3041_aligned_trimmed.fas	96077	96368	292	32	88	276	16
5279at3041_aligned_trimmed.fas	96369	96549	181	42	79	140	40
3556at3041_aligned_trimmed.fas	96550	96832	283	35	94	268	15
4855at3041_aligned_trimmed.fas	96833	97034	202	39	13	102	96
1917at3041_aligned_trimmed.fas	97035	97444	410	33	98	302	101
8926at3041_aligned_trimmed.fas	97445	97610	166	37	90	160	6
5479at3041_aligned_trimmed.fas	97611	97813	203	40	82	177	26
9687at3041_aligned_trimmed.fas	97814	98010	197	6	34	172	24
1959at3041_aligned_trimmed.fas	98011	98299	289	30	83	269	19
5305at3041_aligned_trimmed.fas	98300	98552	253	35	124	241	10
10201at3041_aligned_trimmed.fas	98553	98696	144	38	38	140	4
6799at3041_aligned_trimmed.fas	98697	98846	150	19	77	120	27
12580at3041_aligned_trimmed.fas	98847	99125	279	17	105	262	17
2137at3041_aligned_trimmed.fas	99126	99759	634	37	35	627	7
6682at3041_aligned_trimmed.fas	99760	100051	292	35	105	274	18
4972at3041_aligned_trimmed.fas	100052	100407	356	25	190	340	16
5786at3041_aligned_trimmed.fas	100408	100589	182	35	88	154	26
4758at3041_aligned_trimmed.fas	100590	100873	284	40	41	243	38
12103at3041_aligned_trimmed.fas	100874	100988	115	33	53	113	2
3998at3041_aligned_trimmed.fas	100989	101324	336	36	100	310	26
7007at3041_aligned_trimmed.fas	101325	101506	182	41	77	176	6
10273at3041_aligned_trimmed.fas	101507	101665	159	40	54	139	20
4580at3041_aligned_trimmed.fas	101666	101917	252	37	99	239	13
3080at3041_aligned_trimmed.fas	101918	102233	316	31	101	256	57
3216at3041_aligned_trimmed.fas	102234	102512	279	35	16	274	5
2722at3041_aligned_trimmed.fas	102513	102974	462	40	44	453	9
8157at3041_aligned_trimmed.fas	102975	103295	321	38	30	309	10
6097at3041_aligned_trimmed.fas	103296	103654	359	39	91	342	17
1597at3041_aligned_trimmed.fas	103655	104062	408	38	179	359	44
2639at3041_aligned_trimmed.fas	104063	104392	330	35	128	256	70
4431at3041_aligned_trimmed.fas	104393	104804	412	27	128	388	24
9487at3041_aligned_trimmed.fas	104805	104954	150	38	52	109	39
5906at3041_aligned_trimmed.fas	104955	105069	115	38	27	106	7
6870at3041_aligned_trimmed.fas	105070	105289	220	34	105	181	37
8542at3041_aligned_trimmed.fas	105290	105439	150	37	35	126	22
9123at3041_aligned_trimmed.fas	105440	105546	107	37	43	95	11
5393at3041_aligned_trimmed.fas	105547	105843	297	35	110	270	25
8465at3041_aligned_trimmed.fas	105844	105988	145	40	74	130	15
10482at3041_aligned_trimmed.fas	105989	106109	121	42	51	111	8
5645at3041_aligned_trimmed.fas	106110	106404	295	18	99	259	36
4558at3041_aligned_trimmed.fas	106405	106736	332	42	73	302	30
6733at3041_aligned_trimmed.fas	106737	106945	209	37	38	207	2
6628at3041_aligned_trimmed.fas	106946	107126	181	38	71	157	24
6001at3041_aligned_trimmed.fas	107127	107526	400	35	114	385	10
6802at3041_aligned_trimmed.fas	107527	107798	272	37	97	259	13
8754at3041_aligned_trimmed.fas	107799	108133	335	37	54	301	33
1057at3041_aligned_trimmed.fas	108134	108604	471	40	21	456	15
7063at3041_aligned_trimmed.fas	108605	108831	227	40	50	223	3
4627at3041_aligned_trimmed.fas	108832	109042	211	35	71	148	60
6330at3041_aligned_trimmed.fas	109043	109280	238	39	30	221	17
4958at3041_aligned_trimmed.fas	109281	109543	263	38	154	249	13
3540at3041_aligned_trimmed.fas	109544	109892	349	39	105	315	32
9347at3041_aligned_trimmed.fas	109893	110061	169	39	64	158	11
1170at3041_aligned_trimmed.fas	110062	110512	451	38	101	407	39
8859at3041_aligned_trimmed.fas	110513	110827	315	40	33	314	1
4129at3041_aligned_trimmed.fas	110828	111241	414	39	74	362	52
3895at3041_aligned_trimmed.fas	111242	111465	224	39	55	214	10
3096at3041_aligned_trimmed.fas	111466	112352	887	31	147	804	82
1826at3041_aligned_trimmed.fas	112353	112704	352	40	51	348	4
6525at3041_aligned_trimmed.fas	112705	112977	273	32	74	257	15
7011at3041_aligned_trimmed.fas	112978	113287	310	40	63	308	2
5845at3041_aligned_trimmed.fas	113288	113551	264	36	57	252	11
3483at3041_aligned_trimmed.fas	113552	113747	196	34	46	189	7
9135at3041_aligned_trimmed.fas	113748	113970	223	34	111	208	15
12232at3041_aligned_trimmed.fas	113971	114099	129	40	20	121	7
6602at3041_aligned_trimmed.fas	114100	114317	218	34	101	210	8
7789at3041_aligned_trimmed.fas	114318	114554	237	41	110	229	7
1997at3041_aligned_trimmed.fas	114555	114857	303	38	51	274	25
1194at3041_aligned_trimmed.fas	114858	115314	457	36	53	288	159
4427at3041_aligned_trimmed.fas	115315	115602	288	40	97	263	24
7378at3041_aligned_trimmed.fas	115603	115716	114	35	14	84	28
6065at3041_aligned_trimmed.fas	115717	115977	261	34	46	208	51
617at3041_aligned_trimmed.fas	115978	116546	569	30	48	527	40
12455at3041_aligned_trimmed.fas	116547	116725	179	32	102	177	2
