querry,reference,alignment_length,similarity_errors,ref_coverage,querry_coverage,ani,reference_length,querry_length,alignment_coverage,primary_cluster
public_SRR12240174_metabat2_bin.2.fa,public_SRR14722139_metabat2_bin.5.fa,7700853,1148084,0.23917738,0.2714327,0.8509147,32197247,28371132,0.2714327013811081,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR14722151_metabat2_bin.3.fa,6761999,1015185,0.22352065,0.23834082,0.8498691,30252234,28371132,0.23834082475101803,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR14722166_concoct_bin.2.fa,8002666,1185431,0.24711837,0.28207073,0.8518705,32383939,28371132,0.2820707330253865,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR14722168_metabat2_bin.6.fa,7951524,1176055,0.24287224,0.28026813,0.8520969,32739534,28371132,0.2802681260656078,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR14722169_metabat2_bin.6.fa,8179194,1198671,0.26756123,0.28829283,0.85344875,30569428,28371132,0.2882928323057395,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR14722174_metabat2_bin.2.fa,7980189,1181604,0.24950312,0.2812785,0.8519328,31984326,28371132,0.28127848405907807,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR14722289_concoct_bin.0.fa,6678145,1013083,0.20479572,0.23538521,0.8482987,32608811,28371132,0.23538521480214467,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR14722300_metabat2_bin.4.fa,8730530,1265551,0.2690492,0.30772582,0.85504305,32449567,28371132,0.3077258249688451,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR14722310_metabat2_bin.3.fa,6553733,1003603,0.20583151,0.23100005,0.8468654,31840281,28371132,0.23100005315262007,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR14722325_metabat2_bin.1.fa,6238490,957025,0.20578171,0.21988866,0.8465935,30316057,28371132,0.2198886530153256,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR14722326_metabat2_bin.1.fa,6878704,1043962,0.20261227,0.24245434,0.84823275,33950087,28371132,0.24245433703526528,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR14722329_metabat2_bin.1.fa,7626444,1136183,0.23888516,0.26881,0.85102063,31925147,28371132,0.26881000024954943,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR12240175_concoct_merged.0.fa,26589584,838863,0.78499734,0.9372056,0.96845144,33872195,28371132,0.9372056074463296,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR12240177_metabat2_bin.4.fa,24111604,1029615,0.8066952,0.849864,0.9572979,29889360,28371132,0.8498640096560123,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR12240178_metabat2_bin.6.fa,24540349,1069840,0.8207088,0.86497605,0.95640486,29901407,28371132,0.86497602563056,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR12240179_concoct_bin.1.fa,24048659,1050096,0.8027068,0.8476454,0.95633453,29959457,28371132,0.8476453812276507,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR12240187_metabat2_bin.8.fa,24239400,1171816,0.7771241,0.85436845,0.9516566,31191156,28371132,0.8543684474768226,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR12240188_concoct_bin.1.fa,24565919,1192114,0.7565625,0.8658773,0.9514729,32470444,28371132,0.8658772938633538,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR13167197_metabat2_bin.1.fa,23888261,1080432,0.8102699,0.84199184,0.9547714,29481857,28371132,0.8419918175982545,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR13126859_metabat2_bin.7.fa,17859915,1881374,0.60434055,0.6295101,0.8946594,29552732,28371132,0.629510130226739,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR13126828_metabat2_bin.1.fa,21023527,1655450,0.68176913,0.74101824,0.92125726,30836724,28371132,0.7410182646219403,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR13126796_metabat2_bin.1.fa,22805874,921754,0.7725501,0.8038408,0.9595826,29520253,28371132,0.8038408196049421,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR13126647_concoct_merged.0.fa,18068545,1474425,0.6881629,0.6368637,0.91839826,26256202,28371132,0.6881629338470202,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR13125985_concoct_bin.8.fa,17604571,1445986,0.7124038,0.62051,0.917863,24711508,28371132,0.7124037513210444,124
public_SRR12240174_metabat2_bin.2.fa,private_VT16_concoct_bin.11.fa,8922650,1291242,0.25223488,0.3144975,0.8552849,35374370,28371132,0.3144974969627578,124
public_SRR12240180_concoct_bin.4.fa,public_SRR12240174_metabat2_bin.2.fa,23916234,1166226,0.84297776,0.7594366,0.9512371,28371132,31492074,0.8429777846016154,124
public_SRR12240180_concoct_bin.4.fa,public_SRR12240180_concoct_bin.4.fa,31486770,1131,0.99983156,0.99983156,0.99996406,31492074,31492074,0.9998315766691009,124
public_SRR12240180_concoct_bin.4.fa,public_SRR14721927_metabat2_bin.2.fa,7628346,1148864,0.22966155,0.24223067,0.8493954,33215599,31492074,0.242230664134728,124
public_SRR12240180_concoct_bin.4.fa,public_SRR14721935_metabat2_bin.5.fa,6465435,994050,0.21068607,0.20530356,0.84625167,30687529,31492074,0.2106860738119384,124
public_SRR12240180_concoct_bin.4.fa,public_SRR14721943_metabat2_bin.1.fa,7695866,1151239,0.2429052,0.24437469,0.85040814,31682591,31492074,0.2443746956773949,124
public_SRR12240180_concoct_bin.4.fa,public_SRR14721956_metabat2_bin.3.fa,7851694,1171333,0.25156,0.24932286,0.8508178,31212012,31492074,0.25156000837113607,124
public_SRR12240180_concoct_bin.4.fa,public_SRR14721979_metabat2_bin.1.fa,6990700,1061974,0.2022939,0.22198284,0.8480876,34557146,31492074,0.22198283923758086,124
public_SRR12240180_concoct_bin.4.fa,public_SRR14721992_concoct_merged.0.fa,6090285,914794,0.21248871,0.19339104,0.84979457,28661687,31492074,0.2124887135917715,124
public_SRR12240180_concoct_bin.4.fa,public_SRR14721997_metabat2_bin.1.fa,7730629,1155098,0.23974457,0.24547856,0.85058165,32245272,31492074,0.24547856073245605,124
public_SRR12240180_concoct_bin.4.fa,public_SRR14722000_concoct_merged.0.fa,6908427,1044058,0.22291212,0.21937034,0.8488718,30991706,31492074,0.22291212365011465,124
public_SRR12240180_concoct_bin.4.fa,public_SRR14722004_metabat2_bin.1.fa,9220101,1330944,0.27711576,0.29277527,0.85564756,33271660,31492074,0.2927752868864718,124
public_SRR12240180_concoct_bin.4.fa,public_SRR14722006_metabat2_bin.2.fa,9153840,1325108,0.27436998,0.29067123,0.8552402,33363126,31492074,0.2906712336570783,124
public_SRR12240180_concoct_bin.4.fa,public_SRR14722020_concoct_merged.0.fa,5715354,871915,0.21048397,0.18148547,0.8474434,27153393,31492074,0.21048397156112314,124
public_SRR12240180_concoct_bin.4.fa,public_SRR14722021_metabat2_bin.1.fa,6706521,1021771,0.21832138,0.212959,0.84764516,30718572,31492074,0.21832137900160203,124
public_SRR12240180_concoct_bin.4.fa,public_SRR14722028_metabat2_bin.1.fa,7429791,1112614,0.24243411,0.23592575,0.85024965,30646640,31492074,0.24243411349498672,124
public_SRR12240180_concoct_bin.4.fa,public_SRR14722038_metabat2_bin.1.fa,9892556,1416011,0.29620683,0.31412843,0.85686094,33397459,31492074,0.3141284375236766,124
public_SRR12240180_concoct_bin.4.fa,public_SRR14722068_metabat2_bin.3.fa,7710093,1153389,0.24203236,0.24482647,0.85040534,31855629,31492074,0.2448264601435904,124
public_SRR12240180_concoct_bin.4.fa,public_SRR14722077_concoct_merged.0.fa,7537903,1123383,0.24089403,0.23935874,0.8509688,31291365,31492074,0.2408940293911755,124
public_SRR12240180_concoct_bin.4.fa,public_SRR14722106_metabat2_bin.2.fa,7419306,1114758,0.21447201,0.2355928,0.849749,34593352,31492074,0.2355928034463529,124
public_SRR12240180_concoct_bin.4.fa,public_SRR14722108_metabat2_bin.1.fa,7685238,1149434,0.24323295,0.24403721,0.85043615,31596205,31492074,0.2440372139351635,124
public_SRR12240180_concoct_bin.4.fa,public_SRR14722127_concoct_bin.0.fa,23720103,1095641,0.8508135,0.75320864,0.9538096,27879322,31492074,0.850813481045199,124
public_SRR12240180_concoct_bin.4.fa,public_SRR14722130_metabat2_bin.9.fa,6874573,1044760,0.21376099,0.21829534,0.84802544,32160092,31492074,0.21829533996395412,124
public_SRR12240180_concoct_bin.4.fa,public_SRR14722139_metabat2_bin.5.fa,7858945,1178129,0.24408749,0.24955311,0.8500907,32197247,31492074,0.2495531097761297,124
public_SRR12240180_concoct_bin.4.fa,public_SRR14722151_metabat2_bin.3.fa,6871279,1033716,0.22713295,0.21819074,0.8495599,30252234,31492074,0.2271329449587095,124
public_SRR12240180_concoct_bin.4.fa,public_SRR14722166_concoct_bin.2.fa,8140537,1212160,0.25137576,0.2584948,0.8510958,32383939,31492074,0.25849478824417854,124
public_SRR12240180_concoct_bin.4.fa,public_SRR14722168_metabat2_bin.6.fa,8035385,1199184,0.2454337,0.2551558,0.85076207,32739534,31492074,0.25515578935830013,124
public_SRR12240180_concoct_bin.4.fa,public_SRR14722169_metabat2_bin.6.fa,8359927,1229807,0.27347344,0.2654613,0.85289264,30569428,31492074,0.27347345197299733,124
public_SRR12240180_concoct_bin.4.fa,public_SRR14722174_metabat2_bin.2.fa,8115409,1207062,0.2537308,0.25769687,0.8512629,31984326,31492074,0.2576968731878377,124
public_SRR12240180_concoct_bin.4.fa,public_SRR14722289_concoct_bin.0.fa,6789738,1031973,0.20821789,0.21560149,0.8480099,32608811,31492074,0.2156014875361972,124
public_SRR12240180_concoct_bin.4.fa,public_SRR14722300_metabat2_bin.4.fa,8887106,1294663,0.2738744,0.28220135,0.8543212,32449567,31492074,0.2822013564428942,124
public_SRR12240180_concoct_bin.4.fa,public_SRR14722310_metabat2_bin.3.fa,6776098,1037572,0.21281527,0.21516836,0.84687763,31840281,31492074,0.2151683626807177,124
public_SRR12240180_concoct_bin.4.fa,public_SRR14722325_metabat2_bin.1.fa,6463659,993306,0.2132091,0.20524716,0.8463245,30316057,31492074,0.2132090924621233,124
public_SRR12240180_concoct_bin.4.fa,public_SRR14722326_metabat2_bin.1.fa,7016070,1066698,0.20665838,0.22278844,0.84796363,33950087,31492074,0.2227884387671641,124
public_SRR12240180_concoct_bin.4.fa,public_SRR14722329_metabat2_bin.1.fa,7824615,1172013,0.24509253,0.24846299,0.8502146,31925147,31492074,0.2484629942124485,124
public_SRR12240180_concoct_bin.4.fa,public_SRR12240175_concoct_merged.0.fa,26840130,1376024,0.79239416,0.85228205,0.9487326,33872195,31492074,0.8522820694502369,124
public_SRR12240180_concoct_bin.4.fa,public_SRR12240177_metabat2_bin.4.fa,24566065,1158137,0.8219,0.7800714,0.95285624,29889360,31492074,0.8219000005353075,124
public_SRR12240180_concoct_bin.4.fa,public_SRR12240178_metabat2_bin.6.fa,25373801,1234426,0.84858215,0.8057202,0.9513504,29901407,31492074,0.8485821754140198,124
public_SRR12240180_concoct_bin.4.fa,public_SRR12240179_concoct_bin.1.fa,25138504,1253338,0.8390841,0.7982486,0.9501427,29959457,31492074,0.8390840995549419,124
public_SRR12240180_concoct_bin.4.fa,public_SRR12240187_metabat2_bin.8.fa,27357004,810214,0.8770757,0.8686949,0.97038364,31191156,31492074,0.8770756685003915,124
public_SRR12240180_concoct_bin.4.fa,public_SRR12240188_concoct_bin.1.fa,28785256,685564,0.8865064,0.91404766,0.9761835,32470444,31492074,0.9140476425909579,124
public_SRR12240180_concoct_bin.4.fa,public_SRR13167197_metabat2_bin.1.fa,24335339,1190013,0.8254344,0.7727449,0.9510994,29481857,31492074,0.8254344019103003,124
public_SRR12240180_concoct_bin.4.fa,public_SRR13126859_metabat2_bin.7.fa,18099125,1942229,0.6124349,0.57472,0.89268935,29552732,31492074,0.6124349180305902,124
public_SRR12240180_concoct_bin.4.fa,public_SRR13126828_metabat2_bin.1.fa,21216312,1739491,0.68802094,0.67370325,0.9180116,30836724,31492074,0.6880209454156025,124
public_SRR12240180_concoct_bin.4.fa,public_SRR13126796_metabat2_bin.1.fa,22917571,1021446,0.7763338,0.727725,0.95542955,29520253,31492074,0.7763338274912481,124
public_SRR12240180_concoct_bin.4.fa,public_SRR13126647_concoct_merged.0.fa,18223630,1535965,0.69406956,0.57867354,0.91571575,26256202,31492074,0.6940695383132717,124
public_SRR12240180_concoct_bin.4.fa,public_SRR13125985_concoct_bin.8.fa,17762626,1503498,0.71879977,0.5640348,0.9153561,24711508,31492074,0.7187997592053063,124
public_SRR12240180_concoct_bin.4.fa,private_VT16_concoct_bin.11.fa,9224044,1343663,0.260755,0.2929005,0.85433036,35374370,31492074,0.29290049299388793,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR12240174_metabat2_bin.2.fa,7435989,1111784,0.262097,0.22387038,0.85048604,28371132,33215599,0.26209701466970015,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR12240180_concoct_bin.4.fa,7631543,1148824,0.24233218,0.2297578,0.84946376,31492074,33215599,0.2423321817419837,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR14721927_metabat2_bin.2.fa,33209046,1642,0.9998027,0.9998027,0.9999505,33215599,33215599,0.9998027131770226,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR14721935_metabat2_bin.5.fa,9696702,1414663,0.31598184,0.29193217,0.85410887,30687529,33215599,0.3159818439601312,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR14721943_metabat2_bin.1.fa,11306015,1596313,0.3568526,0.3403827,0.8588085,31682591,33215599,0.3568526008494697,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR14721956_metabat2_bin.3.fa,11537732,1615051,0.36965677,0.34735885,0.86002004,31212012,33215599,0.3696567847019923,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR14721979_metabat2_bin.1.fa,10450610,1503334,0.3024153,0.31462958,0.85614866,34557146,33215599,0.31462958111940115,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR14721992_concoct_merged.0.fa,7864640,1150829,0.27439559,0.2367755,0.8536705,28661687,33215599,0.2743955720401245,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR14721997_metabat2_bin.1.fa,11472716,1610793,0.3557953,0.34540144,0.8595979,32245272,33215599,0.3557952930277654,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR14722000_concoct_merged.0.fa,10384049,1481633,0.33505896,0.31262568,0.85731643,30991706,33215599,0.3350589670668662,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR14722004_metabat2_bin.1.fa,7467787,1129752,0.22444889,0.2248277,0.8487166,33271660,33215599,0.22482770821022977,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR14722006_metabat2_bin.2.fa,7413432,1131403,0.22220436,0.22319128,0.8473847,33363126,33215599,0.22319127829066096,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR14722020_concoct_merged.0.fa,8672309,1257885,0.31938216,0.26109144,0.8549538,27153393,33215599,0.3193821486692289,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR14722021_metabat2_bin.1.fa,10072080,1453230,0.32788244,0.3032334,0.855717,30718572,33215599,0.32788242890978136,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR14722028_metabat2_bin.1.fa,11024645,1546364,0.3597342,0.33191168,0.8597357,30646640,33215599,0.3597342155616407,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR14722038_metabat2_bin.1.fa,9407793,1386680,0.28169188,0.28323418,0.8526031,33397459,33215599,0.28323418162653036,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR14722068_metabat2_bin.3.fa,11294463,1585556,0.35455155,0.3400349,0.8596165,31855629,33215599,0.35455156135827676,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR14722077_concoct_merged.0.fa,11180763,1567796,0.35731146,0.3366118,0.8597774,31291365,33215599,0.3573114499798906,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR14722106_metabat2_bin.2.fa,9620360,1402423,0.27809852,0.28963378,0.85422343,34593352,33215599,0.28963379525385047,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR14722108_metabat2_bin.1.fa,11254433,1582856,0.35619572,0.33882976,0.8593571,31596205,33215599,0.3561957203404649,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR14722127_concoct_bin.0.fa,7645275,1147706,0.27422744,0.23017122,0.84988034,27879322,33215599,0.27422743637739827,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR14722130_metabat2_bin.9.fa,10174485,1463097,0.3163699,0.30631647,0.8561994,32160092,33215599,0.3163698972005428,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR14722139_metabat2_bin.5.fa,11560023,1627252,0.3590376,0.34802994,0.8592345,32197247,33215599,0.3590376220675016,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR14722151_metabat2_bin.3.fa,10224619,1454138,0.33797896,0.30782583,0.8577807,30252234,33215599,0.33797897371810626,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR14722166_concoct_bin.2.fa,12036922,1671239,0.37169418,0.36238763,0.8611573,32383939,33215599,0.37169419075301496,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR14722168_metabat2_bin.6.fa,11951189,1660892,0.36503845,0.3598065,0.86102706,32739534,33215599,0.36503845778623484,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR14722169_metabat2_bin.6.fa,8050383,1215764,0.2633475,0.24236754,0.8489806,30569428,33215599,0.26334751831143194,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR14722174_metabat2_bin.2.fa,11950479,1660000,0.37363547,0.35978514,0.86109346,31984326,33215599,0.373635480078586,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR14722289_concoct_bin.0.fa,10367625,1494704,0.31793937,0.3121312,0.85582966,32608811,33215599,0.31793937534244965,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR14722300_metabat2_bin.4.fa,8514033,1272723,0.2623774,0.25632635,0.85051465,32449567,33215599,0.26237739936560633,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR14722310_metabat2_bin.3.fa,10047101,1455640,0.31554687,0.3024814,0.8551184,31840281,33215599,0.31554686970256324,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR14722325_metabat2_bin.1.fa,9708053,1414662,0.3202281,0.2922739,0.8542795,30316057,33215599,0.3202280890288602,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR14722326_metabat2_bin.1.fa,10725926,1544943,0.3159322,0.32291833,0.8559618,33950087,33215599,0.32291833725473384,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR14722329_metabat2_bin.1.fa,11550196,1624878,0.3617899,0.3477341,0.8593203,31925147,33215599,0.361789908124777,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR12240175_concoct_merged.0.fa,8193669,1226445,0.24189956,0.24668136,0.85031796,33872195,33215599,0.24668135594965485,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR12240177_metabat2_bin.4.fa,7987821,1195323,0.2672463,0.24048403,0.8503568,29889360,33215599,0.2672463043705185,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR12240178_metabat2_bin.6.fa,7903373,1188230,0.2643144,0.23794161,0.84965533,29901407,33215599,0.26431441838171693,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR12240179_concoct_bin.1.fa,7829063,1174188,0.26132193,0.2357044,0.8500219,29959457,33215599,0.26132192582796143,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR12240187_metabat2_bin.8.fa,7741710,1164527,0.24820209,0.23307453,0.84957755,31191156,33215599,0.24820208651452355,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR12240188_concoct_bin.1.fa,7805963,1173389,0.2404021,0.23500896,0.8496804,32470444,33215599,0.24040210229339642,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR13167197_metabat2_bin.1.fa,7938634,1191316,0.26927185,0.23900318,0.8499344,29481857,33215599,0.2692718440361474,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR13126859_metabat2_bin.7.fa,8077775,1217226,0.2733343,0.24319221,0.8493117,29552732,33215599,0.27333428936451626,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR13126828_metabat2_bin.1.fa,8458263,1263052,0.27429187,0.2546473,0.8506724,30836724,33215599,0.2742918800323925,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR13126796_metabat2_bin.1.fa,7984849,1195340,0.27048716,0.24039455,0.850299,29520253,33215599,0.2704871465701869,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR13126647_concoct_merged.0.fa,6996944,1046854,0.2664873,0.21065235,0.8503841,26256202,33215599,0.2664872855563802,124
public_SRR14721927_metabat2_bin.2.fa,public_SRR13125985_concoct_bin.8.fa,6942829,1047722,0.28095528,0.20902315,0.8490929,24711508,33215599,0.2809552941892498,124
public_SRR14721927_metabat2_bin.2.fa,private_VT16_concoct_bin.11.fa,8686273,1296117,0.24555273,0.26151186,0.8507856,35374370,33215599,0.26151185772684693,124
public_SRR14721935_metabat2_bin.5.fa,public_SRR12240174_metabat2_bin.2.fa,6281141,960670,0.22139198,0.20468058,0.84705484,28371132,30687529,0.22139197688692858,124
public_SRR14721935_metabat2_bin.5.fa,public_SRR12240180_concoct_bin.4.fa,6463228,993348,0.20523348,0.21061416,0.84630775,31492074,30687529,0.21061415534629718,124
public_SRR14721935_metabat2_bin.5.fa,public_SRR14721927_metabat2_bin.2.fa,9695375,1413919,0.29189223,0.3159386,0.8541656,33215599,30687529,0.31593860163847015,124
public_SRR14721935_metabat2_bin.5.fa,public_SRR14721935_metabat2_bin.5.fa,30682927,4932,0.99985003,0.99985003,0.99983925,30687529,30687529,0.9998500368015946,124
public_SRR14721935_metabat2_bin.5.fa,public_SRR14721943_metabat2_bin.1.fa,17471800,2006861,0.5514637,0.5693453,0.88513714,31682591,30687529,0.5693452868101566,124
public_SRR14721935_metabat2_bin.5.fa,public_SRR14721956_metabat2_bin.3.fa,17904147,2000305,0.57363003,0.583434,0.888277,31212012,30687529,0.5834339741072017,124
public_SRR14721935_metabat2_bin.5.fa,public_SRR14721979_metabat2_bin.1.fa,16632207,2017187,0.48129573,0.54198587,0.878718,34557146,30687529,0.5419858666365741,124
public_SRR14721935_metabat2_bin.5.fa,public_SRR14721992_concoct_merged.0.fa,6689999,1001251,0.23341261,0.21800384,0.85033613,28661687,30687529,0.23341260408014364,124
public_SRR14721935_metabat2_bin.5.fa,public_SRR14721997_metabat2_bin.1.fa,17628824,2015821,0.5467104,0.5744622,0.885652,32245272,30687529,0.5744621536650931,124
public_SRR14721935_metabat2_bin.5.fa,public_SRR14722000_concoct_merged.0.fa,16737481,1967622,0.54006326,0.54541636,0.8824422,30991706,30687529,0.5454163807063124,124
public_SRR14721935_metabat2_bin.5.fa,public_SRR14722004_metabat2_bin.1.fa,6227050,964588,0.18715778,0.20291793,0.8450971,33271660,30687529,0.20291793451339793,124
public_SRR14721935_metabat2_bin.5.fa,public_SRR14722006_metabat2_bin.2.fa,6214000,966284,0.18625353,0.20249268,0.8444989,33363126,30687529,0.20249268033278275,124
public_SRR14721935_metabat2_bin.5.fa,public_SRR14722020_concoct_merged.0.fa,14295651,1728058,0.5264775,0.4658456,0.87912,27153393,30687529,0.5264775197707336,124
public_SRR14721935_metabat2_bin.5.fa,public_SRR14722021_metabat2_bin.1.fa,16301458,1962043,0.53067106,0.5312079,0.87964004,30718572,30687529,0.5312079053350955,124
public_SRR14721935_metabat2_bin.5.fa,public_SRR14722028_metabat2_bin.1.fa,17047538,1951643,0.55626124,0.55552006,0.8855176,30646640,30687529,0.5562612410365377,124
public_SRR14721935_metabat2_bin.5.fa,public_SRR14722038_metabat2_bin.1.fa,7991475,1206146,0.23928392,0.26041442,0.8490709,33397459,30687529,0.2604144178568434,124
