Gene.ID	family	Genome	class
NOSTOCX5_01359	GT2	private_X5_metawrap_bin.1	GT
NOSTOCX5_01360	GT2	private_X5_metawrap_bin.1	GT
NOSTOCX5_01361	GT2	private_X5_metawrap_bin.1	GT
NOSTOCX5_01599	GT4	private_X5_metawrap_bin.1	GT
NOSTOCX5_01695	GT4	private_X5_metawrap_bin.1	GT
NOSTOCX5_01788	GT4	private_X5_metawrap_bin.1	GT
NOSTOCX5_01833	GT4	private_X5_metawrap_bin.1	GT
NOSTOCX5_01834	GT4	private_X5_metawrap_bin.1	GT
NOSTOCX5_01880	GH23	private_X5_metawrap_bin.1	GH
NOSTOCX5_01932	GT2	private_X5_metawrap_bin.1	GT
NOSTOCX5_01949	GT23	private_X5_metawrap_bin.1	GT
NOSTOCX5_01993	GT4	private_X5_metawrap_bin.1	GT
NOSTOCX5_02105	CE4	private_X5_metawrap_bin.1	CE
NOSTOCX5_02111	GT51	private_X5_metawrap_bin.1	GT
NOSTOCX5_02150	GT2	private_X5_metawrap_bin.1	GT
NOSTOCX5_02199	GT5	private_X5_metawrap_bin.1	GT
NOSTOCX5_02258	GT2	private_X5_metawrap_bin.1	GT
NOSTOCX5_02301	GT83	private_X5_metawrap_bin.1	GT
NOSTOCX5_02305	GT14	private_X5_metawrap_bin.1	GT
NOSTOCX5_02407	GH13_16	private_X5_metawrap_bin.1	GH
NOSTOCX5_02523	GH77	private_X5_metawrap_bin.1	GH
NOSTOCX5_02556	GT4	private_X5_metawrap_bin.1	GT
NOSTOCX5_02558	GT2	private_X5_metawrap_bin.1	GT
NOSTOCX5_02614	GT4	private_X5_metawrap_bin.1	GT
NOSTOCX5_02618	GT4	private_X5_metawrap_bin.1	GT
NOSTOCX5_02619	GT2	private_X5_metawrap_bin.1	GT
NOSTOCX5_02620	GT4	private_X5_metawrap_bin.1	GT
NOSTOCX5_02623	GT4	private_X5_metawrap_bin.1	GT
NOSTOCX5_02639	GH133	private_X5_metawrap_bin.1	GH
NOSTOCX5_02753	GT4	private_X5_metawrap_bin.1	GT
NOSTOCX5_02757	GT83	private_X5_metawrap_bin.1	GT
NOSTOCX5_02806	GH65	private_X5_metawrap_bin.1	GH
NOSTOCX5_02926	GT51	private_X5_metawrap_bin.1	GT
NOSTOCX5_03038	CE4	private_X5_metawrap_bin.1	CE
NOSTOCX5_03063	GH3	private_X5_metawrap_bin.1	GH
NOSTOCX5_03111	GH38	private_X5_metawrap_bin.1	GH
NOSTOCX5_03139	GT1	private_X5_metawrap_bin.1	GT
NOSTOCX5_03234	GT39	private_X5_metawrap_bin.1	GT
NOSTOCX5_03240	GH13_2	private_X5_metawrap_bin.1	GH
NOSTOCX5_03298	GH1	private_X5_metawrap_bin.1	GH
NOSTOCX5_03442	CE9	private_X5_metawrap_bin.1	CE
NOSTOCX5_03564	GT2	private_X5_metawrap_bin.1	GT
NOSTOCX5_03628	GT4	private_X5_metawrap_bin.1	GT
NOSTOCX5_03629	GH65	private_X5_metawrap_bin.1	GH
NOSTOCX5_03698	GH31	private_X5_metawrap_bin.1	GH
NOSTOCX5_03715	GT4	private_X5_metawrap_bin.1	GT
NOSTOCX5_03781	GT4	private_X5_metawrap_bin.1	GT
NOSTOCX5_03782	GT4	private_X5_metawrap_bin.1	GT
NOSTOCX5_03933	GT2	private_X5_metawrap_bin.1	GT
NOSTOCX5_03961	GH10	private_X5_metawrap_bin.1	GH
NOSTOCX5_03962	GT26	private_X5_metawrap_bin.1	GT
NOSTOCX5_03963	GT4	private_X5_metawrap_bin.1	GT
NOSTOCX5_03967	GT4	private_X5_metawrap_bin.1	GT
NOSTOCX5_03971	GT2	private_X5_metawrap_bin.1	GT
NOSTOCX5_04268	GH116	private_X5_metawrap_bin.1	GH
NOSTOCX5_04296	GT2	private_X5_metawrap_bin.1	GT
NOSTOCX5_04320	GT28	private_X5_metawrap_bin.1	GT
NOSTOCX5_04350	GT4	private_X5_metawrap_bin.1	GT
NOSTOCX5_04368	GH32	private_X5_metawrap_bin.1	GH
NOSTOCX5_04488	GH37	private_X5_metawrap_bin.1	GH
NOSTOCX5_04489	GH13_26	private_X5_metawrap_bin.1	GH
NOSTOCX5_04490	GH13_10	private_X5_metawrap_bin.1	GH
NOSTOCX5_04573	GT4	private_X5_metawrap_bin.1	GT
NOSTOCX5_04685	GT2	private_X5_metawrap_bin.1	GT
NOSTOCX5_04700	GH15	private_X5_metawrap_bin.1	GH
NOSTOCX5_04723	GH13_11	private_X5_metawrap_bin.1	GH
NOSTOCX5_04769	GT4	private_X5_metawrap_bin.1	GT
NOSTOCX5_04772	GT2	private_X5_metawrap_bin.1	GT
NOSTOCX5_04829	GT4	private_X5_metawrap_bin.1	GT
NOSTOCX5_04831	GT4	private_X5_metawrap_bin.1	GT
NOSTOCX5_04858	GT2	private_X5_metawrap_bin.1	GT
NOSTOCX5_04869	GT2	private_X5_metawrap_bin.1	GT
NOSTOCX5_04928	GT2	private_X5_metawrap_bin.1	GT
NOSTOCX5_04960	GH25	private_X5_metawrap_bin.1	GH
NOSTOCX5_05048	GH13	private_X5_metawrap_bin.1	GH
NOSTOCX5_05255	GH13_5	private_X5_metawrap_bin.1	GH
NOSTOCX5_05269	CE4	private_X5_metawrap_bin.1	CE
NOSTOCX5_05333	GT2	private_X5_metawrap_bin.1	GT
NOSTOCX5_05361	GT26	private_X5_metawrap_bin.1	GT
NOSTOCX5_05410	AA3_2	private_X5_metawrap_bin.1	AA
NOSTOCX5_05474	GT9	private_X5_metawrap_bin.1	GT
NOSTOCX5_05574	GH13_9	private_X5_metawrap_bin.1	GH
NOSTOCX5_05892	GT19	private_X5_metawrap_bin.1	GT
NOSTOCX5_05895	CE11	private_X5_metawrap_bin.1	CE
NOSTOCX5_05900	GT4	private_X5_metawrap_bin.1	GT
NOSTOCX5_05935	GH57	private_X5_metawrap_bin.1	GH
NOSTOCX5_05940	GT4	private_X5_metawrap_bin.1	GT
NOSTOCX5_05955	GT26	private_X5_metawrap_bin.1	GT
RHAL1T1894_00016	GH3	private_T1894_metawrap_bin.9	GH
RHAL1T1894_00023	GH3	private_T1894_metawrap_bin.9	GH
RHAL1T1894_00156	GH13_11	private_T1894_metawrap_bin.9	GH
RHAL1T1894_00261	GT20	private_T1894_metawrap_bin.9	GT
RHAL1T1894_00262	GH13_11	private_T1894_metawrap_bin.9	GH
RHAL1T1894_00263	GH13_10	private_T1894_metawrap_bin.9	GH
RHAL1T1894_00264	GH13_26	private_T1894_metawrap_bin.9	GH
RHAL1T1894_00264	GH77	private_T1894_metawrap_bin.9	GH
RHAL1T1894_00265	GH13_3	private_T1894_metawrap_bin.9	GH
RHAL1T1894_00266	GH13_16	private_T1894_metawrap_bin.9	GH
RHAL1T1894_00267	GH13_9	private_T1894_metawrap_bin.9	GH
RHAL1T1894_00374	GT4	private_T1894_metawrap_bin.9	GT
RHAL1T1894_00537	GT2	private_T1894_metawrap_bin.9	GT
RHAL1T1894_00580	GT51	private_T1894_metawrap_bin.9	GT
RHAL1T1894_00748	GH8	private_T1894_metawrap_bin.9	GH
RHAL1T1894_00750	GT2	private_T1894_metawrap_bin.9	GT
RHAL1T1894_00750	GT2	private_T1894_metawrap_bin.9	GT
RHAL1T1894_00800	GH103	private_T1894_metawrap_bin.9	GH
RHAL1T1894_00975	GT4	private_T1894_metawrap_bin.9	GT
RHAL1T1894_01068	GH102	private_T1894_metawrap_bin.9	GH
RHAL1T1894_01237	GT35	private_T1894_metawrap_bin.9	GT
RHAL1T1894_01365	GH15	private_T1894_metawrap_bin.9	GH
RHAL1T1894_01732	GT2	private_T1894_metawrap_bin.9	GT
RHAL1T1894_01911	GH103	private_T1894_metawrap_bin.9	GH
RHAL1T1894_02012	GT4	private_T1894_metawrap_bin.9	GT
RHAL1T1894_02052	GH16_7	private_T1894_metawrap_bin.9	GH
RHAL1T1894_02054	GT4	private_T1894_metawrap_bin.9	GT
RHAL1T1894_02055	GT4	private_T1894_metawrap_bin.9	GT
RHAL1T1894_02127	AA3_2	private_T1894_metawrap_bin.9	AA
RHAL1T1894_02177	GT4	private_T1894_metawrap_bin.9	GT
RHAL1T1894_02178	GH15	private_T1894_metawrap_bin.9	GH
RHAL1T1894_02196	GH3	private_T1894_metawrap_bin.9	GH
RHAL1T1894_02241	GT2	private_T1894_metawrap_bin.9	GT
RHAL1T1894_02242	GT8	private_T1894_metawrap_bin.9	GT
RHAL1T1894_02318	GT2	private_T1894_metawrap_bin.9	GT
RHAL1T1894_02375	GH65	private_T1894_metawrap_bin.9	GH
RHAL1T1894_02449	GT21	private_T1894_metawrap_bin.9	GT
RHAL1T1894_02455	GT4	private_T1894_metawrap_bin.9	GT
RHAL1T1894_02487	GT4	private_T1894_metawrap_bin.9	GT
RHAL1T1894_02544	GH25	private_T1894_metawrap_bin.9	GH
RHAL1T1894_02631	GH23	private_T1894_metawrap_bin.9	GH
RHAL1T1894_02683	GT21	private_T1894_metawrap_bin.9	GT
RHAL1T1894_02890	GT28	private_T1894_metawrap_bin.9	GT
RHAL1T1894_02899	GT51	private_T1894_metawrap_bin.9	GT
RHAL1T1894_02909	GT2	private_T1894_metawrap_bin.9	GT
RHAL1T1894_03203	GH13_11	private_T1894_metawrap_bin.9	GH
RHAL1T1894_03316	GT51	private_T1894_metawrap_bin.9	GT
RHAL1T1894_03347	CE1	private_T1894_metawrap_bin.9	CE
LICHENIHABT1916_00006	GH5_25	private_T1916_metawrap_bin.6	GH
LICHENIHABT1916_00007	GH136	private_T1916_metawrap_bin.6	GH
LICHENIHABT1916_00008	CE4	private_T1916_metawrap_bin.6	CE
LICHENIHABT1916_00009	GH25	private_T1916_metawrap_bin.6	GH
LICHENIHABT1916_00119	GT4	private_T1916_metawrap_bin.6	GT
LICHENIHABT1916_00242	GH13_31	private_T1916_metawrap_bin.6	GH
LICHENIHABT1916_00341	GT1	private_T1916_metawrap_bin.6	GT
LICHENIHABT1916_00350	GT83	private_T1916_metawrap_bin.6	GT
LICHENIHABT1916_00363	GT28	private_T1916_metawrap_bin.6	GT
LICHENIHABT1916_00368	CE11	private_T1916_metawrap_bin.6	CE
LICHENIHABT1916_00408	GT4	private_T1916_metawrap_bin.6	GT
LICHENIHABT1916_00439	GH103	private_T1916_metawrap_bin.6	GH
LICHENIHABT1916_00813	GT26	private_T1916_metawrap_bin.6	GT
LICHENIHABT1916_00813	GT4	private_T1916_metawrap_bin.6	GT
LICHENIHABT1916_00845	GH13_31	private_T1916_metawrap_bin.6	GH
LICHENIHABT1916_00861	GH15	private_T1916_metawrap_bin.6	GH
LICHENIHABT1916_01016	GT19	private_T1916_metawrap_bin.6	GT
LICHENIHABT1916_01177	GH23	private_T1916_metawrap_bin.6	GH
LICHENIHABT1916_01188	GT2	private_T1916_metawrap_bin.6	GT
LICHENIHABT1916_01231	GT51	private_T1916_metawrap_bin.6	GT
LICHENIHABT1916_01274	GH15	private_T1916_metawrap_bin.6	GH
LICHENIHABT1916_01302	GH13_10	private_T1916_metawrap_bin.6	GH
LICHENIHABT1916_01303	GH13_9	private_T1916_metawrap_bin.6	GH
LICHENIHABT1916_01304	GH13_16	private_T1916_metawrap_bin.6	GH
LICHENIHABT1916_01305	GH13_3	private_T1916_metawrap_bin.6	GH
LICHENIHABT1916_01305	GH13_3	private_T1916_metawrap_bin.6	GH
LICHENIHABT1916_01333	GH103	private_T1916_metawrap_bin.6	GH
LICHENIHABT1916_01338	GT21	private_T1916_metawrap_bin.6	GT
LICHENIHABT1916_01357	GT51	private_T1916_metawrap_bin.6	GT
LICHENIHABT1916_01391	GT4	private_T1916_metawrap_bin.6	GT
LICHENIHABT1916_01414	GT4	private_T1916_metawrap_bin.6	GT
LICHENIHABT1916_01416	GH15	private_T1916_metawrap_bin.6	GH
LICHENIHABT1916_01417	GT20	private_T1916_metawrap_bin.6	GT
LICHENIHABT1916_01537	GT4	private_T1916_metawrap_bin.6	GT
LICHENIHABT1916_01577	GH23	private_T1916_metawrap_bin.6	GH
LICHENIHABT1916_01666	GT2	private_T1916_metawrap_bin.6	GT
LICHENIHABT1916_01666	GT2	private_T1916_metawrap_bin.6	GT
LICHENIHABT1916_01707	AA3_2	private_T1916_metawrap_bin.6	AA
LICHENIHABT1916_01776	GH103	private_T1916_metawrap_bin.6	GH
LICHENIHABT1916_01839	GT41	private_T1916_metawrap_bin.6	GT
LICHENIHABT1916_01928	GT41	private_T1916_metawrap_bin.6	GT
LICHENIHABT1916_01943	CE9	private_T1916_metawrap_bin.6	CE
LICHENIHABT1916_01994	GT14	private_T1916_metawrap_bin.6	GT
LICHENIHABT1916_02246	GT4	private_T1916_metawrap_bin.6	GT
LICHENIHABT1916_02257	GT35	private_T1916_metawrap_bin.6	GT
LICHENIHABT1916_02258	GH13_9	private_T1916_metawrap_bin.6	GH
LICHENIHABT1916_02261	GH13_11	private_T1916_metawrap_bin.6	GH
LICHENIHABT1916_02261	GH77	private_T1916_metawrap_bin.6	GH
LICHENIHABT1916_02313	GH3	private_T1916_metawrap_bin.6	GH
LICHENIHABT1916_02412	GT2	private_T1916_metawrap_bin.6	GT
LICHENIHABT1916_02476	GT4	private_T1916_metawrap_bin.6	GT
LICHENIHABT1916_02478	GT4	private_T1916_metawrap_bin.6	GT
LICHENIHABT1916_02845	GT21	private_T1916_metawrap_bin.6	GT
LICHENIHABT1916_03058	GT1	private_T1916_metawrap_bin.6	GT
LICHENIHABT1916_03155	GT4	private_T1916_metawrap_bin.6	GT
LICHENIHABT1916_03301	GT4	private_T1916_metawrap_bin.6	GT
LICHENIHABT1916_03417	GT41	private_T1916_metawrap_bin.6	GT
LICHENIHABT1916_03421	GT41	private_T1916_metawrap_bin.6	GT
LICHENIHABT1916_03526	GH8	private_T1916_metawrap_bin.6	GH
LICHENIHABT1916_03528	GT2	private_T1916_metawrap_bin.6	GT
LICHENIHABT1916_03528	GT2	private_T1916_metawrap_bin.6	GT
LICHENIHABT1916_03724	GT2	private_T1916_metawrap_bin.6	GT
LICHENIHABT1916_03790	GT4	private_T1916_metawrap_bin.6	GT
LICHENIHABT1916_03844	GT30	private_T1916_metawrap_bin.6	GT
LICHENIHABT1916_04022	GT51	private_T1916_metawrap_bin.6	GT
LICHENIHABT1916_04055	GT4	private_T1916_metawrap_bin.6	GT
LICHENIHABT1916_04082	GT4	private_T1916_metawrap_bin.6	GT
LICHENIHABT1916_04209	GH63	private_T1916_metawrap_bin.6	GH
LICHENIHABT1916_04271	GT4	private_T1916_metawrap_bin.6	GT
LICHENIHABT1916_04294	GH15	private_T1916_metawrap_bin.6	GH
LICHENIHABT1916_04359	GT2	private_T1916_metawrap_bin.6	GT
LICHENIHABT1916_04408	AA3_2	private_T1916_metawrap_bin.6	AA
LICHENIHABT1916_04534	GH13_11	private_T1916_metawrap_bin.6	GH
CAHJXG01X15_00153	GT4	private_X15_metawrap_bin.2	GT
CAHJXG01X15_00163	GT2	private_X15_metawrap_bin.2	GT
CAHJXG01X15_00224	AA3_2	private_X15_metawrap_bin.2	AA
CAHJXG01X15_00234	CE1	private_X15_metawrap_bin.2	CE
CAHJXG01X15_00303	GH65	private_X15_metawrap_bin.2	GH
CAHJXG01X15_00305	GT4	private_X15_metawrap_bin.2	GT
CAHJXG01X15_00416	GT51	private_X15_metawrap_bin.2	GT
CAHJXG01X15_00478	GT4	private_X15_metawrap_bin.2	GT
CAHJXG01X15_00650	GT2	private_X15_metawrap_bin.2	GT
CAHJXG01X15_00675	GT1	private_X15_metawrap_bin.2	GT
CAHJXG01X15_00736	CE9	private_X15_metawrap_bin.2	CE
CAHJXG01X15_00752	GH23	private_X15_metawrap_bin.2	GH
CAHJXG01X15_00801	CE11	private_X15_metawrap_bin.2	CE
CAHJXG01X15_00808	GT28	private_X15_metawrap_bin.2	GT
CAHJXG01X15_00878	GT4	private_X15_metawrap_bin.2	GT
CAHJXG01X15_01106	GT9	private_X15_metawrap_bin.2	GT
CAHJXG01X15_01107	GT9	private_X15_metawrap_bin.2	GT
CAHJXG01X15_01203	GT4	private_X15_metawrap_bin.2	GT
CAHJXG01X15_01240	GT30	private_X15_metawrap_bin.2	GT
CAHJXG01X15_01319	GH3	private_X15_metawrap_bin.2	GH
CAHJXG01X15_01609	GT2	private_X15_metawrap_bin.2	GT
CAHJXG01X15_01613	GH1	private_X15_metawrap_bin.2	GH
CAHJXG01X15_01789	GT4	private_X15_metawrap_bin.2	GT
CAHJXG01X15_01975	GT83	private_X15_metawrap_bin.2	GT
CAHJXG01X15_01988	GT2	private_X15_metawrap_bin.2	GT
CAHJXG01X15_02013	GT4	private_X15_metawrap_bin.2	GT
CAHJXG01X15_02015	GT4	private_X15_metawrap_bin.2	GT
CAHJXG01X15_02017	GT4	private_X15_metawrap_bin.2	GT
CAHJXG01X15_02042	GT4	private_X15_metawrap_bin.2	GT
CAHJXG01X15_02072	GT107	private_X15_metawrap_bin.2	GT
CAHJXG01X15_02095	GT4	private_X15_metawrap_bin.2	GT
CAHJXG01X15_02128	GH1	private_X15_metawrap_bin.2	GH
CAHJXG01X15_02136	GH1	private_X15_metawrap_bin.2	GH
CAHJXG01X15_02155	GH13_11	private_X15_metawrap_bin.2	GH
CAHJXG01X15_02245	GT51	private_X15_metawrap_bin.2	GT
CAHJXG01X15_02360	GT2	private_X15_metawrap_bin.2	GT
CAHJXG01X15_02454	GT19	private_X15_metawrap_bin.2	GT
CAHJXG01X15_02577	GT9	private_X15_metawrap_bin.2	GT
CAHJXG01X15_02591	GT21	private_X15_metawrap_bin.2	GT
CAHJXG01X15_02907	GT4	private_X15_metawrap_bin.2	GT
CAHJXG01X15_02941	GT2	private_X15_metawrap_bin.2	GT
CAHJXG01X15_03157	GH94	private_X15_metawrap_bin.2	GH
CAHJXG01X15_03157	GT84	private_X15_metawrap_bin.2	GT
CAHJXG01X15_03386	GT4	private_X15_metawrap_bin.2	GT
CAHJXG01X15_03389	GH15	private_X15_metawrap_bin.2	GH
CAHJXG01X15_03447	GT35	private_X15_metawrap_bin.2	GT
CAHJXG01X15_03449	GT5	private_X15_metawrap_bin.2	GT
CAHJXG01X15_03473	GT4	private_X15_metawrap_bin.2	GT
CAHJXG01X15_03556	GH15	private_X15_metawrap_bin.2	GH
CAHJXG01X15_03606	GT2	private_X15_metawrap_bin.2	GT
CAHJXG01X15_03647	GT4	private_X15_metawrap_bin.2	GT
CAHJXG01X15_03663	GT20	private_X15_metawrap_bin.2	GT
CAHJXG01X15_03664	GH13_26	private_X15_metawrap_bin.2	GH
CAHJXG01X15_03665	GH77	private_X15_metawrap_bin.2	GH
CAHJXG01X15_03666	GH13_10	private_X15_metawrap_bin.2	GH
CAHJXG01X15_03667	GH13_9	private_X15_metawrap_bin.2	GH
CAHJXG01X15_03668	GH13_16	private_X15_metawrap_bin.2	GH
CAHJXG01X15_03669	GH13_3	private_X15_metawrap_bin.2	GH
CAHJXG01X15_03716	GH23	private_X15_metawrap_bin.2	GH
CAHJXG01X15_03866	GH103	private_X15_metawrap_bin.2	GH
CAHJXG01X15_04035	GT4	private_X15_metawrap_bin.2	GT
CAHJXG01X15_04144	GT9	private_X15_metawrap_bin.2	GT
CAHJXG01X15_04145	GT4	private_X15_metawrap_bin.2	GT
CAHJXG01X15_04263	GT51	private_X15_metawrap_bin.2	GT
CAHJXG01X15_04354	GT2	private_X15_metawrap_bin.2	GT
CAHJXG01X15_04356	GT4	private_X15_metawrap_bin.2	GT
CAHJXG01X15_04475	AA3_2	private_X15_metawrap_bin.2	AA
CAHJXG01X15_04584	GT2	private_X15_metawrap_bin.2	GT
CAHJXG01X15_04684	GH133	private_X15_metawrap_bin.2	GH
ACETOVT1_00049	GT4	private_VT1_metawrap_bin.3	GT
ACETOVT1_00068	GT51	private_VT1_metawrap_bin.3	GT
ACETOVT1_00084	GT4	private_VT1_metawrap_bin.3	GT
ACETOVT1_00092	GT4	private_VT1_metawrap_bin.3	GT
ACETOVT1_00279	GT2	private_VT1_metawrap_bin.3	GT
ACETOVT1_00529	GT4	private_VT1_metawrap_bin.3	GT
ACETOVT1_00578	GT35	private_VT1_metawrap_bin.3	GT
ACETOVT1_00934	GH51	private_VT1_metawrap_bin.3	GH
ACETOVT1_01005	GH103	private_VT1_metawrap_bin.3	GH
ACETOVT1_01022	GH42	private_VT1_metawrap_bin.3	GH
ACETOVT1_01024	GH36	private_VT1_metawrap_bin.3	GH
ACETOVT1_01221	GH15	private_VT1_metawrap_bin.3	GH
ACETOVT1_01264	GT9	private_VT1_metawrap_bin.3	GT
ACETOVT1_01337	GH13_11	private_VT1_metawrap_bin.3	GH
ACETOVT1_01467	GT2	private_VT1_metawrap_bin.3	GT
ACETOVT1_01585	CE9	private_VT1_metawrap_bin.3	CE
ACETOVT1_01714	GH1	private_VT1_metawrap_bin.3	GH
ACETOVT1_01717	GT2	private_VT1_metawrap_bin.3	GT
ACETOVT1_01843	CE11	private_VT1_metawrap_bin.3	CE
ACETOVT1_01895	GT83	private_VT1_metawrap_bin.3	GT
ACETOVT1_01934	GT2	private_VT1_metawrap_bin.3	GT
ACETOVT1_02136	GH15	private_VT1_metawrap_bin.3	GH
ACETOVT1_02152	GH13_3	private_VT1_metawrap_bin.3	GH
ACETOVT1_02153	GH13_16	private_VT1_metawrap_bin.3	GH
ACETOVT1_02154	GH13_9	private_VT1_metawrap_bin.3	GH
ACETOVT1_02155	GH13_10	private_VT1_metawrap_bin.3	GH
ACETOVT1_02156	GH77	private_VT1_metawrap_bin.3	GH
ACETOVT1_02157	GH13_26	private_VT1_metawrap_bin.3	GH
ACETOVT1_02158	GT20	private_VT1_metawrap_bin.3	GT
ACETOVT1_02189	GT2	private_VT1_metawrap_bin.3	GT
ACETOVT1_02195	GT2	private_VT1_metawrap_bin.3	GT
ACETOVT1_02296	GT51	private_VT1_metawrap_bin.3	GT
ACETOVT1_02372	GT2	private_VT1_metawrap_bin.3	GT
ACETOVT1_02419	GT4	private_VT1_metawrap_bin.3	GT
ACETOVT1_02422	GT2	private_VT1_metawrap_bin.3	GT
ACETOVT1_02436	GH13_11	private_VT1_metawrap_bin.3	GH
ACETOVT1_02460	GT4	private_VT1_metawrap_bin.3	GT
ACETOVT1_02461	GT9	private_VT1_metawrap_bin.3	GT
ACETOVT1_02656	GT2	private_VT1_metawrap_bin.3	GT
ACETOVT1_02658	GH15	private_VT1_metawrap_bin.3	GH
ACETOVT1_02879	GT21	private_VT1_metawrap_bin.3	GT
ACETOVT1_02893	GT28	private_VT1_metawrap_bin.3	GT
ACETOVT1_02960	GT4	private_VT1_metawrap_bin.3	GT
ACETOVT1_02976	GT41	private_VT1_metawrap_bin.3	GT
ACETOVT1_02992	GH13_23	private_VT1_metawrap_bin.3	GH
ACETOVT1_02994	GT9	private_VT1_metawrap_bin.3	GT
ACETOVT1_03070	GT2	private_VT1_metawrap_bin.3	GT
ACETOVT1_03137	GT19	private_VT1_metawrap_bin.3	GT
ACETOVT1_03144	GT51	private_VT1_metawrap_bin.3	GT
ACETOVT1_03169	GT4	private_VT1_metawrap_bin.3	GT
ACETOVT1_03358	GT30	private_VT1_metawrap_bin.3	GT
LMUY01VT1_00014	GT51	private_VT1_metawrap_bin.1	GT
LMUY01VT1_00050	GH13_23	private_VT1_metawrap_bin.1	GH
LMUY01VT1_00190	GT2	private_VT1_metawrap_bin.1	GT
LMUY01VT1_00196	GT2	private_VT1_metawrap_bin.1	GT
LMUY01VT1_00214	GH13_11	private_VT1_metawrap_bin.1	GH
LMUY01VT1_00262	CE11	private_VT1_metawrap_bin.1	CE
LMUY01VT1_00269	GT28	private_VT1_metawrap_bin.1	GT
LMUY01VT1_00315	GT4	private_VT1_metawrap_bin.1	GT
LMUY01VT1_00316	GT4	private_VT1_metawrap_bin.1	GT
LMUY01VT1_00357	GH133	private_VT1_metawrap_bin.1	GH
LMUY01VT1_00359	GH13_11	private_VT1_metawrap_bin.1	GH
LMUY01VT1_00441	GT2	private_VT1_metawrap_bin.1	GT
LMUY01VT1_00545	GT21	private_VT1_metawrap_bin.1	GT
LMUY01VT1_00697	CE9	private_VT1_metawrap_bin.1	CE
LMUY01VT1_00819	GT2	private_VT1_metawrap_bin.1	GT
LMUY01VT1_00857	GH32	private_VT1_metawrap_bin.1	GH
LMUY01VT1_01003	GT51	private_VT1_metawrap_bin.1	GT
LMUY01VT1_01026	GT4	private_VT1_metawrap_bin.1	GT
LMUY01VT1_01065	GT2	private_VT1_metawrap_bin.1	GT
LMUY01VT1_01072	GT35	private_VT1_metawrap_bin.1	GT
LMUY01VT1_01076	GH1	private_VT1_metawrap_bin.1	GH
LMUY01VT1_01203	GT2	private_VT1_metawrap_bin.1	GT
LMUY01VT1_01280	GT4	private_VT1_metawrap_bin.1	GT
LMUY01VT1_01486	GT4	private_VT1_metawrap_bin.1	GT
LMUY01VT1_01486	GT4	private_VT1_metawrap_bin.1	GT
LMUY01VT1_01489	GT2	private_VT1_metawrap_bin.1	GT
LMUY01VT1_01510	GT4	private_VT1_metawrap_bin.1	GT
LMUY01VT1_01511	GT4	private_VT1_metawrap_bin.1	GT
LMUY01VT1_01517	GT2	private_VT1_metawrap_bin.1	GT
LMUY01VT1_01524	GT9	private_VT1_metawrap_bin.1	GT
LMUY01VT1_01525	GT4	private_VT1_metawrap_bin.1	GT
LMUY01VT1_01630	GT4	private_VT1_metawrap_bin.1	GT
LMUY01VT1_01714	GT30	private_VT1_metawrap_bin.1	GT
